Vendor_ID,Orders,Late_Orders,Late_Rate_Pct,Avg_Delay_Days,Vendor_Name,Vendor_Category,Vendor_Tier,Reliability_Score
VND00451,47,29.0,64.44,8.13,Vendor_0451,Unknown,Tier 1,84.4
VND00075,46,29.0,64.44,7.42,Vendor_0075,Raw Material,Tier 2,79.5
VND00101,50,29.0,64.44,8.33,Vendor_0101,Packaging,Tier 3,32.2
VND00374,63,36.0,64.29,7.3,Vendor_0374,Logistics,Tier 2,77.8
VND00873,44,27.0,64.29,7.69,Vendor_0873,Logistics,Tier 2,75.1
VND00665,60,36.0,64.29,8.55,Vendor_0665,Machinery,Tier 3,37.1
VND00083,56,34.0,64.15,7.13,Vendor_0083,Packaging,Tier 3,53.2
VND00496,41,25.0,64.1,8.05,Vendor_0496,Packaging,Tier 3,54.7
VND00453,39,25.0,64.1,8.28,Vendor_0453,IT Services,Tier 3,59.7
VND00356,43,23.0,63.89,9.44,Vendor_0356,Chemicals,Tier 2,75.0
VND00755,52,30.0,63.83,8.13,Vendor_0755,Packaging,Unclassified,
VND00398,49,30.0,63.83,8.94,Vendor_0398,IT Services,Tier 2,60.0
VND00803,53,30.0,63.83,8.11,Vendor_0803,Textiles,Tier 2,70.3
VND00176,54,30.0,63.83,7.87,Vendor_0176,Raw Material,Tier 3,42.2
VND00805,52,30.0,63.83,6.32,Vendor_0805,Chemicals,Tier 3,59.7
VND00010,46,28.0,63.64,7.93,Vendor_0010,Electronics,Tier 2,79.6
VND00399,45,28.0,63.64,8.43,Vendor_0399,Textiles,Tier 1,82.6
VND00920,44,28.0,63.64,7.77,Vendor_0920,Raw Material,Tier 3,39.8
VND00548,46,28.0,63.64,7.27,Vendor_0548,Machinery,Tier 2,77.0
VND00059,47,28.0,63.64,7.91,Vendor_0059,Packaging,Tier 3,33.2
VND00830,45,28.0,63.64,8.91,Vendor_0830,Logistics,Tier 2,61.7
VND00560,37,21.0,63.64,6.64,Vendor_0560,IT Services,Tier 2,73.4
VND00550,46,28.0,63.64,6.86,Vendor_0550,Machinery,Tier 1,84.1
VND00241,44,28.0,63.64,5.57,Vendor_0241,Machinery,Tier 1,95.8
VND00508,56,33.0,63.46,9.33,Vendor_0508,Electronics,Tier 1,87.6
VND00988,41,26.0,63.41,6.93,Vendor_0988,Logistics,Tier 2,60.4
VND00706,43,26.0,63.41,6.27,Vendor_0706,Chemicals,Tier 1,99.3
VND00252,41,24.0,63.16,7.95,Vendor_0252,Machinery,Tier 3,57.0
VND00381,61,36.0,63.16,8.39,Vendor_0381,IT Services,Tier 3,38.3
VND00980,42,24.0,63.16,5.29,Vendor_0980,Packaging,Tier 2,71.8
VND00501,44,24.0,63.16,7.11,Vendor_0501,Raw Material,Tier 2,78.9
VND00775,59,36.0,63.16,7.07,Vendor_0775,Chemicals,Tier 1,85.8
VND00808,47,29.0,63.04,7.91,Vendor_0808,IT Services,Tier 1,94.8
VND00096,48,29.0,63.04,6.76,Vendor_0096,IT Services,Unclassified,
VND00345,51,29.0,63.04,9.15,Vendor_0345,Unknown,Tier 3,57.9
VND00510,51,29.0,63.04,8.11,Vendor_0510,Electronics,Tier 1,80.8
VND00376,53,29.0,63.04,6.91,Vendor_0376,Electronics,Tier 3,52.3
VND00094,60,34.0,62.96,5.81,Vendor_0094,Electronics,Tier 2,69.3
VND00933,55,34.0,62.96,6.3,Vendor_0933,Electronics,Tier 1,98.9
VND00530,55,34.0,62.96,8.2,Vendor_0530,Textiles,Tier 1,90.5
VND00944,65,39.0,62.9,7.18,Vendor_0944,IT Services,Tier 1,88.1
VND00195,38,22.0,62.86,7.69,Vendor_0195,Unknown,Tier 3,53.7
VND00281,39,22.0,62.86,7.46,Vendor_0281,Unknown,Tier 1,92.3
VND00308,43,27.0,62.79,7.63,Vendor_0308,Electronics,Tier 3,52.6
VND00025,49,27.0,62.79,7.05,Vendor_0025,Packaging,Tier 2,61.9
VND00899,50,27.0,62.79,7.21,Vendor_0899,Chemicals,Tier 3,30.9
VND00323,47,27.0,62.79,8.23,Vendor_0323,Textiles,Tier 2,76.2
VND00824,47,27.0,62.79,7.02,Vendor_0824,Raw Material,Tier 3,57.9
VND00307,45,27.0,62.79,7.91,Vendor_0307,Machinery,Tier 2,66.1
VND00474,57,32.0,62.75,7.1,Vendor_0474,Machinery,Tier 1,92.4
VND00791,54,32.0,62.75,7.75,Vendor_0791,Unknown,Tier 3,40.7
VND00514,53,32.0,62.75,8.39,Vendor_0514,Chemicals,Tier 1,90.6
VND00785,51,32.0,62.75,8.37,Vendor_0785,Textiles,Tier 3,42.7
VND00643,62,35.0,62.5,8.48,Vendor_0643,Logistics,Tier 3,44.8
VND00610,52,30.0,62.5,5.79,Vendor_0610,IT Services,Tier 2,78.3
VND00284,48,30.0,62.5,7.46,Vendor_0284,Textiles,Tier 3,36.6
VND00199,59,35.0,62.5,6.32,Vendor_0199,Logistics,Tier 1,92.1
VND00143,54,30.0,62.5,7.96,Vendor_0143,IT Services,Unclassified,
VND00940,49,30.0,62.5,10.85,Vendor_0940,Textiles,Tier 2,70.4
VND00929,68,40.0,62.5,7.88,Vendor_0929,Raw Material,Tier 2,74.3
VND00500,62,35.0,62.5,8.34,Vendor_0500,Electronics,Tier 1,99.0
VND00655,64,38.0,62.3,6.62,Vendor_0655,Machinery,Unclassified,
VND00531,59,33.0,62.26,5.74,Vendor_0531,Machinery,Tier 1,86.9
VND00130,57,33.0,62.26,7.25,Vendor_0130,Logistics,Tier 2,65.8
VND00244,58,33.0,62.26,8.64,Vendor_0244,Chemicals,Tier 3,55.9
VND00088,48,28.0,62.22,5.36,Vendor_0088,Electronics,Tier 2,74.6
VND00090,47,28.0,62.22,9.09,Vendor_0090,Machinery,Unclassified,
VND00387,46,28.0,62.22,7.36,Vendor_0387,Textiles,Tier 3,49.7
VND00034,45,28.0,62.22,7.64,Vendor_0034,Chemicals,Tier 1,96.4
VND00815,41,23.0,62.16,8.81,Vendor_0815,Textiles,Tier 1,90.9
VND00567,38,23.0,62.16,8.19,Vendor_0567,Logistics,Tier 3,57.5
VND00903,41,23.0,62.16,9.46,Vendor_0903,Packaging,Tier 3,42.7
VND00511,53,31.0,62.0,6.84,Vendor_0511,Raw Material,Tier 2,72.9
VND00809,50,31.0,62.0,5.8,Vendor_0809,Raw Material,Tier 2,61.6
VND00527,53,31.0,62.0,9.46,Vendor_0527,Machinery,Tier 3,59.0
VND00671,53,31.0,62.0,8.72,Vendor_0671,Machinery,Tier 3,42.1
VND00882,43,26.0,61.9,8.07,Vendor_0882,IT Services,Tier 2,77.0
VND00984,48,26.0,61.9,6.62,Vendor_0984,Raw Material,Tier 3,35.3
VND00441,45,26.0,61.9,6.81,Vendor_0441,Textiles,Tier 3,35.9
VND00248,59,34.0,61.82,6.56,Vendor_0248,Machinery,Tier 1,97.7
VND00386,56,34.0,61.82,6.75,Vendor_0386,Electronics,Tier 1,86.2
VND00262,51,29.0,61.7,6.38,Vendor_0262,Electronics,Tier 1,99.3
VND00828,48,29.0,61.7,8.0,Vendor_0828,Textiles,Tier 3,54.3
VND00278,49,29.0,61.7,6.4,Vendor_0278,Chemicals,Tier 2,75.5
VND00893,49,29.0,61.7,6.68,Vendor_0893,Chemicals,Tier 1,88.1
VND00001,49,29.0,61.7,8.49,Vendor_0001,Unknown,Tier 3,56.2
VND00120,49,29.0,61.7,8.34,Vendor_0120,Electronics,Tier 2,67.8
VND00038,49,29.0,61.7,8.51,Vendor_0038,Logistics,Tier 3,36.8
VND00156,55,32.0,61.54,7.25,Vendor_0156,Packaging,Tier 3,46.9
VND00236,46,24.0,61.54,5.74,Vendor_0236,Packaging,Tier 1,80.6
VND00364,53,32.0,61.54,6.75,Vendor_0364,Machinery,Tier 2,68.2
VND00773,55,32.0,61.54,8.02,Vendor_0773,Textiles,Tier 3,38.9
VND00654,40,24.0,61.54,6.36,Vendor_0654,Machinery,Tier 1,82.2
VND00855,57,32.0,61.54,8.21,Vendor_0855,IT Services,Tier 3,44.4
VND00814,40,24.0,61.54,9.26,Vendor_0814,Electronics,Tier 1,94.5
VND00917,54,32.0,61.54,6.56,Vendor_0917,Electronics,Tier 3,50.6
VND00540,55,32.0,61.54,7.08,Vendor_0540,Chemicals,Tier 3,39.0
VND00625,61,35.0,61.4,8.28,Vendor_0625,Electronics,Tier 2,73.3
VND00587,61,35.0,61.4,8.3,Vendor_0587,IT Services,Tier 3,35.3
VND00346,61,35.0,61.4,7.93,Vendor_0346,Textiles,Tier 2,73.1
VND00837,49,27.0,61.36,5.95,Vendor_0837,Logistics,Tier 1,94.0
VND00134,46,27.0,61.36,8.98,Vendor_0134,IT Services,Tier 3,53.6
VND00293,45,27.0,61.36,6.82,Vendor_0293,Textiles,Tier 1,87.6
VND00909,63,38.0,61.29,9.11,Vendor_0909,Raw Material,Tier 3,48.2
VND00822,52,30.0,61.22,5.76,Vendor_0822,Raw Material,Tier 3,30.3
VND00250,55,30.0,61.22,7.04,Vendor_0250,Electronics,Tier 1,89.7
VND00013,52,30.0,61.22,7.43,Vendor_0013,Textiles,Tier 1,88.3
VND00486,51,30.0,61.22,7.76,Vendor_0486,Raw Material,Tier 1,93.1
VND00104,51,30.0,61.22,7.78,Vendor_0104,Logistics,Tier 2,65.6
VND00314,60,33.0,61.11,6.7,Vendor_0314,Electronics,Tier 1,97.4
VND00817,57,33.0,61.11,7.43,Vendor_0817,Electronics,Tier 2,71.4
VND00363,65,36.0,61.02,8.47,Vendor_0363,Unknown,Tier 2,62.1
VND00423,45,25.0,60.98,5.49,Vendor_0423,Logistics,Tier 3,36.4
VND00521,46,25.0,60.98,6.85,Vendor_0521,Textiles,Tier 2,71.6
VND00906,47,25.0,60.98,6.51,Vendor_0906,Chemicals,Tier 1,92.5
VND00162,42,25.0,60.98,7.07,Vendor_0162,Unknown,Tier 2,74.3
VND00888,45,25.0,60.98,7.95,Vendor_0888,Chemicals,Tier 3,46.7
VND00076,42,25.0,60.98,7.49,Vendor_0076,Machinery,Tier 1,81.0
VND00762,46,25.0,60.98,6.61,Vendor_0762,Chemicals,Tier 3,51.8
VND00849,42,25.0,60.98,7.49,Vendor_0849,Electronics,Tier 2,65.2
VND00179,50,28.0,60.87,8.74,Vendor_0179,IT Services,Tier 1,95.6
VND00647,51,28.0,60.87,9.07,Vendor_0647,Raw Material,Tier 2,71.6
VND00642,50,28.0,60.87,6.46,Vendor_0642,Packaging,Tier 3,52.5
VND00078,50,28.0,60.87,7.72,Vendor_0078,Electronics,Tier 3,35.2
VND00002,53,31.0,60.78,7.98,Vendor_0002,Electronics,Tier 1,96.6
VND00242,56,31.0,60.78,6.86,Vendor_0242,Machinery,Tier 1,96.8
VND00361,52,31.0,60.78,7.02,Vendor_0361,IT Services,Tier 3,57.2
VND00938,42,23.0,60.53,4.97,Vendor_0938,IT Services,Tier 1,94.0
VND00927,43,23.0,60.53,9.32,Vendor_0927,Electronics,Tier 3,48.8
VND00839,42,23.0,60.53,7.13,Vendor_0839,Packaging,Tier 2,70.6
VND00764,43,26.0,60.47,6.93,Vendor_0764,Raw Material,Tier 1,82.1
VND00043,46,26.0,60.47,5.67,Vendor_0043,IT Services,Tier 3,32.4
VND00683,45,26.0,60.47,5.07,Vendor_0683,Chemicals,Tier 3,42.0
VND00358,47,26.0,60.47,10.42,Vendor_0358,IT Services,Tier 2,71.0
VND00493,47,26.0,60.47,7.49,Vendor_0493,IT Services,Tier 3,49.4
VND00459,48,26.0,60.47,6.74,Vendor_0459,Textiles,Tier 3,33.9
VND00065,49,29.0,60.42,6.23,Vendor_0065,Machinery,Tier 3,49.7
VND00719,54,29.0,60.42,8.12,Vendor_0719,Raw Material,Tier 3,38.7
VND00365,50,29.0,60.42,6.27,Vendor_0365,Chemicals,Tier 1,95.9
VND00728,52,29.0,60.42,8.0,Vendor_0728,Logistics,Tier 1,85.7
VND00014,58,32.0,60.38,7.79,Vendor_0014,Machinery,Tier 3,44.9
VND00341,60,32.0,60.38,7.68,Vendor_0341,Chemicals,Tier 2,64.4
VND00067,56,32.0,60.38,6.06,Vendor_0067,Electronics,Tier 3,39.9
VND00789,61,35.0,60.34,7.33,Vendor_0789,Packaging,Tier 2,62.3
VND00127,62,35.0,60.34,8.07,Vendor_0127,Logistics,Tier 1,87.3
VND00490,71,41.0,60.29,7.15,Vendor_0490,IT Services,Tier 1,92.3
VND00718,44,24.0,60.0,5.7,Vendor_0718,Textiles,Tier 1,97.6
VND00326,54,30.0,60.0,7.34,Vendor_0326,Logistics,Tier 1,81.7
VND00405,54,30.0,60.0,6.98,Vendor_0405,Logistics,Tier 3,52.4
VND00327,46,27.0,60.0,7.04,Vendor_0327,Machinery,Tier 2,68.8
VND00961,52,30.0,60.0,8.44,Vendor_0961,Electronics,Tier 3,35.8
VND00682,51,30.0,60.0,7.74,Vendor_0682,Textiles,Tier 3,48.1
VND00039,58,33.0,60.0,9.71,Vendor_0039,Chemicals,Tier 2,77.9
VND00866,32,18.0,60.0,5.8,Vendor_0866,Raw Material,Tier 2,69.2
VND00229,52,27.0,60.0,7.27,Vendor_0229,Machinery,Unclassified,
VND00288,43,24.0,60.0,7.4,Vendor_0288,Textiles,Tier 2,68.0
VND00173,43,24.0,60.0,8.88,Vendor_0173,Raw Material,Tier 2,65.8
VND00535,41,24.0,60.0,5.38,Vendor_0535,Unknown,Tier 1,83.8
VND00852,45,24.0,60.0,8.25,Vendor_0852,Machinery,Tier 1,82.5
VND00722,31,18.0,60.0,6.33,Vendor_0722,Raw Material,Tier 3,42.7
VND00320,48,27.0,60.0,8.16,Vendor_0320,Textiles,Tier 3,47.5
VND00616,47,27.0,60.0,6.98,Vendor_0616,Electronics,Tier 1,94.5
VND00738,45,24.0,60.0,6.6,Vendor_0738,Machinery,Tier 1,87.2
VND00184,35,21.0,60.0,9.66,Vendor_0184,Logistics,Tier 1,91.4
VND00772,56,33.0,60.0,5.69,Vendor_0772,Chemicals,Tier 1,89.3
VND00581,53,30.0,60.0,8.78,Vendor_0581,Logistics,Tier 2,62.1
VND00315,53,30.0,60.0,6.84,Vendor_0315,Machinery,Tier 1,88.5
VND00355,37,21.0,60.0,8.03,Vendor_0355,Textiles,Tier 3,34.9
VND00061,58,30.0,60.0,5.86,Vendor_0061,Electronics,Tier 3,57.2
VND00031,50,30.0,60.0,7.46,Vendor_0031,Raw Material,Unclassified,
VND00538,45,24.0,60.0,7.83,Vendor_0538,IT Services,Tier 3,47.3
VND00749,38,21.0,60.0,5.51,Vendor_0749,Machinery,Tier 1,93.5
VND00015,46,27.0,60.0,8.09,Vendor_0015,IT Services,Tier 3,42.7
VND00243,57,31.0,59.62,8.77,Vendor_0243,Logistics,Tier 1,94.0
VND00239,55,31.0,59.62,6.63,Vendor_0239,Electronics,Tier 2,75.2
VND00306,53,31.0,59.62,8.17,Vendor_0306,Chemicals,Tier 1,98.3
VND00997,55,31.0,59.62,5.63,Vendor_0997,Electronics,Tier 1,94.2
VND00329,55,31.0,59.62,7.19,Vendor_0329,Unknown,Tier 3,59.4
VND00810,55,31.0,59.62,7.04,Vendor_0810,Electronics,Tier 3,37.9
VND00821,55,31.0,59.62,6.67,Vendor_0821,Raw Material,Tier 1,86.2
VND00526,55,31.0,59.62,7.79,Vendor_0526,Packaging,Tier 2,62.8
VND00674,55,31.0,59.62,7.23,Vendor_0674,IT Services,Tier 2,66.7
VND00834,48,28.0,59.57,8.17,Vendor_0834,Packaging,Tier 3,42.3
VND00529,52,28.0,59.57,6.4,Vendor_0529,IT Services,Tier 3,33.9
VND00546,50,28.0,59.57,6.55,Vendor_0546,Logistics,Tier 3,55.1
VND00111,49,28.0,59.57,6.98,Vendor_0111,Electronics,Tier 3,50.3
VND00813,55,28.0,59.57,7.72,Vendor_0813,Logistics,Tier 3,38.7
VND00071,51,28.0,59.57,6.13,Vendor_0071,Machinery,Tier 1,84.1
VND00037,49,28.0,59.57,8.62,Vendor_0037,Electronics,Tier 3,51.3
VND00506,51,28.0,59.57,6.79,Vendor_0506,Electronics,Tier 3,41.4
VND00336,50,28.0,59.57,5.32,Vendor_0336,Chemicals,Tier 3,32.9
VND00057,48,25.0,59.52,7.21,Vendor_0057,Electronics,Tier 3,36.2
VND00620,44,25.0,59.52,8.31,Vendor_0620,Electronics,Tier 1,82.4
VND00586,41,22.0,59.46,8.68,Vendor_0586,Logistics,Tier 3,46.8
VND00776,36,19.0,59.38,5.31,Vendor_0776,Logistics,Tier 3,40.5
VND00191,65,35.0,59.32,7.29,Vendor_0191,Raw Material,Tier 3,36.5
VND00089,60,35.0,59.32,7.32,Vendor_0089,Chemicals,Tier 1,92.1
VND00450,63,35.0,59.32,6.03,Vendor_0450,Chemicals,Tier 3,35.8
VND00559,57,32.0,59.26,7.5,Vendor_0559,IT Services,Unclassified,
VND00150,54,32.0,59.26,6.87,Vendor_0150,Logistics,Tier 3,49.5
VND00196,62,32.0,59.26,9.11,Vendor_0196,Packaging,Tier 3,54.4
VND00800,54,29.0,59.18,6.06,Vendor_0800,IT Services,Tier 1,94.6
VND00135,50,29.0,59.18,6.0,Vendor_0135,Textiles,Tier 1,96.0
VND00098,53,29.0,59.18,9.94,Vendor_0098,Packaging,Tier 3,59.9
VND00268,51,29.0,59.18,8.35,Vendor_0268,Textiles,Tier 2,79.2
VND00495,49,26.0,59.09,9.45,Vendor_0495,Chemicals,Tier 2,62.5
VND00698,48,26.0,59.09,5.16,Vendor_0698,Electronics,Tier 2,70.7
VND00447,48,26.0,59.09,6.77,Vendor_0447,IT Services,Tier 1,99.0
VND00017,44,26.0,59.09,6.68,Vendor_0017,Packaging,Tier 3,51.3
VND00378,48,26.0,59.09,7.05,Vendor_0378,Textiles,Tier 3,31.6
VND00770,47,26.0,59.09,6.64,Vendor_0770,IT Services,Tier 1,87.5
VND00504,52,26.0,59.09,5.45,Vendor_0504,Textiles,Tier 1,87.0
VND00953,42,23.0,58.97,7.64,Vendor_0953,Chemicals,Tier 3,42.3
VND00415,39,23.0,58.97,8.72,Vendor_0415,Chemicals,Tier 2,74.2
VND00751,44,23.0,58.97,8.18,Vendor_0751,IT Services,Tier 3,38.2
VND00507,40,23.0,58.97,9.21,Vendor_0507,Logistics,Tier 1,93.8
VND00556,43,23.0,58.97,5.87,Vendor_0556,Textiles,Tier 3,58.2
