Product_SKU,Product_Name,Product_Category,Warehouse_ID,Warehouse_Location,Stock_On_Hand,Reorder_Level,Units_Sold_Last_Month,Gap_Units
SKU3683,Product_SKU3683,Packaging,WH09,Surat,484,1702,364,1218
SKU5016,Product_SKU5016,Textiles,WH08,Ahmedabad,330,1543,1143,1213
SKU2929,Product_SKU2929,Machinery,WH01,Mumbai,756,1962,5869,1206
SKU3669,Product_SKU3669,Textiles,WH06,Kolkata,763,1958,1222,1195
SKU3698,Product_SKU3698,Chemicals,WH09,Surat,456,1650,3936,1194
SKU1757,Product_SKU1757,Textiles,WH08,Ahmedabad,337,1531,5351,1194
SKU3769,Product_SKU3769,IT Equipment,WH05,Hyderabad,464,1647,4507,1183
SKU4673,Product_SKU4673,Packaging,WH10,Jaipur,203,1383,1969,1180
SKU5855,Product_SKU5855,Electronics,WH05,Hyderabad,752,1930,7298,1178
SKU1293,Product_SKU1293,Machinery,WH08,Ahmedabad,128,1302,4052,1174
SKU4008,Product_SKU4008,Chemicals,WH04,Bangalore,240,1405,6789,1165
SKU2106,Product_SKU2106,Raw Material,WH08,Ahmedabad,682,1846,6676,1164
SKU3191,Product_SKU3191,Textiles,WH04,Bangalore,453,1614,1027,1161
SKU4131,Product_SKU4131,Textiles,WH08,Ahmedabad,396,1549,1863,1153
SKU2825,Product_SKU2825,Raw Material,WH05,Hyderabad,228,1373,2613,1145
SKU3997,Product_SKU3997,Electronics,WH04,Bangalore,843,1983,4573,1140
SKU5924,Product_SKU5924,Textiles,WH02,Delhi,783,1916,111,1133
SKU5501,Product_SKU5501,IT Equipment,WH04,Bangalore,432,1564,2506,1132
SKU4038,Product_SKU4038,Packaging,WH10,Jaipur,148,1279,3096,1131
SKU2935,Product_SKU2935,Textiles,WH04,Bangalore,341,1472,6306,1131
SKU5998,Product_SKU5998,Chemicals,WH01,Mumbai,456,1587,3947,1131
SKU5197,Product_SKU5197,Electronics,WH02,Delhi,836,1966,6009,1130
SKU4249,Product_SKU4249,Machinery,WH03,Chennai,307,1435,3291,1128
SKU2675,Product_SKU2675,Spare Parts,WH03,Chennai,408,1536,7770,1128
SKU5969,Product_SKU5969,IT Equipment,WH02,Delhi,376,1501,7128,1125
SKU2138,Product_SKU2138,Textiles,WH07,Pune,290,1414,5000,1124
SKU5382,Product_SKU5382,Electronics,WH07,Pune,729,1828,2061,1099
SKU4657,Product_SKU4657,IT Equipment,WH09,Surat,482,1580,7912,1098
SKU1695,Product_SKU1695,Electronics,WH06,Kolkata,898,1992,4665,1094
SKU5809,Product_SKU5809,Packaging,WH03,Chennai,289,1380,5514,1091
SKU3539,Product_SKU3539,IT Equipment,WH09,Surat,124,1213,955,1089
SKU3247,Product_SKU3247,Packaging,WH04,Bangalore,781,1866,1159,1085
SKU3380,Product_SKU3380,Raw Material,WH07,Pune,775,1860,2611,1085
SKU3705,Product_SKU3705,Electronics,WH02,Delhi,1,1084,6417,1083
SKU3341,Product_SKU3341,Raw Material,WH06,Kolkata,625,1708,5397,1083
SKU2501,Product_SKU2501,Packaging,WH09,Surat,198,1280,3247,1082
SKU3380,Product_SKU3380,Machinery,WH10,Jaipur,312,1390,2008,1078
SKU4229,Product_SKU4229,Raw Material,WH05,Hyderabad,30,1107,4369,1077
SKU3997,Product_SKU3997,IT Equipment,WH09,Surat,111,1188,6238,1077
SKU1831,Product_SKU1831,Spare Parts,WH07,Pune,247,1324,6105,1077
SKU1647,Product_SKU1647,Packaging,WH10,Jaipur,371,1445,6991,1074
SKU5187,Product_SKU5187,Chemicals,WH08,Ahmedabad,590,1662,5293,1072
SKU2778,Product_SKU2778,Textiles,WH10,Jaipur,528,1600,465,1072
SKU2060,Product_SKU2060,Spare Parts,WH06,Kolkata,533,1604,92,1071
SKU4794,Product_SKU4794,Packaging,WH02,Delhi,134,1204,711,1070
SKU1819,Product_SKU1819,Textiles,WH01,Mumbai,857,1918,6322,1061
SKU1707,Product_SKU1707,IT Equipment,WH09,Surat,363,1409,4270,1046
SKU4236,Product_SKU4236,IT Equipment,WH07,Pune,954,1997,4116,1043
SKU1695,Product_SKU1695,IT Equipment,WH05,Hyderabad,144,1184,7810,1040
SKU5044,Product_SKU5044,Electronics,WH03,Chennai,31,1063,5381,1032
SKU5855,Product_SKU5855,Electronics,WH04,Bangalore,399,1423,6377,1024
SKU2645,Product_SKU2645,Raw Material,WH10,Jaipur,326,1348,5832,1022
SKU1988,Product_SKU1988,Chemicals,WH05,Hyderabad,853,1875,432,1022
SKU4025,Product_SKU4025,Electronics,WH10,Jaipur,658,1678,4124,1020
SKU3558,Product_SKU3558,Spare Parts,WH05,Hyderabad,642,1660,1886,1018
SKU3518,Product_SKU3518,Packaging,WH04,Bangalore,791,1786,6767,995
SKU5360,Product_SKU5360,Machinery,WH07,Pune,491,1481,912,990
SKU1103,Product_SKU1103,IT Equipment,WH01,Mumbai,959,1948,1812,989
SKU3567,Product_SKU3567,Packaging,WH03,Chennai,292,1278,4140,986
SKU2937,Product_SKU2937,Electronics,WH06,Kolkata,274,1257,3952,983
SKU2942,Product_SKU2942,Textiles,WH06,Kolkata,427,1407,5147,980
SKU2238,Product_SKU2238,IT Equipment,WH03,Chennai,914,1889,3135,975
SKU1200,Product_SKU1200,IT Equipment,WH08,Ahmedabad,267,1240,1179,973
SKU5016,Product_SKU5016,Spare Parts,WH09,Surat,633,1604,6288,971
SKU1362,Product_SKU1362,Electronics,WH08,Ahmedabad,101,1069,5126,968
SKU1440,Product_SKU1440,Textiles,WH03,Chennai,327,1291,2071,964
SKU5162,Product_SKU5162,Spare Parts,WH05,Hyderabad,620,1580,4866,960
SKU4720,Product_SKU4720,Electronics,WH07,Pune,593,1550,1529,957
SKU4887,Product_SKU4887,IT Equipment,WH08,Ahmedabad,872,1827,7843,955
SKU1956,Product_SKU1956,Chemicals,WH06,Kolkata,988,1937,3526,949
SKU4457,Product_SKU4457,IT Equipment,WH08,Ahmedabad,540,1487,1927,947
SKU1504,Product_SKU1504,Chemicals,WH04,Bangalore,1053,1995,7028,942
SKU3903,Product_SKU3903,IT Equipment,WH01,Mumbai,423,1363,1714,940
SKU5416,Product_SKU5416,Machinery,WH06,Kolkata,898,1835,7662,937
SKU3997,Product_SKU3997,Spare Parts,WH07,Pune,572,1505,7650,933
SKU3726,Product_SKU3726,Textiles,WH07,Pune,346,1273,7122,927
SKU5851,Product_SKU5851,Packaging,WH05,Hyderabad,951,1876,2074,925
SKU4666,Product_SKU4666,Textiles,WH03,Chennai,613,1536,581,923
SKU4076,Product_SKU4076,IT Equipment,WH03,Chennai,670,1591,518,921
SKU5761,Product_SKU5761,Textiles,WH09,Surat,1067,1983,4884,916
SKU5416,Product_SKU5416,Packaging,WH04,Bangalore,408,1323,4858,915
SKU4259,Product_SKU4259,Textiles,WH05,Hyderabad,746,1659,4902,913
SKU3701,Product_SKU3701,Packaging,WH03,Chennai,976,1888,2178,912
SKU1959,Product_SKU1959,Spare Parts,WH01,Mumbai,405,1316,2966,911
SKU4510,Product_SKU4510,Raw Material,WH05,Hyderabad,459,1368,5073,909
SKU4738,Product_SKU4738,Textiles,WH06,Kolkata,98,1007,7834,909
SKU4226,Product_SKU4226,Spare Parts,WH02,Delhi,256,1157,4552,901
SKU5591,Product_SKU5591,Textiles,WH01,Mumbai,776,1672,7463,896
SKU2921,Product_SKU2921,IT Equipment,WH05,Hyderabad,227,1121,5130,894
SKU3711,Product_SKU3711,Machinery,WH04,Bangalore,595,1479,7484,884
SKU4940,Product_SKU4940,Chemicals,WH08,Ahmedabad,816,1696,6493,880
SKU2825,Product_SKU2825,Machinery,WH03,Chennai,127,1004,132,877
SKU3726,Product_SKU3726,Spare Parts,WH10,Jaipur,258,1135,7041,877
SKU2016,Product_SKU2016,Spare Parts,WH06,Kolkata,1066,1941,7650,875
SKU4245,Product_SKU4245,IT Equipment,WH07,Pune,72,945,5175,873
SKU4038,Product_SKU4038,Chemicals,WH01,Mumbai,348,1210,1294,862
SKU5591,Product_SKU5591,Machinery,WH06,Kolkata,989,1851,700,862
SKU1988,Product_SKU1988,Packaging,WH01,Mumbai,595,1456,4077,861
SKU2203,Product_SKU2203,Raw Material,WH02,Delhi,766,1627,7557,861
SKU5747,Product_SKU5747,Packaging,WH06,Kolkata,383,1236,3102,853
SKU5864,Product_SKU5864,Textiles,WH07,Pune,419,1269,4548,850
SKU5654,Product_SKU5654,Packaging,WH02,Delhi,910,1756,4261,846
SKU3034,Product_SKU3034,IT Equipment,WH05,Hyderabad,762,1604,1362,842
SKU2296,Product_SKU2296,Textiles,WH03,Chennai,947,1787,3952,840
SKU2662,Product_SKU2662,Raw Material,WH04,Bangalore,186,1024,1422,838
SKU5718,Product_SKU5718,Machinery,WH10,Jaipur,840,1673,830,833
SKU3945,Product_SKU3945,Raw Material,WH04,Bangalore,892,1723,5413,831
SKU2238,Product_SKU2238,Raw Material,WH01,Mumbai,1064,1894,1163,830
SKU2967,Product_SKU2967,IT Equipment,WH09,Surat,411,1236,5488,825
SKU3187,Product_SKU3187,Textiles,WH04,Bangalore,494,1309,5579,815
SKU2448,Product_SKU2448,Machinery,WH07,Pune,935,1745,6059,810
SKU4162,Product_SKU4162,Raw Material,WH07,Pune,25,832,331,807
SKU3711,Product_SKU3711,Chemicals,WH03,Chennai,165,971,4244,806
SKU2868,Product_SKU2868,Textiles,WH05,Hyderabad,69,865,1940,796
SKU2618,Product_SKU2618,Textiles,WH01,Mumbai,980,1774,7616,794
SKU2244,Product_SKU2244,Raw Material,WH08,Ahmedabad,523,1314,1396,791
SKU3268,Product_SKU3268,Electronics,WH10,Jaipur,960,1749,1013,789
SKU1329,Product_SKU1329,Textiles,WH07,Pune,440,1222,3327,782
SKU5283,Product_SKU5283,Electronics,WH01,Mumbai,813,1585,1991,772
SKU2241,Product_SKU2241,IT Equipment,WH06,Kolkata,424,1195,1958,771
SKU2601,Product_SKU2601,Packaging,WH09,Surat,975,1744,2258,769
SKU1925,Product_SKU1925,IT Equipment,WH10,Jaipur,272,1038,6541,766
SKU5162,Product_SKU5162,Spare Parts,WH10,Jaipur,716,1478,1577,762
