PO_ID,Vendor_ID,Product_Category,Product_SKU,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Ordered_Quantity,Unit_Price_INR,Total_Order_Value,Order_Status,Warehouse_ID,Delivery_Delay_Days,Late_Delivery,Order_Month,Order_Quarter
PO0040429,VND00069,Raw Material,SKU1635,2023-01-09,2023-01-21,2023-01-18,1162,1995.27,2318503.74,Cancelled,WH08,-3,0,2023-01,2023Q1
PO0005539,VND00586,IT Equipment,SKU3701,2024-12-26,2025-01-09,,169,2372.77,400998.13,In Transit,WH03,,,2024-12,2024Q4
PO0026218,VND00608,Spare Parts,SKU1156,2021-03-04,2021-03-25,2021-03-22,3092,2992.4,9252500.8,Received,WH01,-3,0,2021-03,2021Q1
PO0030896,VND00119,Textiles,SKU4256,2024-07-27,2024-08-19,,3824,2851.19,10902950.56,Cancelled,WH07,,,2024-07,2024Q3
PO0044704,VND00712,IT Equipment,SKU2882,2024-01-09,2024-02-03,2024-03-04,2011,1629.64,3277206.04,Cancelled,WH05,30,1,2024-01,2024Q1
PO0048142,VND00385,Raw Material,SKU3068,2021-08-04,2021-08-31,2021-09-02,2453,1765.14,4329888.42,Pending,WH02,2,1,2021-08,2021Q3
PO0005757,VND00555,Electronics,SKU3184,2021-07-05,2021-07-30,2021-08-14,4335,3859.86,16732493.1,Received,WH01,15,1,2021-07,2021Q3
PO0042371,VND00243,Spare Parts,SKU5885,2023-11-10,2023-11-18,2023-12-03,3568,1492.57,5325489.76,Unknown,WH05,15,1,2023-11,2023Q4
PO0001762,VND00089,Electronics,SKU3542,2021-03-12,2021-03-20,2021-03-20,1721,1925.76,3314232.96,Pending,WH01,0,0,2021-03,2021Q1
PO0035067,VND00253,Textiles,SKU1149,2024-11-14,2024-12-04,2024-12-04,4031,4242.81,17102767.11,In Transit,WH02,0,0,2024-11,2024Q4
PO0001095,VND00152,Packaging,SKU5902,2022-03-21,2022-04-10,2022-04-12,1271,4472.15,5684102.65,Received,WH01,2,1,2022-03,2022Q1
PO0001312,VND00026,IT Equipment,SKU3019,2022-07-24,2022-08-08,,1860,193.54,359984.4,Pending,WH05,,,2022-07,2022Q3
PO0018221,VND00841,Packaging,SKU2957,2021-11-13,2021-12-12,2021-12-17,1790,2427.44,4345117.6,Cancelled,WH02,5,1,2021-11,2021Q4
PO0049461,VND00776,Textiles,SKU1435,2022-06-02,2022-06-13,2022-06-13,4569,1358.09,6205113.21,Cancelled,WH09,0,0,2022-06,2022Q2
PO0004764,VND00073,Raw Material,SKU5464,2022-05-13,2022-06-04,2022-06-06,2581,542.37,1399856.97,In Transit,WH08,2,1,2022-05,2022Q2
PO0034728,VND00545,Machinery,SKU2164,2023-09-19,2023-09-24,2023-09-29,1344,2828.35,3801302.4,Cancelled,WH04,5,1,2023-09,2023Q3
PO0006351,VND00738,IT Equipment,SKU4935,2022-10-06,2022-10-30,2022-10-27,1333,517.91,690374.03,Cancelled,WH01,-3,0,2022-10,2022Q4
PO0007688,VND00449,Textiles,SKU3518,2022-12-22,2023-01-10,2023-01-10,268,4095.23,1097521.64,Partially Received,WH08,0,0,2022-12,2022Q4
PO0014470,VND00816,IT Equipment,SKU2742,2024-03-16,2024-04-05,2024-04-10,3855,4598.32,17726523.6,Cancelled,WH03,5,1,2024-03,2024Q1
PO0048149,VND00035,Raw Material,SKU5597,2021-02-02,2021-02-09,,1625,1058.66,1720322.5,Pending,WH10,,,2021-02,2021Q1
PO0029186,VND00521,Electronics,SKU1162,2022-01-23,2022-02-18,2022-02-23,4544,2081.8,9459699.2,Partially Received,WH01,5,1,2022-01,2022Q1
PO0006435,VND00167,Spare Parts,SKU2509,2024-01-05,2024-01-19,2024-01-19,2216,4093.7,9071639.2,Unknown,WH03,0,0,2024-01,2024Q1
PO0026509,VND00113,Machinery,SKU2096,2023-12-21,2024-01-15,2024-02-14,3966,543.38,2155045.08,Pending,WH09,30,1,2023-12,2023Q4
PO0046200,VND00062,Machinery,SKU5919,2023-02-14,2023-03-04,2023-03-19,2557,333.31,852273.67,Cancelled,WH03,15,1,2023-02,2023Q1
PO0014482,VND00087,Machinery,SKU1121,2023-04-28,2023-05-08,2023-05-05,780,2119.79,1653436.2,In Transit,WH09,-3,0,2023-04,2023Q2
PO0031422,VND00140,Machinery,SKU1637,2021-10-08,2021-11-05,2021-11-15,2602,1939.29,5046032.58,Partially Received,WH03,10,1,2021-10,2021Q4
PO0005096,VND00505,Electronics,SKU3621,2022-07-04,2022-08-02,,804,1155.65,929142.6,Partially Received,WH01,,,2022-07,2022Q3
PO0035952,VND00208,Packaging,SKU2167,2023-10-17,2023-11-07,2023-11-04,807,2404.98,1940818.86,Cancelled,WH02,-3,0,2023-10,2023Q4
PO0006304,VND00886,Spare Parts,SKU2763,2022-08-14,2022-09-12,2022-09-09,3274,3788.34,12403025.16,Partially Received,WH07,-3,0,2022-08,2022Q3
PO0001822,VND00074,Chemicals,SKU3724,2021-10-09,2021-10-25,,4561,1346.01,6139151.61,In Transit,WH07,,,2021-10,2021Q4
PO0009201,VND00354,Chemicals,SKU1006,2024-07-21,2024-08-01,2024-08-01,716,1034.17,740465.72,Pending,WH07,0,0,2024-07,2024Q3
PO0038841,VND00349,Spare Parts,SKU2274,2021-12-04,2021-12-27,2022-01-26,605,2049.86,1240165.3,In Transit,WH02,30,1,2021-12,2021Q4
PO0037118,VND00226,Raw Material,SKU4886,2022-03-12,2022-04-08,2022-04-08,1250,165.87,207337.5,Pending,WH10,0,0,2022-03,2022Q1
PO0021918,VND00316,Textiles,SKU4421,2023-04-08,2023-05-03,2023-05-03,4933,2452.71,12099218.43,Pending,WH04,0,0,2023-04,2023Q2
PO0032945,VND00463,Machinery,SKU2504,2024-01-29,2024-02-13,2024-02-13,2007,4716.28,9465573.96,Cancelled,WH04,0,0,2024-01,2024Q1
PO0047233,VND00783,Electronics,SKU2520,2024-01-31,2024-02-10,,3801,4400.91,16727858.91,Pending,WH02,,,2024-01,2024Q1
PO0036968,VND00359,Raw Material,SKU2143,2024-10-28,2024-11-24,2024-11-26,2661,4214.59,11215023.99,Partially Received,WH03,2,1,2024-10,2024Q4
PO0031764,VND00064,Electronics,SKU4198,2022-04-12,2022-05-07,2022-05-12,596,1809.68,1078569.28,Received,WH08,5,1,2022-04,2022Q2
PO0027767,VND00884,Packaging,SKU1156,2023-11-06,2023-11-24,2023-12-04,4509,2413.89,10884230.01,Received,WH05,10,1,2023-11,2023Q4
PO0028644,VND00852,Textiles,SKU5039,2021-10-24,2021-11-12,2021-11-12,4834,610.27,2950045.18,In Transit,WH07,0,0,2021-10,2021Q4
PO0023501,VND00883,Packaging,SKU2659,2021-06-24,2021-07-07,2021-07-07,4239,2010.59,8522891.01,Cancelled,WH05,0,0,2021-06,2021Q2
PO0007742,VND00005,Machinery,SKU3383,2024-12-25,2025-01-20,2025-01-25,4173,2731.37,11398007.01,In Transit,WH06,5,1,2024-12,2024Q4
PO0013546,VND00023,Raw Material,SKU2077,2022-10-27,2022-11-18,2022-11-18,4549,4255.95,19360316.55,Cancelled,WH04,0,0,2022-10,2022Q4
PO0007976,VND00577,Chemicals,SKU2681,2021-10-17,2021-11-07,2021-11-22,4543,2455.68,11156154.24,In Transit,WH01,15,1,2021-10,2021Q4
PO0037007,VND00087,Chemicals,SKU1342,2021-06-26,2021-07-08,2021-07-18,4685,2092.32,9802519.2,Partially Received,WH01,10,1,2021-06,2021Q2
PO0000017,VND00615,Electronics,SKU1783,2022-11-17,2022-11-25,2022-11-22,1162,4118.19,4785336.78,Pending,WH03,-3,0,2022-11,2022Q4
PO0041373,VND00391,IT Equipment,SKU1836,2024-07-08,2024-07-20,2024-07-22,4761,416.68,1983813.48,Received,WH05,2,1,2024-07,2024Q3
PO0002848,VND00389,Machinery,SKU3389,2021-01-23,2021-02-10,2021-02-20,4872,2654.01,12930336.72,In Transit,WH04,10,1,2021-01,2021Q1
PO0022574,VND00676,IT Equipment,SKU2291,2023-07-01,2023-07-11,2023-07-11,4079,3706.02,15116855.58,Cancelled,WH07,0,0,2023-07,2023Q3
PO0015792,VND00031,Chemicals,SKU3748,2024-03-20,2024-04-01,2024-05-01,2215,994.52,2202861.8,Cancelled,WH09,30,1,2024-03,2024Q1
PO0025901,VND00807,IT Equipment,SKU2255,2022-04-20,2022-05-13,2022-06-12,2601,196.74,511720.74,Cancelled,WH03,30,1,2022-04,2022Q2
PO0011867,VND00267,Electronics,SKU3851,2022-04-27,2022-05-20,2022-06-04,3594,575.25,2067448.5,Partially Received,WH07,15,1,2022-04,2022Q2
PO0044849,VND00465,Machinery,SKU1965,2021-05-18,2021-06-03,2021-06-03,1182,536.44,634072.08,Pending,WH01,0,0,2021-05,2021Q2
PO0032275,VND00301,IT Equipment,SKU2812,2024-10-06,2024-10-22,2024-10-24,120,185.83,22299.6,Received,WH09,2,1,2024-10,2024Q4
PO0016699,VND00311,Machinery,SKU5214,2021-01-13,2021-02-03,2021-02-03,1544,1849.6,2855782.4,In Transit,WH09,0,0,2021-01,2021Q1
PO0013885,VND00343,Electronics,SKU5738,2024-03-02,2024-03-13,2024-03-13,3994,1790.38,7150777.72,Partially Received,WH10,0,0,2024-03,2024Q1
PO0022417,VND00266,Machinery,SKU5269,2021-07-08,2021-07-13,2021-07-13,3004,2014.68,6052098.72,Partially Received,WH10,0,0,2021-07,2021Q3
PO0042460,VND00972,IT Equipment,SKU4868,2022-06-29,2022-07-10,2022-07-10,3982,2450.02,9755979.64,In Transit,WH10,0,0,2022-06,2022Q2
PO0011167,VND00764,Textiles,SKU5835,2022-08-17,2022-08-25,2022-09-09,3953,2217.88,8767279.64,Cancelled,WH03,15,1,2022-08,2022Q3
PO0033716,VND00696,IT Equipment,SKU3401,2022-04-16,2022-05-03,2022-05-03,3402,1301.38,4427294.76,Cancelled,WH09,0,0,2022-04,2022Q2
PO0006432,VND00686,Textiles,SKU1069,2023-09-05,2023-09-16,2023-09-18,2749,1485.03,4082347.47,In Transit,WH06,2,1,2023-09,2023Q3
PO0041128,VND00964,Spare Parts,SKU1243,2022-03-16,2022-04-12,2022-04-12,1467,2449.48,3593387.16,Pending,WH01,0,0,2022-03,2022Q1
PO0024948,VND00321,Spare Parts,SKU1540,2024-05-01,2024-05-19,2024-06-18,1165,1145.94,1335020.1,In Transit,WH01,30,1,2024-05,2024Q2
PO0036165,VND00754,Machinery,SKU3211,2024-01-10,2024-02-04,2024-02-09,366,4076.59,1492031.94,In Transit,WH06,5,1,2024-01,2024Q1
PO0000113,VND00502,Spare Parts,SKU2998,2023-05-04,2023-05-14,2023-05-11,2791,4778.38,13336458.58,Received,WH08,-3,0,2023-05,2023Q2
PO0003686,VND00281,Electronics,SKU2740,2021-05-04,2021-05-19,2021-05-19,1247,1701.69,2122007.43,Pending,WH05,0,0,2021-05,2021Q2
PO0038179,VND00707,Raw Material,SKU5340,2022-05-16,2022-06-11,2022-06-16,2009,2354.13,4729447.17,Partially Received,WH06,5,1,2022-05,2022Q2
PO0010585,VND00542,Machinery,SKU2725,2023-05-23,2023-06-11,2023-06-13,1294,1276.71,1652062.74,Partially Received,WH09,2,1,2023-05,2023Q2
PO0005982,VND00091,Spare Parts,SKU3640,2023-11-16,2023-12-10,2023-12-10,1546,28.78,44493.88,In Transit,WH10,0,0,2023-11,2023Q4
PO0017022,VND00687,IT Equipment,SKU4102,2021-06-13,2021-06-18,2021-06-28,4970,3676.48,18272105.6,Cancelled,WH09,10,1,2021-06,2021Q2
PO0041346,VND00581,Raw Material,SKU2517,2022-06-12,2022-06-29,,3378,419.22,1416125.16,Partially Received,WH01,,,2022-06,2022Q2
PO0031751,VND00179,Raw Material,SKU2490,2022-08-06,2022-08-13,2022-08-23,1411,302.53,426869.83,Pending,WH10,10,1,2022-08,2022Q3
PO0013643,VND00909,IT Equipment,SKU3817,2022-12-09,2022-12-22,2023-01-06,1186,3710.6,4400771.6,Cancelled,WH02,15,1,2022-12,2022Q4
PO0034441,VND00406,Raw Material,SKU4190,2023-09-12,2023-09-21,2023-09-21,943,3150.68,2971091.24,In Transit,WH05,0,0,2023-09,2023Q3
PO0034160,VND00269,Packaging,SKU4342,2022-06-07,2022-07-05,2022-07-05,4788,3595.69,17216163.72,In Transit,WH01,0,0,2022-06,2022Q2
PO0041634,VND00323,Chemicals,SKU5704,2023-03-24,2023-04-16,2023-05-16,1198,3264.54,3910918.92,Pending,WH03,30,1,2023-03,2023Q1
PO0014415,VND00291,Machinery,SKU2943,2024-09-18,2024-10-07,2024-10-17,1892,3815.33,7218604.36,Pending,WH08,10,1,2024-09,2024Q3
PO0020938,VND00122,IT Equipment,SKU4817,2024-05-12,2024-05-31,2024-05-31,3786,284.17,1075867.62,Partially Received,WH03,0,0,2024-05,2024Q2
PO0020040,VND00158,IT Equipment,SKU4205,2024-09-14,2024-10-06,2024-10-16,4728,540.23,2554207.44,Pending,WH03,10,1,2024-09,2024Q3
PO0040786,VND00439,Chemicals,SKU3671,2022-01-27,2022-02-25,2022-02-22,4824,1849.57,8922325.68,Received,WH05,-3,0,2022-01,2022Q1
PO0004003,VND00308,Machinery,SKU1124,2021-07-20,2021-07-29,2021-08-13,2977,3317.54,9876316.58,Pending,WH04,15,1,2021-07,2021Q3
PO0038244,VND00823,IT Equipment,SKU5614,2021-01-23,2021-02-16,2021-02-16,2840,4239.66,12040634.4,In Transit,WH03,0,0,2021-01,2021Q1
PO0011874,VND00870,Raw Material,SKU2647,2021-02-03,2021-03-04,2021-03-04,834,2466.6,2057144.4,Received,WH07,0,0,2021-02,2021Q1
PO0006466,VND00074,Spare Parts,SKU1332,2021-01-02,2021-01-16,2021-01-21,2865,3872.43,11094511.95,Cancelled,WH06,5,1,2021-01,2021Q1
PO0009749,VND00063,IT Equipment,SKU4719,2024-02-04,2024-02-14,2024-02-11,4569,4240.29,19373885.01,Received,WH07,-3,0,2024-02,2024Q1
PO0022840,VND00469,Textiles,SKU1039,2021-09-16,2021-09-25,2021-10-10,454,107.87,48972.98,Partially Received,WH02,15,1,2021-09,2021Q3
PO0007780,VND00310,Packaging,SKU3948,2021-12-09,2021-12-29,2021-12-29,3555,4011.87,14262197.85,Pending,WH03,0,0,2021-12,2021Q4
PO0029301,VND00424,Chemicals,SKU2820,2021-02-16,2021-02-28,2021-02-28,1147,1887.24,2164664.28,Cancelled,WH07,0,0,2021-02,2021Q1
PO0015822,VND00272,Textiles,SKU2621,2021-04-27,2021-05-14,2021-05-19,1281,2841.48,3639935.88,Partially Received,WH01,5,1,2021-04,2021Q2
PO0013670,VND00185,Raw Material,SKU2888,2024-11-06,2024-11-24,,1607,4411.5,7089280.5,Cancelled,WH09,,,2024-11,2024Q4
PO0042065,VND00462,Raw Material,SKU5829,2023-05-03,2023-05-12,2023-05-27,4732,2368.27,11206653.64,Received,WH02,15,1,2023-05,2023Q2
PO0033688,VND00138,Textiles,SKU5845,2023-10-12,2023-10-26,2023-11-05,1693,1072.42,1815607.06,Cancelled,WH08,10,1,2023-10,2023Q4
PO0008225,VND00732,Textiles,SKU4075,2022-01-16,2022-02-10,,3888,2195.08,8534471.04,In Transit,WH07,,,2022-01,2022Q1
PO0004202,VND00245,Spare Parts,SKU1908,2023-10-23,2023-10-29,2023-10-29,1635,58.11,95009.85,Received,WH06,0,0,2023-10,2023Q4
PO0033510,VND00456,Electronics,SKU3749,2023-04-26,2023-05-04,2023-05-19,39,1618.87,63135.93,Received,WH08,15,1,2023-04,2023Q2
PO0014240,VND00965,Chemicals,SKU4778,2021-02-26,2021-03-19,2021-03-21,3032,1820.12,5518603.84,Pending,WH02,2,1,2021-02,2021Q1
PO0040333,VND00042,Raw Material,SKU4470,2022-05-09,2022-05-29,2022-06-03,4413,4280.3,18888963.9,Pending,WH08,5,1,2022-05,2022Q2
PO0009140,VND00485,Packaging,SKU5862,2023-11-05,2023-11-13,2023-11-13,740,4014.98,2971085.2,In Transit,WH07,0,0,2023-11,2023Q4
PO0008719,VND00605,Machinery,SKU4615,2024-07-06,2024-07-29,2024-08-03,4781,4132.73,19758582.13,In Transit,WH04,5,1,2024-07,2024Q3
PO0011045,VND00720,Raw Material,SKU1132,2024-07-27,2024-08-20,2024-08-20,2641,3831.08,10117882.28,Cancelled,WH08,0,0,2024-07,2024Q3
PO0023345,VND00352,IT Equipment,SKU2202,2023-03-06,2023-03-21,2023-03-21,2539,3780.45,9598562.55,In Transit,WH09,0,0,2023-03,2023Q1
PO0045016,VND00150,Chemicals,SKU3212,2022-03-20,2022-04-12,2022-04-17,1750,4088.01,7154017.5,Received,WH02,5,1,2022-03,2022Q1
PO0017590,VND00529,Electronics,SKU2678,2022-10-17,2022-11-07,2022-11-17,3110,185.96,578335.6,Received,WH03,10,1,2022-10,2022Q4
PO0048977,VND00596,Raw Material,SKU2404,2022-07-01,2022-07-09,2022-07-14,4825,65.58,316423.5,Pending,WH09,5,1,2022-07,2022Q3
PO0023779,VND00602,Textiles,SKU3352,2024-05-14,2024-05-30,2024-05-27,3349,3524.01,11801909.49,In Transit,WH08,-3,0,2024-05,2024Q2
PO0039327,VND00276,Raw Material,SKU5583,2021-12-10,2022-01-02,2022-01-12,1959,3245.49,6357914.91,Partially Received,WH03,10,1,2021-12,2021Q4
PO0032890,VND00552,IT Equipment,SKU1790,2022-01-26,2022-02-15,2022-02-25,1827,2115.75,3865475.25,Unknown,WH06,10,1,2022-01,2022Q1
PO0039003,VND00138,Spare Parts,SKU5753,2021-09-23,2021-10-08,2021-10-08,629,3091.21,1944371.09,Cancelled,WH09,0,0,2021-09,2021Q3
PO0020455,VND00863,Textiles,SKU1372,2024-01-28,2024-02-23,2024-02-25,560,39.42,22075.2,Cancelled,WH08,2,1,2024-01,2024Q1
PO0009816,VND00702,Machinery,SKU2061,2022-09-13,2022-09-25,2022-09-25,3137,3002.3,9418215.1,Received,WH01,0,0,2022-09,2022Q3
PO0013088,VND00465,Textiles,SKU4563,2024-03-30,2024-04-05,2024-04-05,2659,885.36,2354172.24,Received,WH01,0,0,2024-03,2024Q1
PO0024082,VND00496,Raw Material,SKU2014,2024-03-16,2024-03-24,2024-03-24,3807,4546.9,17310048.3,Partially Received,WH01,0,0,2024-03,2024Q1
PO0014570,VND00589,Chemicals,SKU3082,2023-06-08,2023-07-04,2023-07-04,2920,3587.67,10475996.4,In Transit,WH08,0,0,2023-06,2023Q2
PO0005135,VND00504,IT Equipment,SKU3231,2024-01-03,2024-01-21,2024-01-31,4368,88.44,386305.92,Cancelled,WH08,10,1,2024-01,2024Q1
PO0016172,VND00324,Chemicals,SKU4373,2021-03-29,2021-04-04,2021-04-04,4276,2836.31,12128061.56,Received,WH08,0,0,2021-03,2021Q1
PO0046544,VND00678,IT Equipment,SKU4281,2023-11-04,2023-11-16,2023-11-13,4952,2064.89,10225335.28,Cancelled,WH04,-3,0,2023-11,2023Q4
PO0045246,VND00079,Chemicals,SKU4325,2023-08-29,2023-09-09,2023-09-09,3247,930.84,3022437.48,Pending,WH03,0,0,2023-08,2023Q3
PO0040329,VND00112,Raw Material,SKU4329,2022-12-06,2022-12-31,2023-01-02,953,3049.04,2905735.12,Received,WH04,2,1,2022-12,2022Q4
PO0044388,VND00480,Spare Parts,SKU1107,2024-12-28,2025-01-24,2025-01-29,2450,2505.0,6137250.0,In Transit,WH08,5,1,2024-12,2024Q4
PO0034293,VND00731,Chemicals,SKU2930,2022-12-25,2023-01-08,2023-02-07,2166,1711.67,3707477.22,Received,WH06,30,1,2022-12,2022Q4
PO0010159,VND00892,Electronics,SKU5129,2022-04-18,2022-05-06,2022-05-06,1444,3754.22,5421093.68,Cancelled,WH07,0,0,2022-04,2022Q2
PO0029149,VND00229,Chemicals,SKU2602,2021-05-24,2021-06-02,2021-05-30,585,1401.68,819982.8,Pending,WH08,-3,0,2021-05,2021Q2
