Inventory_ID,Product_SKU,Product_Name,Product_Category,Warehouse_ID,Warehouse_Location,Stock_On_Hand,Reorder_Level,Units_Sold_Last_Month,Avg_Stock_On_Hand,Snapshot_Date,Supplier_Lead_Time_Days,Inventory_Turnover_Rate,Months_Of_Supply,Stockout_Risk,Overstock_Risk,SKU_In_Purchase_Orders
INV000138,SKU2136,Product_SKU2136,IT Equipment,WH01,Mumbai,6518,867,2543,2632,2024-01-01,13,11.59,2.56,0,1,1
INV000139,SKU2475,Product_SKU2475,Packaging,WH01,Mumbai,3096,1178,4923,6923,2024-01-01,3,8.53,0.63,0,0,1
INV000140,SKU3782,Product_SKU3782,Packaging,WH01,Mumbai,6829,447,571,1318,2024-01-01,21,5.2,11.96,0,1,1
INV000141,SKU4008,Product_SKU4008,Chemicals,WH01,Mumbai,6673,1037,7419,7965,2024-01-01,20,11.18,0.9,0,0,1
INV000142,SKU1905,Product_SKU1905,Raw Material,WH01,Mumbai,9311,177,4055,1110,2024-01-01,7,43.84,2.3,0,1,1
INV000143,SKU1959,Product_SKU1959,Machinery,WH01,Mumbai,1569,520,792,7002,2024-01-01,21,1.36,1.98,0,0,1
INV000144,SKU4131,Product_SKU4131,Electronics,WH01,Mumbai,5644,588,5019,4450,2024-01-01,3,13.53,1.12,0,0,1
INV000145,SKU4543,Product_SKU4543,Textiles,WH01,Mumbai,161,854,7840,2572,2024-01-01,29,36.58,0.02,1,0,1
INV000146,SKU5097,Product_SKU5097,Chemicals,WH01,Mumbai,6049,289,2337,2944,2024-01-01,14,9.53,2.59,0,1,1
INV000147,SKU2967,Product_SKU2967,Chemicals,WH01,Mumbai,9195,236,5245,3355,2024-01-01,8,18.76,1.75,0,1,1
INV000148,SKU5747,Product_SKU5747,Chemicals,WH01,Mumbai,2389,1906,7827,3456,2024-01-01,28,27.18,0.31,0,0,1
INV000149,SKU3435,Product_SKU3435,Packaging,WH01,Mumbai,93,1922,5602,7311,2024-01-01,19,9.19,0.02,1,0,1
INV000150,SKU4867,Product_SKU4867,Chemicals,WH01,Mumbai,1205,887,3094,8649,2024-01-01,20,4.29,0.39,0,0,1
INV000151,SKU1531,Product_SKU1531,IT Equipment,WH01,Mumbai,8329,1530,2803,1936,2024-01-01,3,17.37,2.97,0,1,1
INV000152,SKU4600,Product_SKU4600,Electronics,WH01,Mumbai,2325,1458,2016,4487,2024-01-01,7,5.39,1.15,0,0,1
INV000153,SKU4344,Product_SKU4344,Chemicals,WH01,Mumbai,6415,874,4985,653,2024-01-01,7,91.61,1.29,0,1,1
INV000154,SKU2497,Product_SKU2497,Textiles,WH01,Mumbai,5722,446,1736,2274,2024-01-01,27,9.16,3.3,0,1,1
INV000155,SKU2519,Product_SKU2519,Raw Material,WH01,Mumbai,2729,252,5243,6520,2024-01-01,9,9.65,0.52,0,0,1
INV000156,SKU1341,Product_SKU1341,Textiles,WH01,Mumbai,2776,1508,1480,5801,2024-01-01,11,3.06,1.88,0,0,1
INV000157,SKU1731,Product_SKU1731,Machinery,WH01,Mumbai,153,535,5233,1162,2024-01-01,30,54.04,0.03,1,0,1
INV000158,SKU2291,Product_SKU2291,Machinery,WH01,Mumbai,9026,714,4075,5410,2024-01-01,15,9.04,2.21,0,0,1
INV000159,SKU2321,Product_SKU2321,Spare Parts,WH01,Mumbai,1239,1779,3629,5852,2024-01-01,19,7.44,0.34,1,0,1
INV000160,SKU1993,Product_SKU1993,Spare Parts,WH01,Mumbai,2635,1298,6711,4480,2024-01-01,14,17.98,0.39,0,0,1
INV000161,SKU4695,Product_SKU4695,Raw Material,WH01,Mumbai,5525,530,2001,7162,2024-01-01,29,3.35,2.76,0,0,1
INV000162,SKU3996,Product_SKU3996,Packaging,WH01,Mumbai,9389,262,5077,679,2024-01-01,26,89.73,1.85,0,1,1
INV000163,SKU5347,Product_SKU5347,Machinery,WH01,Mumbai,1131,1093,5671,5670,2024-01-01,9,12.0,0.2,0,0,1
INV000164,SKU3354,Product_SKU3354,Raw Material,WH01,Mumbai,5939,1153,3158,7066,2024-01-01,24,5.36,1.88,0,0,1
INV000165,SKU3596,Product_SKU3596,Machinery,WH01,Mumbai,3532,1524,1701,3986,2024-01-01,30,5.12,2.08,0,0,1
INV000166,SKU3539,Product_SKU3539,Electronics,WH01,Mumbai,6060,1963,5061,562,2024-01-01,3,108.06,1.2,0,1,1
INV000167,SKU5924,Product_SKU5924,Electronics,WH01,Mumbai,4041,583,4150,694,2024-01-01,30,71.76,0.97,0,1,1
INV000168,SKU2868,Product_SKU2868,Textiles,WH01,Mumbai,6249,523,2708,2702,2024-01-01,27,12.03,2.31,0,1,1
INV000169,SKU4709,Product_SKU4709,Packaging,WH01,Mumbai,1776,1919,714,8901,2024-01-01,18,0.96,2.49,1,0,1
INV000170,SKU5258,Product_SKU5258,Electronics,WH01,Mumbai,8244,371,7739,5878,2024-01-01,4,15.8,1.07,0,0,1
INV000171,SKU3271,Product_SKU3271,Chemicals,WH01,Mumbai,7016,711,6965,5721,2024-01-01,19,14.61,1.01,0,0,1
INV000172,SKU2501,Product_SKU2501,Electronics,WH01,Mumbai,5258,899,924,1971,2024-01-01,11,5.63,5.69,0,1,1
INV000173,SKU2966,Product_SKU2966,Packaging,WH01,Mumbai,6369,1376,3696,4269,2024-01-01,27,10.39,1.72,0,0,1
INV000174,SKU5864,Product_SKU5864,Spare Parts,WH01,Mumbai,6143,709,4329,809,2024-01-01,30,64.21,1.42,0,1,1
INV000175,SKU4629,Product_SKU4629,IT Equipment,WH01,Mumbai,7357,1465,4570,1261,2024-01-01,9,43.49,1.61,0,1,1
INV000176,SKU2220,Product_SKU2220,Raw Material,WH01,Mumbai,5936,2000,744,1679,2024-01-01,3,5.32,7.98,0,1,1
INV000177,SKU1513,Product_SKU1513,Electronics,WH01,Mumbai,4836,608,5571,1978,2024-01-01,15,33.8,0.87,0,1,1
INV000178,SKU2462,Product_SKU2462,Spare Parts,WH01,Mumbai,2943,103,6948,2127,2024-01-01,23,39.2,0.42,0,0,1
INV000179,SKU2680,Product_SKU2680,Electronics,WH01,Mumbai,4743,1196,3497,4215,2024-01-01,4,9.96,1.36,0,0,1
INV000180,SKU5257,Product_SKU5257,Chemicals,WH01,Mumbai,8623,565,286,8573,2024-01-01,24,0.4,30.15,0,0,1
INV000181,SKU3061,Product_SKU3061,Textiles,WH01,Mumbai,2614,665,7649,2209,2024-01-01,25,41.55,0.34,0,0,1
INV000182,SKU2888,Product_SKU2888,Textiles,WH01,Mumbai,1234,976,6276,5698,2024-01-01,30,13.22,0.2,0,0,1
INV000183,SKU5187,Product_SKU5187,Packaging,WH01,Mumbai,1745,466,3924,7001,2024-01-01,18,6.73,0.44,0,0,1
INV000184,SKU1949,Product_SKU1949,IT Equipment,WH01,Mumbai,6146,928,2486,6593,2024-01-01,29,4.52,2.47,0,0,1
INV000185,SKU2684,Product_SKU2684,Raw Material,WH01,Mumbai,8051,100,3802,601,2024-01-01,26,75.91,2.12,0,1,1
INV000186,SKU2874,Product_SKU2874,Textiles,WH01,Mumbai,5004,1789,1994,7324,2024-01-01,26,3.27,2.51,0,0,1
INV000187,SKU2191,Product_SKU2191,Textiles,WH01,Mumbai,8151,622,7699,6209,2024-01-01,12,14.88,1.06,0,0,1
INV000188,SKU4013,Product_SKU4013,Spare Parts,WH01,Mumbai,7766,1863,3950,1071,2024-01-01,26,44.26,1.97,0,1,1
INV000189,SKU2885,Product_SKU2885,Chemicals,WH01,Mumbai,5231,862,880,3319,2024-01-01,29,3.18,5.94,0,0,1
INV000190,SKU1646,Product_SKU1646,Textiles,WH01,Mumbai,6904,1105,1176,1818,2024-01-01,25,7.76,5.87,0,1,1
INV000191,SKU3247,Product_SKU3247,Chemicals,WH01,Mumbai,5837,1954,7729,543,2024-01-01,25,170.81,0.76,0,1,1
INV000192,SKU3399,Product_SKU3399,Electronics,WH01,Mumbai,5213,151,6534,2656,2024-01-01,17,29.52,0.8,0,0,1
INV000193,SKU4061,Product_SKU4061,Machinery,WH01,Mumbai,4265,1783,4465,4843,2024-01-01,30,11.06,0.96,0,0,1
INV000194,SKU3726,Product_SKU3726,Packaging,WH01,Mumbai,2362,1892,6680,5975,2024-01-01,17,13.42,0.35,0,0,1
INV000195,SKU2247,Product_SKU2247,Machinery,WH01,Mumbai,9471,1227,5968,3702,2024-01-01,4,19.35,1.59,0,1,1
