Return_ID,PO_ID,Vendor_ID,Product_SKU,Product_Category,Return_Date,Return_Reason,Return_Qty,Unit_Price_INR,Return_Value,High_Value_Return,Approved_By,Refund_Status,Return_Month
RET0000025,PO0034023,VND00185,SKU4396,Electronics,2023-12-27,Damaged Packaging,182,3428.91,624061.62,0,Manager_B,Pending,2023-12
RET0000700,PO0010027,VND00223,SKU2764,Chemicals,2024-01-02,Expired Product,250,2711.36,677840.0,0,Manager_B,Pending,2024-01
RET0004107,PO0049857,VND00687,SKU5688,Raw Material,2023-03-14,Damaged Packaging,372,4115.9,1531114.8,1,Manager_B,Rejected,2023-03
RET0003294,PO0044399,VND00985,SKU5736,Electronics,2022-09-24,Expired Product,422,279.12,117788.64,0,Unassigned,Processed,2022-09
RET0000169,PO0047340,VND00384,SKU1235,Raw Material,2022-10-30,Overshipment,213,1780.13,379167.69,0,Manager_C,Processed,2022-10
RET0004666,PO0041194,VND00599,SKU3794,Chemicals,2023-12-05,Wrong Item Delivered,478,2125.31,1015898.18,0,Manager_A,Pending,2023-12
RET0000686,PO0017556,VND00045,SKU4456,Electronics,2022-02-02,Damaged Packaging,458,3524.06,1614019.48,1,Manager_B,Processed,2022-02
RET0001620,PO0001808,VND00017,SKU5217,Spare Parts,2024-09-22,Defective Item,385,3508.32,1350703.2,0,Manager_B,Rejected,2024-09
RET0004181,PO0003942,VND00235,SKU1339,Textiles,2024-06-12,Damaged Packaging,495,3122.68,1545726.6,1,Unassigned,Pending,2024-06
RET0001053,PO0000255,VND00516,SKU4722,Chemicals,2022-03-30,Quality Failure,468,2855.4,1336327.2,0,Manager_B,Pending,2022-03
RET0002415,PO0036177,VND00108,SKU2718,Textiles,2024-01-31,Expired Product,384,3972.06,1525271.04,1,Manager_B,Pending,2024-01
RET0001312,PO0039096,VND00282,SKU3325,Packaging,2023-12-04,Wrong Item Delivered,421,1807.1,760789.1,0,Unassigned,Processed,2023-12
RET0003644,PO0009706,VND00054,SKU1624,Spare Parts,2021-03-08,Quality Failure,377,4062.25,1531468.25,1,Manager_A,Processed,2021-03
RET0002808,PO0013227,VND00457,SKU3088,Spare Parts,2023-01-03,Wrong Quantity,82,1777.97,145793.54,0,Manager_B,Processed,2023-01
RET0001254,PO0005557,VND00945,SKU5444,Textiles,2021-02-08,Overshipment,440,2881.86,1268018.4,0,Unassigned,Processed,2021-02
RET0003300,PO0008307,VND00411,SKU3033,Spare Parts,2023-09-20,Wrong Item Delivered,348,3742.33,1302330.84,0,Unassigned,Rejected,2023-09
RET0004542,PO0017476,VND00147,SKU3171,IT Equipment,2023-08-03,Quality Failure,376,4688.17,1762751.92,1,Unassigned,Processed,2023-08
RET0001665,PO0008045,VND00856,SKU5564,Packaging,2022-02-25,Quality Failure,335,3058.64,1024644.4,0,Manager_B,Processed,2022-02
RET0003889,PO0042242,VND00134,SKU1331,Chemicals,2022-07-27,Quality Failure,357,16.58,5919.06,0,Unassigned,Pending,2022-07
RET0002837,PO0039371,VND00428,SKU3614,Raw Material,2024-10-13,Quality Failure,481,2519.12,1211696.72,0,Manager_A,Processed,2024-10
RET0001303,PO0004924,VND00286,SKU5989,Machinery,2021-05-04,Defective Item,455,3376.35,1536239.25,1,Manager_A,Processed,2021-05
RET0003807,PO0007092,VND00486,SKU2385,Textiles,2021-07-08,Expired Product,87,4300.26,374122.62,0,Unassigned,Rejected,2021-07
RET0003211,PO0026330,VND00228,SKU1339,Chemicals,2022-04-13,Expired Product,306,2657.48,813188.88,0,Unassigned,Processed,2022-04
RET0001631,PO0001152,VND00008,SKU5131,Textiles,2024-03-11,Quality Failure,351,3716.11,1304354.61,0,Manager_C,Pending,2024-03
RET0004708,PO0018403,VND00220,SKU1868,Textiles,2022-02-05,Defective Item,453,3231.29,1463774.37,0,Unassigned,Pending,2022-02
RET0000914,PO0046233,VND00432,SKU2193,Textiles,2024-12-17,Unknown,173,1752.26,303140.98,0,Manager_C,Processed,2024-12
RET0000136,PO0046035,VND00562,SKU1209,Packaging,2022-07-27,Quality Failure,336,672.96,226114.56,0,Manager_B,Rejected,2022-07
RET0004067,PO0027548,VND00157,SKU4533,Spare Parts,2023-09-25,Expired Product,75,610.95,45821.25,0,Manager_A,Processed,2023-09
RET0002993,PO0004475,VND00361,SKU3707,Spare Parts,2021-01-29,Wrong Item Delivered,120,2916.27,349952.4,0,Manager_B,Pending,2021-01
RET0000970,PO0025939,VND00134,SKU1935,Packaging,2024-12-27,Wrong Item Delivered,369,4187.8,1545298.2,1,Manager_A,Processed,2024-12
RET0000878,PO0030218,VND00235,SKU1714,Machinery,2022-11-27,Wrong Quantity,397,4365.11,1732948.67,1,Unassigned,Processed,2022-11
RET0001897,PO0019915,VND00053,SKU1389,Machinery,2021-05-21,Defective Item,11,3703.15,40734.65,0,Manager_C,Processed,2021-05
RET0001886,PO0032492,VND00350,SKU3313,IT Equipment,2021-10-22,Wrong Item Delivered,386,1281.35,494601.1,0,Unassigned,Pending,2021-10
RET0004995,PO0042736,VND00432,SKU5596,IT Equipment,2024-03-06,Wrong Item Delivered,129,4853.66,626122.14,0,Unassigned,Processed,2024-03
RET0000829,PO0012164,VND00942,SKU1305,Spare Parts,2023-09-22,Quality Failure,146,672.6,98199.6,0,Manager_A,Pending,2023-09
RET0001888,PO0013840,VND00522,SKU1427,IT Equipment,2022-02-03,Defective Item,67,4324.96,289772.32,0,Manager_B,Processed,2022-02
RET0003098,PO0022740,VND00175,SKU1850,Raw Material,2023-07-20,Wrong Item Delivered,200,2013.28,402656.0,0,Manager_B,Pending,2023-07
RET0002917,PO0004189,VND00997,SKU1850,Chemicals,2021-08-25,Defective Item,26,340.14,8843.64,0,Manager_A,Processed,2021-08
RET0002273,PO0027725,VND00304,SKU4335,Electronics,2022-01-07,Defective Item,240,3589.17,861400.8,0,Manager_C,Pending,2022-01
RET0001383,PO0046625,VND00433,SKU1258,Packaging,2022-08-29,Wrong Quantity,188,1431.64,269148.32,0,Manager_A,Processed,2022-08
RET0004905,PO0026602,VND00816,SKU4072,Electronics,2021-02-03,Overshipment,183,2684.37,491239.71,0,Manager_C,Processed,2021-02
RET0002668,PO0042231,VND00374,SKU3366,Machinery,2021-06-10,Wrong Quantity,38,2406.04,91429.52,0,Unassigned,Processed,2021-06
RET0000851,PO0008754,VND00055,SKU2677,Raw Material,2024-04-27,Defective Item,485,1018.34,493894.9,0,Unassigned,Pending,2024-04
RET0002577,PO0048414,VND00086,SKU1125,Raw Material,2022-09-21,Damaged Packaging,104,2243.59,233333.36,0,Manager_B,Processed,2022-09
RET0001892,PO0035926,VND00377,SKU2100,Machinery,2023-12-24,Defective Item,440,4581.29,2015767.6,1,Manager_B,Processed,2023-12
RET0002006,PO0032451,VND00638,SKU2844,Spare Parts,2024-03-22,Damaged Packaging,74,3940.16,291571.84,0,Unassigned,Processed,2024-03
RET0000889,PO0011095,VND00986,SKU2261,Raw Material,2022-11-13,Overshipment,312,3649.59,1138672.08,0,Unassigned,Processed,2022-11
RET0003589,PO0036811,VND00188,SKU1023,Chemicals,2022-11-01,Quality Failure,455,4414.53,2008611.15,1,Unassigned,Processed,2022-11
RET0003169,PO0031419,VND00046,SKU1897,Chemicals,2021-09-06,Expired Product,398,210.09,83615.82,0,Manager_A,Pending,2021-09
RET0003400,PO0035328,VND00407,SKU4892,Packaging,2023-07-10,Quality Failure,459,810.37,371959.83,0,Unassigned,Processed,2023-07
RET0000805,PO0010638,VND00672,SKU2217,Machinery,2024-02-18,Expired Product,231,558.58,129031.98,0,Manager_A,Processed,2024-02
RET0002643,PO0025700,VND00618,SKU2072,Textiles,2023-08-23,Overshipment,12,4963.52,59562.24,0,Manager_B,Processed,2023-08
RET0001503,PO0049993,VND00501,SKU5437,IT Equipment,2021-09-22,Expired Product,181,1605.76,290642.56,0,Manager_A,Pending,2021-09
RET0000344,PO0004567,VND00978,SKU1320,IT Equipment,2023-07-14,Defective Item,440,1862.79,819627.6,0,Manager_B,Rejected,2023-07
RET0000342,PO0044762,VND00798,SKU4195,Raw Material,2023-09-12,Damaged Packaging,99,3074.57,304382.43,0,Manager_C,Pending,2023-09
RET0004958,PO0028348,VND00697,SKU2042,IT Equipment,2021-01-11,Quality Failure,483,4433.95,2141597.85,1,Manager_C,Processed,2021-01
RET0002847,PO0009387,VND00794,SKU4635,Packaging,2022-12-19,Damaged Packaging,360,3397.02,1222927.2,0,Unassigned,Pending,2022-12
RET0002411,PO0036133,VND00645,SKU3266,Chemicals,2021-06-08,Wrong Quantity,253,299.4,75748.2,0,Manager_A,Processed,2021-06
RET0002353,PO0025350,VND00766,SKU1648,Packaging,2024-01-30,Expired Product,447,805.71,360152.37,0,Unassigned,Rejected,2024-01
RET0004589,PO0046254,VND00088,SKU5612,Packaging,2022-05-04,Wrong Item Delivered,121,1905.11,230518.31,0,Manager_A,Pending,2022-05
RET0000152,PO0004009,VND00504,SKU3220,Textiles,2022-08-04,Expired Product,181,588.8,106572.8,0,Unassigned,Processed,2022-08
RET0001199,PO0015723,VND00735,SKU4878,Packaging,2021-11-26,Quality Failure,112,4180.24,468186.88,0,Manager_C,Pending,2021-11
RET0004456,PO0002131,VND00840,SKU2771,Raw Material,2022-09-27,Defective Item,258,2739.33,706747.14,0,Unassigned,Processed,2022-09
RET0001067,PO0012566,VND00449,SKU1585,Electronics,2024-06-16,Unknown,444,2354.02,1045184.88,0,Manager_C,Processed,2024-06
RET0001225,PO0021448,VND00547,SKU2343,Chemicals,2021-08-24,Defective Item,308,1722.92,530659.36,0,Unassigned,Processed,2021-08
RET0003560,PO0047090,VND00805,SKU3721,Textiles,2021-10-04,Unknown,400,983.76,393504.0,0,Manager_C,Processed,2021-10
RET0001315,PO0001757,VND00043,SKU5090,Textiles,2024-11-20,Wrong Item Delivered,447,1985.72,887616.84,0,Manager_B,Processed,2024-11
RET0000430,PO0028975,VND00006,SKU4990,Packaging,2021-08-11,Expired Product,302,4982.51,1504718.02,1,Unassigned,Rejected,2021-08
RET0001160,PO0024780,VND00092,SKU4069,Spare Parts,2021-09-24,Defective Item,84,4025.73,338161.32,0,Manager_B,Pending,2021-09
RET0000404,PO0028069,VND00841,SKU3454,Electronics,2023-09-21,Quality Failure,260,1016.63,264323.8,0,Unassigned,Processed,2023-09
RET0003242,PO0003024,VND00665,SKU5572,Textiles,2022-01-07,Defective Item,484,287.93,139358.12,0,Unassigned,Pending,2022-01
RET0000711,PO0031295,VND00054,SKU2876,IT Equipment,2021-02-08,Quality Failure,143,4086.42,584358.06,0,Manager_B,Processed,2021-02
RET0001112,PO0007850,VND00321,SKU4435,Machinery,2021-04-11,Defective Item,9,3644.92,32804.28,0,Manager_B,Processed,2021-04
RET0000068,PO0045890,VND00468,SKU1952,Packaging,2022-10-14,Wrong Quantity,434,960.82,416995.88,0,Unassigned,Pending,2022-10
RET0001012,PO0004883,VND00108,SKU3324,Raw Material,2022-04-03,Wrong Quantity,157,2692.69,422752.33,0,Manager_C,Processed,2022-04
RET0001274,PO0009602,VND00059,SKU4223,Chemicals,2024-03-22,Quality Failure,232,4142.91,961155.12,0,Unassigned,Pending,2024-03
RET0002335,PO0001435,VND00679,SKU3239,Chemicals,2023-12-19,Quality Failure,310,4994.52,1548301.2,1,Manager_A,Processed,2023-12
RET0004079,PO0017922,VND00251,SKU3635,Textiles,2021-04-05,Damaged Packaging,26,4917.27,127849.02,0,Manager_A,Processed,2021-04
RET0001669,PO0010988,VND00035,SKU3493,IT Equipment,2023-08-25,Defective Item,342,2361.96,807790.32,0,Manager_B,Processed,2023-08
RET0001045,PO0034167,VND00221,SKU1514,Chemicals,2022-12-18,Overshipment,2,863.23,1726.46,0,Manager_B,Pending,2022-12
RET0000996,PO0005029,VND00199,SKU3142,Spare Parts,2024-02-02,Wrong Item Delivered,415,1249.6,518584.0,0,Manager_B,Processed,2024-02
RET0002741,PO0010523,VND00479,SKU4301,IT Equipment,2021-02-23,Damaged Packaging,155,3664.68,568025.4,0,Manager_A,Pending,2021-02
RET0001224,PO0007566,VND00355,SKU2292,Machinery,2023-12-10,Damaged Packaging,253,3338.7,844691.1,0,Manager_A,Processed,2023-12
RET0003287,PO0000263,VND00368,SKU3907,IT Equipment,2022-01-28,Expired Product,401,1171.64,469827.64,0,Manager_B,Unknown,2022-01
RET0001171,PO0045284,VND00479,SKU4075,Machinery,2022-07-17,Unknown,476,199.48,94952.48,0,Manager_A,Unknown,2022-07
RET0000710,PO0022963,VND00245,SKU2136,Packaging,2024-05-09,Expired Product,15,3945.91,59188.65,0,Manager_A,Processed,2024-05
RET0004522,PO0004683,VND00444,SKU2090,IT Equipment,2024-10-01,Overshipment,71,858.3,60939.3,0,Manager_A,Rejected,2024-10
RET0001184,PO0038092,VND00321,SKU4191,Raw Material,2023-05-20,Expired Product,427,2983.27,1273856.29,0,Manager_B,Processed,2023-05
RET0003127,PO0038220,VND00318,SKU3951,Textiles,2021-08-03,Defective Item,198,3393.59,671930.82,0,Manager_A,Processed,2021-08
RET0003955,PO0002310,VND00322,SKU2247,Chemicals,2021-07-29,Overshipment,289,4845.75,1400421.75,0,Manager_C,Processed,2021-07
RET0002356,PO0013393,VND00286,SKU3694,IT Equipment,2024-07-29,Overshipment,3,3533.64,10600.92,0,Unassigned,Pending,2024-07
RET0004832,PO0023160,VND00544,SKU2657,Chemicals,2022-02-18,Defective Item,360,2883.38,1038016.8,0,Unassigned,Processed,2022-02
RET0000537,PO0029708,VND00780,SKU4734,Chemicals,2022-01-21,Damaged Packaging,445,469.0,208705.0,0,Manager_B,Pending,2022-01
RET0003306,PO0037748,VND00145,SKU5692,Textiles,2024-04-15,Damaged Packaging,252,3283.52,827447.04,0,Manager_C,Processed,2024-04
RET0004513,PO0006315,VND00530,SKU5609,IT Equipment,2022-03-24,Unknown,128,4964.35,635436.8,0,Manager_A,Pending,2022-03
RET0003524,PO0035335,VND00392,SKU2356,Textiles,2023-11-23,Wrong Quantity,454,334.89,152040.06,0,Manager_A,Processed,2023-11
RET0000275,PO0006117,VND00590,SKU3703,Machinery,2024-05-29,Defective Item,478,1510.14,721846.92,0,Manager_B,Processed,2024-05
RET0001475,PO0041628,VND00789,SKU2537,Packaging,2023-11-23,Defective Item,239,279.56,66814.84,0,Manager_C,Processed,2023-11
RET0003777,PO0013383,VND00098,SKU1901,IT Equipment,2023-01-29,Wrong Item Delivered,175,2115.44,370202.0,0,Unassigned,Pending,2023-01
RET0000043,PO0036596,VND00320,SKU4576,Electronics,2024-04-16,Damaged Packaging,54,1848.39,99813.06,0,Unassigned,Processed,2024-04
RET0002759,PO0029088,VND00958,SKU3978,Spare Parts,2021-08-30,Overshipment,159,3580.12,569239.08,0,Manager_C,Processed,2021-08
RET0004847,PO0026567,VND00694,SKU3226,Electronics,2021-05-27,Expired Product,182,3940.15,717107.3,0,Unassigned,Rejected,2021-05
RET0001296,PO0042059,VND00844,SKU3577,Spare Parts,2022-06-23,Overshipment,316,942.27,297757.32,0,Manager_A,Processed,2022-06
RET0004634,PO0048060,VND00602,SKU3106,Textiles,2022-04-29,Defective Item,92,4569.12,420359.04,0,Manager_C,Pending,2022-04
RET0002853,PO0025664,VND00995,SKU4200,Electronics,2022-07-15,Unknown,271,637.66,172805.86,0,Manager_A,Processed,2022-07
RET0000943,PO0045025,VND00314,SKU3900,Chemicals,2024-04-09,Damaged Packaging,281,18.61,5229.41,0,Manager_C,Processed,2024-04
RET0000359,PO0008593,VND00366,SKU2533,IT Equipment,2023-07-06,Wrong Quantity,348,2132.59,742141.32,0,Manager_A,Processed,2023-07
RET0004186,PO0027191,VND00362,SKU5939,Chemicals,2024-06-18,Wrong Item Delivered,6,2327.84,13967.04,0,Unassigned,Processed,2024-06
RET0004756,PO0035057,VND00889,SKU2270,Packaging,2024-04-30,Defective Item,394,3710.44,1461913.36,0,Manager_B,Pending,2024-04
RET0002396,PO0028915,VND00740,SKU4742,Chemicals,2022-10-16,Quality Failure,498,4190.0,2086620.0,1,Manager_C,Processed,2022-10
RET0003616,PO0002045,VND00588,SKU3115,Raw Material,2024-08-05,Quality Failure,321,4084.36,1311079.56,0,Manager_B,Pending,2024-08
RET0001628,PO0003763,VND00355,SKU1738,Raw Material,2023-02-05,Damaged Packaging,182,3000.27,546049.14,0,Unassigned,Processed,2023-02
RET0002038,PO0000519,VND00356,SKU1552,Machinery,2023-10-18,Unknown,173,4543.1,785956.3,0,Manager_B,Processed,2023-10
RET0001189,PO0026530,VND00722,SKU2109,Chemicals,2021-12-20,Damaged Packaging,307,598.24,183659.68,0,Manager_B,Processed,2021-12
RET0002926,PO0035243,VND00523,SKU2212,Electronics,2023-10-18,Wrong Item Delivered,247,438.16,108225.52,0,Manager_C,Pending,2023-10
RET0000939,PO0005676,VND00763,SKU4553,Spare Parts,2023-06-24,Wrong Item Delivered,305,4593.35,1400971.75,0,Manager_C,Processed,2023-06
RET0002156,PO0046353,VND00099,SKU3079,Raw Material,2022-01-30,Expired Product,462,1371.68,633716.16,0,Manager_A,Processed,2022-01
RET0001243,PO0034913,VND00854,SKU4440,Raw Material,2022-03-17,Expired Product,310,3766.77,1167698.7,0,Unassigned,Pending,2022-03
RET0000385,PO0037063,VND00640,SKU3518,Packaging,2021-09-03,Wrong Quantity,145,4625.74,670732.3,0,Manager_A,Pending,2021-09
RET0003367,PO0007420,VND00454,SKU2842,Textiles,2021-01-22,Expired Product,234,774.9,181326.6,0,Manager_C,Processed,2021-01
RET0000481,PO0012440,VND00024,SKU4683,Electronics,2021-02-09,Overshipment,138,33.5,4623.0,0,Unassigned,Processed,2021-02
RET0002068,PO0045823,VND00767,SKU3281,Chemicals,2023-03-10,Wrong Quantity,356,1064.77,379058.12,0,Manager_A,Processed,2023-03
RET0003421,PO0013402,VND00712,SKU5766,Electronics,2024-09-22,Expired Product,459,3364.69,1544392.71,1,Manager_C,Pending,2024-09
RET0000705,PO0035771,VND00700,SKU4345,Machinery,2022-12-21,Defective Item,225,1288.93,290009.25,0,Unassigned,Processed,2022-12
RET0004355,PO0039684,VND00817,SKU3672,Electronics,2022-05-30,Expired Product,33,1635.03,53955.99,0,Manager_A,Processed,2022-05
RET0004165,PO0039061,VND00940,SKU2810,Raw Material,2023-04-30,Damaged Packaging,148,4662.02,689978.96,0,Manager_C,Pending,2023-04
RET0002113,PO0015742,VND00543,SKU1669,Electronics,2024-10-15,Wrong Quantity,188,898.88,168989.44,0,Manager_A,Processed,2024-10
RET0002395,PO0023544,VND00654,SKU2707,Textiles,2024-02-24,Quality Failure,119,3729.14,443767.66,0,Manager_B,Rejected,2024-02
RET0004478,PO0048858,VND00320,SKU1896,Packaging,2024-08-14,Damaged Packaging,215,2369.22,509382.3,0,Manager_A,Processed,2024-08
RET0001626,PO0026747,VND00216,SKU3866,Chemicals,2022-10-22,Wrong Item Delivered,389,4751.48,1848325.72,1,Unassigned,Processed,2022-10
RET0004400,PO0024215,VND00572,SKU3695,Machinery,2022-08-04,Overshipment,152,1839.79,279648.08,0,Manager_A,Processed,2022-08
RET0000659,PO0025243,VND00144,SKU5133,Textiles,2022-07-21,Expired Product,117,2923.02,341993.34,0,Unassigned,Processed,2022-07
RET0002372,PO0007874,VND00968,SKU5148,Electronics,2021-02-24,Wrong Quantity,204,4203.85,857585.4,0,Manager_B,Pending,2021-02
RET0003173,PO0013702,VND00606,SKU4627,Chemicals,2024-07-11,Quality Failure,465,504.37,234532.05,0,Unassigned,Processed,2024-07
RET0001234,PO0011489,VND00728,SKU1718,Textiles,2023-03-09,Expired Product,129,1031.65,133082.85,0,Manager_A,Pending,2023-03
RET0004002,PO0012936,VND00937,SKU4158,Electronics,2022-05-16,Overshipment,369,3512.95,1296278.55,0,Unassigned,Pending,2022-05
RET0002095,PO0049359,VND00209,SKU4205,Chemicals,2022-08-01,Wrong Item Delivered,98,2077.38,203583.24,0,Manager_A,Processed,2022-08
RET0000958,PO0028066,VND00453,SKU2226,Electronics,2022-07-04,Damaged Packaging,78,4043.58,315399.24,0,Unassigned,Processed,2022-07
RET0000644,PO0049594,VND00594,SKU5658,IT Equipment,2023-10-25,Quality Failure,35,3870.44,135465.4,0,Manager_A,Pending,2023-10
RET0004701,PO0039668,VND00249,SKU1048,Chemicals,2023-10-19,Expired Product,376,4295.27,1615021.52,1,Manager_B,Processed,2023-10
RET0001831,PO0011292,VND00732,SKU3145,Packaging,2022-10-12,Quality Failure,248,2178.59,540290.32,0,Manager_A,Processed,2022-10
RET0004230,PO0011653,VND00253,SKU1683,IT Equipment,2023-04-19,Defective Item,140,2401.54,336215.6,0,Manager_C,Processed,2023-04
RET0004322,PO0031874,VND00709,SKU1972,Spare Parts,2021-10-16,Wrong Quantity,160,3607.63,577220.8,0,Manager_A,Processed,2021-10
RET0001196,PO0032276,VND00265,SKU5831,Raw Material,2022-05-06,Wrong Quantity,498,730.88,363978.24,0,Unassigned,Rejected,2022-05
RET0001208,PO0026539,VND00495,SKU2451,Machinery,2022-02-27,Wrong Quantity,293,430.66,126183.38,0,Unassigned,Processed,2022-02
RET0001650,PO0009503,VND00965,SKU4450,Machinery,2023-04-21,Overshipment,161,4089.6,658425.6,0,Unassigned,Processed,2023-04
RET0002282,PO0035459,VND00068,SKU5245,Spare Parts,2024-09-19,Wrong Quantity,428,4618.87,1976876.36,1,Unassigned,Pending,2024-09
RET0001124,PO0009535,VND00466,SKU3398,IT Equipment,2022-05-28,Overshipment,64,4508.89,288568.96,0,Manager_C,Processed,2022-05
RET0004444,PO0026875,VND00651,SKU1093,Chemicals,2022-07-21,Quality Failure,275,4351.22,1196585.5,0,Unassigned,Processed,2022-07
RET0003765,PO0046862,VND00210,SKU1335,Electronics,2021-05-17,Defective Item,90,100.56,9050.4,0,Manager_C,Rejected,2021-05
RET0002309,PO0017342,VND00418,SKU3897,Raw Material,2021-05-16,Expired Product,285,308.62,87956.7,0,Manager_B,Pending,2021-05
RET0000969,PO0008928,VND00253,SKU4784,Textiles,2023-08-29,Wrong Quantity,122,4836.17,590012.74,0,Manager_B,Processed,2023-08
RET0003819,PO0046990,VND00274,SKU5553,Electronics,2024-08-18,Defective Item,88,361.45,31807.6,0,Manager_A,Processed,2024-08
RET0003122,PO0036457,VND00165,SKU5745,Electronics,2021-12-19,Overshipment,165,425.96,70283.4,0,Manager_A,Processed,2021-12
RET0000741,PO0042251,VND00638,SKU2362,Packaging,2022-03-09,Defective Item,359,3081.22,1106157.98,0,Manager_C,Pending,2022-03
RET0001962,PO0023203,VND00949,SKU3202,Textiles,2022-02-04,Wrong Item Delivered,318,4926.79,1566719.22,1,Manager_A,Processed,2022-02
RET0004559,PO0010155,VND00386,SKU5665,Electronics,2021-10-30,Expired Product,339,781.45,264911.55,0,Manager_B,Processed,2021-10
RET0004341,PO0029368,VND00672,SKU1883,Machinery,2022-11-20,Quality Failure,322,2259.91,727691.02,0,Manager_A,Processed,2022-11
RET0004849,PO0001580,VND00548,SKU5329,Machinery,2024-02-17,Wrong Quantity,390,3103.29,1210283.1,0,Manager_B,Processed,2024-02
RET0002193,PO0041455,VND00811,SKU4414,Machinery,2021-01-16,Damaged Packaging,380,3057.35,1161793.0,0,Manager_C,Pending,2021-01
RET0002123,PO0041870,VND00705,SKU4699,Spare Parts,2021-01-01,Overshipment,377,212.95,80282.15,0,Manager_B,Pending,2021-01
RET0002508,PO0047768,VND00647,SKU5585,Packaging,2024-02-04,Expired Product,206,3121.12,642950.72,0,Manager_C,Processed,2024-02
RET0004356,PO0038230,VND00811,SKU4468,Chemicals,2021-10-17,Expired Product,421,4115.83,1732764.43,1,Manager_A,Processed,2021-10
RET0000415,PO0044749,VND00328,SKU2673,IT Equipment,2023-12-03,Damaged Packaging,260,264.06,68655.6,0,Manager_A,Processed,2023-12
RET0003429,PO0045583,VND00076,SKU5478,Spare Parts,2021-05-30,Quality Failure,388,3104.1,1204390.8,0,Manager_C,Pending,2021-05
RET0004963,PO0000292,VND00176,SKU4472,Raw Material,2023-09-26,Defective Item,104,4946.4,514425.6,0,Manager_A,Processed,2023-09
RET0001952,PO0007266,VND00048,SKU1117,IT Equipment,2021-11-14,Damaged Packaging,361,537.75,194127.75,0,Unassigned,Pending,2021-11
RET0001803,PO0034711,VND00055,SKU5921,Textiles,2021-12-25,Defective Item,146,4642.5,677805.0,0,Manager_C,Processed,2021-12
RET0003778,PO0044666,VND00535,SKU3545,IT Equipment,2022-11-17,Expired Product,461,2842.95,1310599.95,0,Manager_C,Pending,2022-11
RET0000690,PO0013936,VND00955,SKU2067,Textiles,2021-09-27,Damaged Packaging,269,3905.07,1050463.83,0,Manager_C,Processed,2021-09
RET0004247,PO0036216,VND00775,SKU5182,Machinery,2024-03-31,Quality Failure,179,4566.43,817390.97,0,Unassigned,Processed,2024-03
