Shipment_ID,PO_ID,Vendor_ID,Shipment_Mode,Carrier_Name,Dispatch_Date,Delivered_Date,Freight_Cost_INR,Shipment_Weight_KG,Freight_Cost_Per_KG,Origin_Country,Destination_Warehouse,Damage_Flag,Transit_Days,Month_Start
SHP00000039,PO0038898,VND00385,Road,Ecom Express,2024-06-02,2024-07-05,125588.73,19469.8,6.45,Japan,WH04,Yes,33,2024-06-01
SHP00000040,PO0029461,VND00368,Rail,BlueDart,2024-12-25,2025-01-04,181925.74,16615.2,10.95,India,WH07,No,10,2024-12-01
SHP00000041,PO0009293,VND00278,Road,DTDC,2021-08-15,2021-08-30,119547.05,7785.2,15.36,India,WH09,No,15,2021-08-01
SHP00000042,PO0045820,VND00951,Rail,BlueDart,2024-10-18,2024-11-29,151881.75,14753.2,10.29,Japan,WH02,No,42,2024-10-01
SHP00000043,PO0048284,VND00383,Sea,Ecom Express,2022-07-21,2022-07-31,218646.94,10286.6,21.26,Malaysia,WH05,No,10,2022-07-01
SHP00000044,PO0012850,VND00393,Air,Ecom Express,2024-09-05,2024-10-03,57988.93,10585.5,5.48,China,WH10,No,28,2024-09-01
SHP00000045,PO0005653,VND00039,Unknown,FedEx,2024-08-20,2024-09-21,184351.82,17032.8,10.82,USA,WH03,No,32,2024-08-01
SHP00000046,PO0012057,VND00221,Rail,FedEx,2024-02-24,2024-03-25,153122.85,19160.5,7.99,India,WH08,No,30,2024-02-01
SHP00000047,PO0039620,VND00732,Road,Ecom Express,2022-01-06,2022-02-12,239844.93,2379.6,100.79,Malaysia,WH08,Yes,37,2022-01-01
SHP00000048,PO0022516,VND00780,Rail,Ecom Express,2022-10-15,2022-11-24,244589.71,13469.8,18.16,Germany,WH09,Yes,40,2022-10-01
SHP00000049,PO0001205,VND00473,Road,DTDC,2022-07-24,2022-08-03,42915.82,9875.2,4.35,Bangladesh,WH01,No,10,2022-07-01
SHP00000050,PO0044821,VND00162,Road,FedEx,2022-12-27,2023-01-01,126006.6,10240.1,12.31,China,WH09,No,5,2022-12-01
SHP00000051,PO0023357,VND00989,Rail,Ecom Express,2023-03-08,2023-03-12,171151.42,480.2,356.42,Germany,WH03,Yes,4,2023-03-01
SHP00000052,PO0041948,VND00241,Air,BlueDart,2022-05-01,2022-05-09,137765.57,6250.2,22.04,Japan,WH10,No,8,2022-05-01
SHP00000053,PO0010661,VND00899,Unknown,Gati,2021-01-18,2021-02-20,170057.46,2948.5,57.68,Bangladesh,WH02,No,33,2021-01-01
SHP00000054,PO0047360,VND00410,Road,Gati,2023-03-17,2023-04-23,165305.33,2163.2,76.42,Malaysia,WH02,No,37,2023-03-01
SHP00000055,PO0024839,VND00794,Sea,DHL,2021-09-06,2021-09-09,126351.01,483.2,261.49,Vietnam,WH03,Yes,3,2021-09-01
SHP00000056,PO0042370,VND00021,Road,Gati,2023-03-15,2023-04-23,184630.95,19424.0,9.51,Thailand,WH08,No,39,2023-03-01
SHP00000057,PO0022990,VND00774,Sea,Hapag-Lloyd,2022-05-08,2022-05-18,190009.58,15357.9,12.37,Thailand,WH03,No,10,2022-05-01
SHP00000058,PO0032436,VND00710,Rail,Maersk,2021-11-15,2021-11-28,47083.01,18174.4,2.59,Vietnam,WH06,No,13,2021-11-01
SHP00000059,PO0032350,VND00947,Rail,Maersk,2023-11-14,2023-11-24,58549.03,10581.0,5.53,Vietnam,WH02,No,10,2023-11-01
SHP00000060,PO0043138,VND00987,Air,BlueDart,2024-05-17,2024-06-03,115595.74,5229.0,22.11,Japan,WH02,No,17,2024-05-01
SHP00000061,PO0043871,VND00970,Road,Ecom Express,2022-03-13,2022-03-26,178273.43,3726.4,47.84,Bangladesh,WH06,No,13,2022-03-01
SHP00000062,PO0040132,VND00517,Sea,DTDC,2022-07-13,2022-08-17,152065.71,3020.9,50.34,Malaysia,WH01,Yes,35,2022-07-01
SHP00000063,PO0026672,VND00578,Air,FedEx,2023-12-01,2023-12-16,60383.22,19464.5,3.1,Japan,WH05,No,15,2023-12-01
SHP00000064,PO0014900,VND00124,Sea,Gati,2021-08-25,2021-10-06,232384.53,17596.7,13.21,Bangladesh,WH08,Yes,42,2021-08-01
SHP00000065,PO0017913,VND00610,Rail,DHL,2023-01-17,2023-02-24,112535.71,5579.4,20.17,China,WH02,Yes,38,2023-01-01
SHP00000066,PO0020877,VND00128,Road,FedEx,2023-07-23,2023-09-01,179362.33,9614.0,18.66,USA,WH02,No,40,2023-07-01
SHP00000067,PO0018543,VND00316,Road,DHL,2024-12-25,,33809.1,13431.0,2.52,Vietnam,WH03,No,,2024-12-01
SHP00000068,PO0031433,VND00539,Air,BlueDart,2021-06-02,2021-07-07,200562.6,7555.7,26.54,South Korea,WH09,No,35,2021-06-01
SHP00000069,PO0049744,VND00237,Air,FedEx,2022-10-18,2022-11-17,135182.45,2462.0,54.91,USA,WH05,Yes,30,2022-10-01
SHP00000070,PO0043573,VND00690,Air,DHL,2024-11-24,2025-01-04,67869.07,17894.8,3.79,Malaysia,WH05,No,41,2024-11-01
SHP00000071,PO0035674,VND00381,Road,Hapag-Lloyd,2021-09-03,2021-10-03,213861.2,7476.9,28.6,Vietnam,WH07,No,30,2021-09-01
SHP00000072,PO0043475,VND00368,Rail,Maersk,2023-08-18,2023-08-31,10242.69,15794.9,0.65,Malaysia,WH07,Yes,13,2023-08-01
SHP00000073,PO0014619,VND00564,Rail,BlueDart,2022-12-24,2023-01-22,71294.03,17666.4,4.04,Japan,WH01,No,29,2022-12-01
SHP00000074,PO0012616,VND00933,Sea,FedEx,2023-08-28,2023-09-28,206749.08,4253.4,48.61,USA,WH04,No,31,2023-08-01
SHP00000075,PO0003693,VND00772,Road,Maersk,2021-08-11,2021-09-02,246141.59,9770.3,25.19,Bangladesh,WH07,No,22,2021-08-01
SHP00000076,PO0034437,VND00082,Sea,Ecom Express,2021-08-27,2021-09-15,133131.93,11606.5,11.47,Malaysia,WH09,No,19,2021-08-01
SHP00000077,PO0017958,VND00587,Rail,DTDC,2022-07-08,2022-07-29,22115.64,4995.0,4.43,Vietnam,WH02,No,21,2022-07-01
SHP00000078,PO0045960,VND00543,Sea,Gati,2022-12-09,,217812.9,1903.6,114.42,USA,WH03,No,,2022-12-01
SHP00000079,PO0021230,VND00302,Road,DTDC,2021-07-17,2021-08-04,59479.28,19662.9,3.02,India,WH01,No,18,2021-07-01
SHP00000080,PO0037619,VND00634,Sea,Maersk,2024-08-18,2024-09-28,178915.07,17037.1,10.5,India,WH02,No,41,2024-08-01
SHP00000081,PO0047953,VND00426,Road,FedEx,2021-01-12,2021-01-28,6984.57,3580.5,1.95,Bangladesh,WH05,No,16,2021-01-01
SHP00000082,PO0004476,VND00941,Road,Gati,2022-09-22,2022-10-12,112802.9,17962.8,6.28,Thailand,WH07,Yes,20,2022-09-01
SHP00000083,PO0045230,VND00794,Sea,DHL,2023-04-19,2023-05-19,56788.84,10023.4,5.67,Germany,WH02,No,30,2023-04-01
SHP00000084,PO0008050,VND00460,Sea,Ecom Express,2022-01-24,,142707.18,16715.1,8.54,Japan,WH08,No,,2022-01-01
SHP00000085,PO0049839,VND00043,Road,DHL,2022-08-11,2022-08-12,44564.9,2117.8,21.04,India,WH10,No,1,2022-08-01
SHP00000086,PO0039399,VND00520,Rail,Maersk,2024-07-01,2024-07-02,187647.96,4595.1,40.84,Vietnam,WH06,No,1,2024-07-01
SHP00000087,PO0042601,VND00616,Road,FedEx,2024-08-03,2024-08-15,232563.1,6859.4,33.9,China,WH02,No,12,2024-08-01
SHP00000088,PO0016682,VND00718,Rail,Ecom Express,2023-09-08,2023-10-09,140825.45,18701.3,7.53,Malaysia,WH01,No,31,2023-09-01
SHP00000089,PO0026044,VND00269,Road,BlueDart,2021-09-18,2021-10-19,122077.11,11380.9,10.73,USA,WH03,Yes,31,2021-09-01
SHP00000090,PO0042666,VND00571,Sea,Maersk,2022-07-11,2022-08-14,117578.32,6247.1,18.82,Bangladesh,WH07,No,34,2022-07-01
SHP00000091,PO0015528,VND00612,Rail,Gati,2024-12-30,2025-02-04,181584.06,11903.9,15.25,Germany,WH09,No,36,2024-12-01
SHP00000092,PO0042224,VND00368,Rail,Ecom Express,2022-09-06,2022-09-22,150245.2,18922.7,7.94,Thailand,WH09,No,16,2022-09-01
SHP00000093,PO0035208,VND00535,Rail,Ecom Express,2024-06-23,2024-06-27,185586.98,4920.2,37.72,Malaysia,WH01,No,4,2024-06-01
SHP00000094,PO0004030,VND00638,Rail,Gati,2021-09-20,2021-10-06,80913.11,2450.4,33.02,USA,WH04,No,16,2021-09-01
SHP00000095,PO0049511,VND00408,Road,Ecom Express,2024-12-21,2024-12-23,105714.5,17001.3,6.22,Vietnam,WH08,No,2,2024-12-01
SHP00000096,PO0020214,VND00472,Road,DHL,2023-09-23,2023-10-29,154449.73,8834.5,17.48,South Korea,WH05,No,36,2023-09-01
SHP00000097,PO0035244,VND00644,Rail,Gati,2021-05-29,2021-07-03,218061.35,6413.8,34.0,Germany,WH01,No,35,2021-05-01
SHP00000098,PO0019655,VND00814,Road,BlueDart,2023-12-29,2024-01-29,3827.04,11549.3,0.33,China,WH09,No,31,2023-12-01
SHP00000099,PO0036959,VND00218,Sea,Gati,2022-09-05,2022-09-18,165996.69,595.4,278.8,India,WH05,No,13,2022-09-01
SHP00000100,PO0032984,VND00150,Road,Ecom Express,2024-02-16,2024-03-20,138366.03,7983.9,17.33,China,WH09,No,33,2024-02-01
SHP00000101,PO0001186,VND00037,Road,DTDC,2021-05-25,2021-07-07,138099.24,9166.6,15.07,Malaysia,WH02,Yes,43,2021-05-01
SHP00000102,PO0011571,VND00654,Rail,DTDC,2022-06-28,2022-07-20,90044.59,18083.8,4.98,Germany,WH08,No,22,2022-06-01
SHP00000103,PO0027763,VND00115,Air,DHL,2022-02-28,2022-04-06,152941.91,10933.4,13.99,USA,WH10,Yes,37,2022-02-01
SHP00000104,PO0011858,VND00604,Road,DHL,2024-06-17,2024-07-12,55335.47,14597.1,3.79,Vietnam,WH07,No,25,2024-06-01
SHP00000105,PO0042725,VND00344,Road,Hapag-Lloyd,2023-03-10,2023-04-03,65010.55,8338.0,7.8,Vietnam,WH04,No,24,2023-03-01
SHP00000106,PO0022449,VND00043,Rail,Gati,2021-09-19,2021-10-22,211414.28,4490.4,47.08,Malaysia,WH04,No,33,2021-09-01
SHP00000107,PO0039942,VND00608,Air,Maersk,2022-06-20,2022-07-03,134644.1,13166.6,10.23,Thailand,WH05,No,13,2022-06-01
SHP00000108,PO0011218,VND00824,Air,BlueDart,2021-05-01,2021-05-13,38691.94,6857.3,5.64,South Korea,WH05,No,12,2021-05-01
SHP00000109,PO0045376,VND00752,Road,DTDC,2022-06-24,2022-06-30,211284.64,396.6,532.74,South Korea,WH01,Yes,6,2022-06-01
SHP00000110,PO0000285,VND00202,Road,BlueDart,2021-06-22,2021-07-12,91838.43,19525.3,4.7,South Korea,WH08,No,20,2021-06-01
SHP00000111,PO0022689,VND00938,Road,Hapag-Lloyd,2024-02-26,2024-04-08,169530.05,15367.4,11.03,Thailand,WH06,No,42,2024-02-01
SHP00000112,PO0023841,VND00981,Road,Ecom Express,2021-01-11,2021-02-05,166813.04,1128.3,147.84,South Korea,WH05,No,25,2021-01-01
SHP00000113,PO0041294,VND00568,Road,BlueDart,2023-09-13,2023-10-04,157201.3,4907.5,32.03,Thailand,WH01,No,21,2023-09-01
SHP00000114,PO0030628,VND00142,Road,Maersk,2022-06-15,2022-07-21,87717.75,5891.3,14.89,Vietnam,WH03,No,36,2022-06-01
SHP00000115,PO0024478,VND00235,Sea,Hapag-Lloyd,2024-12-27,2025-01-18,195902.73,11042.5,17.74,Thailand,WH03,No,22,2024-12-01
SHP00000116,PO0024246,VND00940,Sea,Hapag-Lloyd,2023-04-03,2023-05-09,144280.54,5799.2,24.88,Japan,WH03,Yes,36,2023-04-01
SHP00000117,PO0037040,VND00625,Sea,Maersk,2021-11-23,2022-01-05,195292.52,18227.5,10.71,Thailand,WH10,No,43,2021-11-01
SHP00000118,PO0027274,VND00805,Road,Ecom Express,2021-02-05,2021-03-17,123047.59,16803.5,7.32,Vietnam,WH05,No,40,2021-02-01
SHP00000119,PO0025324,VND00225,Air,Ecom Express,2023-01-15,2023-02-25,233157.92,18875.7,12.35,China,WH03,No,41,2023-01-01
SHP00000120,PO0020441,VND00625,Sea,Ecom Express,2024-02-13,2024-03-07,96428.21,7702.3,12.52,Vietnam,WH01,Yes,23,2024-02-01
SHP00000121,PO0022399,VND00170,Road,BlueDart,2021-03-04,2021-04-12,242603.26,9982.7,24.3,China,WH03,No,39,2021-03-01
SHP00000122,PO0008807,VND00116,Road,Gati,2022-08-15,2022-09-13,13274.75,4651.4,2.85,Thailand,WH08,No,29,2022-08-01
SHP00000123,PO0024112,VND00725,Sea,DHL,2021-02-20,2021-02-22,26882.36,9160.3,2.93,South Korea,WH01,No,2,2021-02-01
SHP00000124,PO0006553,VND00194,Rail,DTDC,2022-06-02,2022-06-21,185009.05,14397.7,12.85,Thailand,WH06,No,19,2022-06-01
SHP00000125,PO0033093,VND00392,Air,Hapag-Lloyd,2022-09-28,2022-10-22,35524.99,11966.4,2.97,South Korea,WH10,No,24,2022-09-01
SHP00000126,PO0048756,VND00808,Air,FedEx,2023-09-06,2023-09-30,197482.24,10155.8,19.45,Thailand,WH10,No,24,2023-09-01
SHP00000127,PO0045956,VND00255,Rail,Hapag-Lloyd,2024-01-02,2024-01-10,133744.95,1114.5,120.0,USA,WH01,Yes,8,2024-01-01
SHP00000128,PO0024052,VND00297,Air,BlueDart,2022-01-22,2022-02-08,72217.42,18178.8,3.97,India,WH09,No,17,2022-01-01
SHP00000129,PO0023830,VND00801,Sea,DTDC,2021-11-02,2021-11-27,57731.34,17317.9,3.33,India,WH01,No,25,2021-11-01
SHP00000130,PO0014433,VND00892,Road,Maersk,2023-07-07,2023-08-07,52227.1,5853.4,8.92,Malaysia,WH09,No,31,2023-07-01
SHP00000131,PO0048529,VND00644,Rail,Gati,2024-11-20,2024-11-25,60881.83,16675.1,3.65,Malaysia,WH08,Yes,5,2024-11-01
SHP00000132,PO0000533,VND00690,Road,Maersk,2024-08-19,2024-09-11,189166.53,11089.5,17.06,Bangladesh,WH07,No,23,2024-08-01
SHP00000133,PO0014974,VND00359,Rail,DTDC,2022-09-08,2022-09-09,208662.69,6816.8,30.61,Vietnam,WH02,No,1,2022-09-01
SHP00000134,PO0035885,VND00806,Unknown,Maersk,2021-11-25,2022-01-08,107312.69,2910.3,36.87,China,WH09,No,44,2021-11-01
SHP00000136,PO0041215,VND00110,Road,Maersk,2024-11-17,2024-11-20,23097.28,1860.8,12.41,Vietnam,WH04,No,3,2024-11-01
SHP00000137,PO0008126,VND00118,Road,Maersk,2024-12-09,2024-12-29,73913.38,11397.2,6.49,Germany,WH05,No,20,2024-12-01
SHP00000138,PO0033280,VND00677,Road,Gati,2021-03-13,2021-03-22,243476.23,14631.3,16.64,Germany,WH01,No,9,2021-03-01
SHP00000139,PO0004162,VND00588,Air,Maersk,2021-03-04,2021-03-24,6945.41,4203.8,1.65,India,WH02,No,20,2021-03-01
SHP00000140,PO0030458,VND00531,Road,Hapag-Lloyd,2022-02-10,2022-02-20,125255.4,3008.1,41.64,Thailand,WH01,No,10,2022-02-01
SHP00000141,PO0014676,VND00665,Sea,DHL,2023-05-13,2023-05-23,173635.36,16100.7,10.78,South Korea,WH02,No,10,2023-05-01
SHP00000142,PO0028617,VND00843,Sea,Maersk,2024-01-28,2024-01-30,11985.77,2404.3,4.99,Japan,WH08,Yes,2,2024-01-01
SHP00000143,PO0015192,VND00048,Sea,FedEx,2021-07-30,2021-08-14,21184.46,13887.1,1.53,USA,WH04,Yes,15,2021-07-01
SHP00000144,PO0019342,VND00966,Road,Gati,2024-07-06,2024-07-24,215659.13,8825.2,24.44,Bangladesh,WH03,No,18,2024-07-01
SHP00000145,PO0013733,VND00938,Rail,DHL,2024-12-04,2025-01-11,86084.23,9553.2,9.01,USA,WH09,No,38,2024-12-01
SHP00000146,PO0006072,VND00794,Air,BlueDart,2023-09-17,2023-10-08,232497.17,19047.2,12.21,Germany,WH07,No,21,2023-09-01
SHP00000147,PO0005829,VND00559,Rail,Maersk,2022-07-24,2022-08-05,73358.08,17369.5,4.22,Malaysia,WH06,No,12,2022-07-01
SHP00000148,PO0032708,VND00216,Air,Gati,2023-03-26,2023-04-29,108674.33,6481.6,16.77,India,WH04,No,34,2023-03-01
SHP00000149,PO0006031,VND00978,Rail,DTDC,2021-05-03,2021-06-03,23002.09,11955.8,1.92,Germany,WH02,No,31,2021-05-01
SHP00000150,PO0036173,VND00682,Sea,Hapag-Lloyd,2024-08-22,2024-08-29,47721.21,16341.2,2.92,Malaysia,WH07,No,7,2024-08-01
SHP00000151,PO0032565,VND00995,Road,DTDC,2021-08-08,2021-09-12,3665.66,4842.8,0.76,India,WH04,No,35,2021-08-01
SHP00000152,PO0046774,VND00894,Road,Gati,2021-07-22,2021-08-28,246717.64,15415.2,16.0,Japan,WH05,No,37,2021-07-01
SHP00000153,PO0046593,VND00693,Rail,FedEx,2023-12-30,2024-01-03,10678.42,19660.6,0.54,Japan,WH07,No,4,2023-12-01
SHP00000154,PO0023206,VND00153,Unknown,Maersk,2024-11-01,2024-12-04,189116.73,6392.6,29.58,Japan,WH04,No,33,2024-11-01
SHP00000155,PO0013770,VND00574,Rail,DHL,2022-10-15,2022-11-25,18307.65,19310.8,0.95,South Korea,WH09,No,41,2022-10-01
SHP00000156,PO0037520,VND00194,Road,BlueDart,2023-11-22,2023-12-19,83865.95,1164.1,72.04,China,WH09,Yes,27,2023-11-01
SHP00000157,PO0035985,VND00037,Air,DTDC,2024-11-10,2024-11-18,76958.76,12377.6,6.22,South Korea,WH07,Yes,8,2024-11-01
SHP00000158,PO0049244,VND00938,Rail,DTDC,2023-01-02,2023-01-14,107819.55,3153.3,34.19,Japan,WH08,No,12,2023-01-01
SHP00000159,PO0016730,VND00178,Sea,DHL,2023-02-09,2023-02-25,242722.91,17097.8,14.2,Japan,WH10,Yes,16,2023-02-01
SHP00000160,PO0043738,VND00402,Air,Maersk,2021-06-20,2021-07-01,167412.86,15946.0,10.5,Thailand,WH02,No,11,2021-06-01
SHP00000161,PO0010389,VND00897,Air,Hapag-Lloyd,2022-05-10,2022-05-11,218002.85,4471.8,48.75,Vietnam,WH10,No,1,2022-05-01
SHP00000162,PO0022020,VND00091,Air,DTDC,2023-02-23,2023-04-05,153606.11,11936.6,12.87,China,WH04,No,41,2023-02-01
SHP00000163,PO0021552,VND00825,Road,Gati,2023-01-03,2023-02-16,246273.64,15763.7,15.62,South Korea,WH02,No,44,2023-01-01
SHP00000164,PO0011589,VND00944,Sea,BlueDart,2022-06-09,2022-07-17,242635.78,10319.3,23.51,China,WH02,No,38,2022-06-01
SHP00000165,PO0028833,VND00675,Rail,DHL,2022-03-31,2022-05-07,232225.65,12133.3,19.14,Japan,WH05,No,37,2022-03-01
SHP00000166,PO0029603,VND00454,Road,Hapag-Lloyd,2024-05-02,2024-06-09,76382.97,19036.5,4.01,South Korea,WH03,No,38,2024-05-01
SHP00000167,PO0021949,VND00679,Rail,Hapag-Lloyd,2021-05-12,2021-05-27,134176.28,8584.6,15.63,Bangladesh,WH02,No,15,2021-05-01
SHP00000168,PO0009470,VND00584,Rail,BlueDart,2024-03-04,2024-03-12,190045.88,15938.7,11.92,Vietnam,WH04,No,8,2024-03-01
SHP00000169,PO0010096,VND00212,Air,DHL,2023-02-19,2023-02-28,110282.45,1786.1,61.74,Japan,WH07,No,9,2023-02-01
SHP00000170,PO0034468,VND00289,Sea,Gati,2022-02-08,2022-03-09,171061.87,16894.5,10.13,South Korea,WH04,No,29,2022-02-01
SHP00000171,PO0042349,VND00420,Sea,Maersk,2024-01-08,2024-01-16,40217.02,2953.8,13.62,USA,WH09,No,8,2024-01-01
SHP00000172,PO0041845,VND00956,Road,DHL,2021-11-09,2021-11-10,157772.91,5349.9,29.49,Bangladesh,WH02,No,1,2021-11-01
SHP00000173,PO0023260,VND00140,Air,Ecom Express,2021-08-14,2021-09-01,90379.87,17217.2,5.25,Japan,WH06,No,18,2021-08-01
SHP00000174,PO0003099,VND00876,Sea,Gati,2021-04-30,2021-05-06,233780.9,15179.4,15.4,USA,WH08,No,6,2021-04-01
SHP00000175,PO0048028,VND00153,Air,Hapag-Lloyd,2021-12-22,,138954.43,167.8,828.1,Germany,WH02,No,,2021-12-01
SHP00000176,PO0009758,VND00318,Rail,Maersk,2024-11-05,2024-12-02,180121.1,1813.5,99.32,Thailand,WH10,No,27,2024-11-01
SHP00000177,PO0042831,VND00668,Rail,BlueDart,2024-12-02,2024-12-26,222778.96,15128.0,14.73,Vietnam,WH06,No,24,2024-12-01
SHP00000178,PO0041903,VND00708,Road,FedEx,2024-07-09,2024-07-17,134128.33,14960.4,8.97,Bangladesh,WH09,No,8,2024-07-01
SHP00000179,PO0006411,VND00055,Air,FedEx,2022-05-20,2022-07-02,170417.46,19211.1,8.87,Vietnam,WH10,No,43,2022-05-01
SHP00000180,PO0047684,VND00520,Sea,Ecom Express,2022-03-22,2022-03-24,50524.7,8060.0,6.27,China,WH09,No,2,2022-03-01
SHP00000181,PO0030774,VND00502,Rail,Maersk,2023-11-06,2023-11-13,117643.3,13176.9,8.93,Malaysia,WH05,Yes,7,2023-11-01
SHP00000182,PO0013594,VND00513,Sea,FedEx,2021-01-11,2021-02-20,102486.73,1513.2,67.73,Vietnam,WH04,No,40,2021-01-01
SHP00000183,PO0009616,VND00543,Sea,Gati,2024-08-15,2024-09-26,90349.29,1738.8,51.96,USA,WH01,Yes,42,2024-08-01
SHP00000184,PO0019540,VND00953,Sea,DTDC,2023-11-13,2023-12-22,27722.7,10227.1,2.71,India,WH08,No,39,2023-11-01
