Vendor_ID,Vendor_Name,Vendor_Category,Country,Reliability_Score,Reliability_Score_Flag,Lead_Time_Days,Vendor_Tier,Contact_Email,Active_Since_Year
VND00259,Vendor_0259,IT Services,South Korea,69.9,Valid,24,Tier 2,contact258@vendor258.com,2015
VND00367,Vendor_0367,Logistics,Malaysia,97.3,Valid,24,Tier 1,contact366@vendor366.com,2016
VND00347,Vendor_0347,Textiles,Germany,74.5,Valid,26,Tier 2,contact346@vendor346.com,
VND00130,Vendor_0130,Logistics,Vietnam,65.8,Valid,37,Tier 2,contact129@vendor129.com,2006
VND00859,Vendor_0859,Unknown,Malaysia,69.5,Valid,3,Tier 2,contact858@vendor858.com,2009
VND00363,Vendor_0363,Unknown,USA,62.1,Valid,40,Tier 2,contact362@vendor362.com,2007
VND00234,Vendor_0234,Machinery,Germany,64.5,Valid,21,Tier 2,contact233@vendor233.com,2012
VND00479,Vendor_0479,Chemicals,South Korea,97.9,Valid,44,Tier 1,contact478@vendor478.com,2007
VND00570,Vendor_0570,IT Services,Thailand,54.4,Valid,33,Tier 3,contact569@vendor569.com,2010
VND00719,Vendor_0719,Raw Material,Thailand,38.7,Valid,15,Tier 3,contact718@vendor718.com,2010
VND00208,Vendor_0208,Logistics,China,76.4,Valid,44,Tier 2,contact207@vendor207.com,2016
VND00510,Vendor_0510,Electronics,USA,80.8,Valid,30,Tier 1,contact509@vendor509.com,2021
VND00603,Vendor_0603,Packaging,Bangladesh,42.4,Valid,21,Tier 3,contact602@vendor602.com,2021
VND00106,Vendor_0106,Unknown,India,47.5,Valid,39,Tier 3,contact105@vendor105.com,2014
VND00669,Vendor_0669,Unknown,Malaysia,43.1,Valid,30,Tier 3,contact668@vendor668.com,2017
VND00467,Vendor_0467,Logistics,Germany,50.0,Valid,26,Tier 3,contact466@vendor466.com,2016
VND00848,Vendor_0848,Packaging,Thailand,99.8,Valid,10,Tier 1,contact847@vendor847.com,2013
VND00142,Vendor_0142,Textiles,Bangladesh,47.6,Valid,27,Tier 3,Not Provided,2015
VND00021,Vendor_0021,Machinery,China,72.8,Valid,28,Tier 2,contact20@vendor20.com,2020
VND00211,Vendor_0211,Machinery,Thailand,68.4,Valid,32,Tier 2,contact210@vendor210.com,2015
VND00288,Vendor_0288,Textiles,China,68.0,Valid,31,Tier 2,contact287@vendor287.com,2008
VND00338,Vendor_0338,Machinery,Vietnam,79.3,Valid,16,Tier 2,contact337@vendor337.com,
VND00110,Vendor_0110,IT Services,Vietnam,35.4,Valid,26,Tier 3,contact109@vendor109.com,2020
VND00240,Vendor_0240,Packaging,Malaysia,42.4,Valid,36,Tier 3,contact239@vendor239.com,2011
VND00328,Vendor_0328,Raw Material,China,72.8,Valid,29,Tier 2,contact327@vendor327.com,2010
VND00595,Vendor_0595,Packaging,Vietnam,92.8,Valid,42,Tier 1,contact594@vendor594.com,2017
VND00275,Vendor_0275,Logistics,Thailand,65.8,Valid,13,Tier 2,contact274@vendor274.com,2009
VND00574,Vendor_0574,Chemicals,China,73.5,Valid,25,Tier 2,contact573@vendor573.com,2012
VND00910,Vendor_0910,Machinery,Vietnam,56.6,Valid,18,Tier 3,contact909@vendor909.com,2018
VND00261,Vendor_0261,Raw Material,Japan,73.1,Valid,20,Tier 2,contact260@vendor260.com,2005
VND00644,Vendor_0644,Packaging,USA,52.9,Valid,14,Tier 3,contact643@vendor643.com,2019
VND00444,Vendor_0444,Logistics,USA,55.9,Valid,21,Tier 3,contact443@vendor443.com,
VND00626,Vendor_0626,Logistics,Malaysia,55.8,Valid,6,Tier 3,contact625@vendor625.com,2011
VND00609,Vendor_0609,IT Services,USA,65.2,Valid,28,Tier 2,contact608@vendor608.com,2009
VND00514,Vendor_0514,Chemicals,India,90.6,Valid,7,Tier 1,contact513@vendor513.com,2006
VND00200,Vendor_0200,Textiles,India,84.6,Valid,44,Tier 1,contact199@vendor199.com,2014
VND00207,Vendor_0207,Machinery,Bangladesh,37.1,Valid,25,Tier 3,contact206@vendor206.com,2005
VND00309,Vendor_0309,Machinery,Vietnam,85.7,Valid,5,Tier 1,contact308@vendor308.com,2014
VND00296,Vendor_0296,Logistics,Malaysia,66.6,Valid,13,Tier 2,contact295@vendor295.com,2016
VND00515,Vendor_0515,Electronics,Japan,33.2,Valid,3,Tier 3,contact514@vendor514.com,2022
VND00490,Vendor_0490,IT Services,India,92.3,Valid,38,Tier 1,contact489@vendor489.com,2007
VND00534,Vendor_0534,Electronics,China,68.9,Valid,22,Tier 2,contact533@vendor533.com,2019
VND00585,Vendor_0585,Logistics,China,74.3,Valid,24,Tier 2,contact584@vendor584.com,2008
VND00788,Vendor_0788,Raw Material,India,58.1,Valid,13,Tier 3,contact787@vendor787.com,2019
VND00678,Vendor_0678,IT Services,Bangladesh,57.8,Valid,38,Tier 3,contact677@vendor677.com,2013
VND00150,Vendor_0150,Logistics,China,49.5,Valid,5,Tier 3,contact149@vendor149.com,2022
VND00067,Vendor_0067,Electronics,USA,39.9,Valid,18,Tier 3,contact66@vendor66.com,2015
VND00473,Vendor_0473,Unknown,Vietnam,33.0,Valid,4,Tier 3,contact472@vendor472.com,2022
VND00615,Vendor_0615,IT Services,Japan,91.2,Valid,43,Tier 1,contact614@vendor614.com,2022
VND00285,Vendor_0285,Raw Material,USA,70.5,Valid,19,Tier 2,contact284@vendor284.com,2013
VND00366,Vendor_0366,Electronics,USA,57.0,Valid,13,Tier 3,contact365@vendor365.com,2019
VND00839,Vendor_0839,Packaging,Vietnam,70.6,Valid,33,Tier 2,contact838@vendor838.com,2012
VND00804,Vendor_0804,Electronics,India,72.5,Valid,11,Tier 2,Not Provided,2020
VND00400,Vendor_0400,IT Services,China,82.8,Valid,44,Tier 1,contact399@vendor399.com,2009
VND00108,Vendor_0108,Chemicals,Japan,82.9,Valid,8,Tier 1,contact107@vendor107.com,2005
VND00372,Vendor_0372,Raw Material,Unknown,31.3,Valid,34,Tier 3,contact371@vendor371.com,2008
VND00956,Vendor_0956,Chemicals,Japan,56.8,Valid,22,Tier 3,contact955@vendor955.com,2010
VND00316,Vendor_0316,Packaging,Japan,78.7,Valid,26,Tier 2,contact315@vendor315.com,
VND00530,Vendor_0530,Textiles,Vietnam,90.5,Valid,32,Tier 1,contact529@vendor529.com,2012
VND00892,Vendor_0892,Packaging,Vietnam,89.9,Valid,37,Tier 1,contact891@vendor891.com,2009
VND00557,Vendor_0557,IT Services,China,39.4,Valid,8,Tier 3,contact556@vendor556.com,2020
VND00785,Vendor_0785,Textiles,Germany,42.7,Valid,44,Tier 3,contact784@vendor784.com,2010
VND00298,Vendor_0298,IT Services,South Korea,45.1,Valid,5,Tier 3,contact297@vendor297.com,2022
VND00035,Vendor_0035,Textiles,Japan,97.6,Valid,11,Tier 1,contact34@vendor34.com,2015
VND00220,Vendor_0220,Electronics,USA,89.4,Valid,14,Tier 1,contact219@vendor219.com,2013
VND00098,Vendor_0098,Packaging,Bangladesh,59.9,Valid,27,Tier 3,contact97@vendor97.com,2011
VND00994,Vendor_0994,Packaging,Bangladesh,71.3,Valid,31,Tier 2,contact993@vendor993.com,2019
VND00131,Vendor_0131,Packaging,Thailand,59.2,Valid,22,Tier 3,contact130@vendor130.com,2021
VND00071,Vendor_0071,Machinery,South Korea,84.1,Valid,44,Tier 1,contact70@vendor70.com,2007
VND00158,Vendor_0158,IT Services,Japan,83.3,Valid,44,Tier 1,contact157@vendor157.com,2015
VND00779,Vendor_0779,Logistics,India,80.4,Valid,4,Tier 1,contact778@vendor778.com,2007
VND00638,Vendor_0638,Logistics,USA,47.0,Valid,26,Tier 3,contact637@vendor637.com,2022
VND00472,Vendor_0472,Machinery,Thailand,97.9,Valid,38,Tier 1,contact471@vendor471.com,2010
VND00006,Vendor_0006,Electronics,Germany,40.9,Valid,33,Tier 3,contact5@vendor5.com,2017
VND00821,Vendor_0821,Raw Material,China,86.2,Valid,5,Tier 1,contact820@vendor820.com,2013
VND00841,Vendor_0841,IT Services,South Korea,30.9,Valid,44,Tier 3,contact840@vendor840.com,2006
VND00238,Vendor_0238,Electronics,China,31.7,Valid,43,Tier 3,contact237@vendor237.com,2008
VND00136,Vendor_0136,Logistics,USA,52.6,Valid,26,Tier 3,contact135@vendor135.com,2018
VND00319,Vendor_0319,Electronics,Vietnam,41.0,Valid,17,Tier 3,contact318@vendor318.com,2013
VND00934,Vendor_0934,Electronics,Japan,66.8,Valid,18,Tier 2,contact933@vendor933.com,2022
VND00268,Vendor_0268,Textiles,China,79.2,Valid,9,Tier 2,contact267@vendor267.com,2021
VND00481,Vendor_0481,Electronics,China,74.1,Valid,5,Tier 2,contact480@vendor480.com,
VND00761,Vendor_0761,Textiles,India,40.6,Valid,37,Tier 3,contact760@vendor760.com,2017
VND00029,Vendor_0029,Logistics,Thailand,71.5,Valid,23,Tier 2,contact28@vendor28.com,2008
VND00219,Vendor_0219,IT Services,Vietnam,75.5,Valid,31,Tier 2,contact218@vendor218.com,2020
VND00457,Vendor_0457,Raw Material,Thailand,30.8,Valid,14,Tier 3,contact456@vendor456.com,2011
VND00258,Vendor_0258,Packaging,Vietnam,78.7,Valid,3,Tier 2,contact257@vendor257.com,2016
VND00597,Vendor_0597,Raw Material,Malaysia,76.7,Valid,29,Tier 2,contact596@vendor596.com,2014
VND00250,Vendor_0250,Electronics,Malaysia,89.7,Valid,38,Tier 1,contact249@vendor249.com,
VND00594,Vendor_0594,Chemicals,Malaysia,54.2,Valid,10,Tier 3,contact593@vendor593.com,2010
VND00135,Vendor_0135,Textiles,USA,96.0,Valid,26,Tier 1,contact134@vendor134.com,2011
VND00552,Vendor_0552,Unknown,USA,89.7,Valid,22,Tier 1,contact551@vendor551.com,2005
VND00297,Vendor_0297,Logistics,South Korea,83.9,Valid,29,Tier 1,contact296@vendor296.com,2014
VND00768,Vendor_0768,Packaging,Vietnam,91.4,Valid,17,Tier 1,contact767@vendor767.com,2016
VND00350,Vendor_0350,Textiles,China,73.8,Valid,15,Tier 2,contact349@vendor349.com,2007
VND00430,Vendor_0430,Raw Material,USA,38.2,Valid,20,Tier 3,contact429@vendor429.com,2006
VND00832,Vendor_0832,Packaging,South Korea,61.7,Valid,32,Tier 2,contact831@vendor831.com,2019
VND00538,Vendor_0538,IT Services,Malaysia,47.3,Valid,22,Tier 3,contact537@vendor537.com,2009
VND00897,Vendor_0897,IT Services,Bangladesh,50.5,Valid,44,Tier 3,contact896@vendor896.com,2009
VND00581,Vendor_0581,Logistics,Thailand,62.1,Valid,31,Tier 2,contact580@vendor580.com,2013
VND00062,Vendor_0062,Textiles,China,49.0,Valid,24,Tier 3,contact61@vendor61.com,2010
VND00276,Vendor_0276,Unknown,South Korea,65.1,Valid,25,Tier 2,Not Provided,2005
VND00244,Vendor_0244,Chemicals,Malaysia,55.9,Valid,22,Tier 3,contact243@vendor243.com,2011
VND00569,Vendor_0569,Chemicals,Vietnam,93.3,Valid,41,Tier 1,contact568@vendor568.com,2013
VND00654,Vendor_0654,Machinery,USA,82.2,Valid,40,Tier 1,contact653@vendor653.com,2017
VND00424,Vendor_0424,Electronics,Vietnam,64.6,Valid,28,Tier 2,contact423@vendor423.com,2022
VND00253,Vendor_0253,Raw Material,Malaysia,89.6,Valid,19,Tier 1,contact252@vendor252.com,2007
VND00477,Vendor_0477,Raw Material,USA,35.2,Valid,8,Tier 3,contact476@vendor476.com,2011
VND00863,Vendor_0863,Chemicals,India,66.7,Valid,8,Tier 2,contact862@vendor862.com,2006
VND00554,Vendor_0554,Electronics,Japan,69.3,Valid,31,Tier 2,contact553@vendor553.com,2009
VND00097,Vendor_0097,Electronics,Germany,66.6,Valid,39,Tier 2,contact96@vendor96.com,2008
VND00796,Vendor_0796,Packaging,India,91.0,Valid,22,Tier 1,contact795@vendor795.com,2012
VND00145,Vendor_0145,Electronics,Malaysia,49.9,Valid,16,Tier 3,Not Provided,2021
VND00965,Vendor_0965,Raw Material,Germany,50.2,Valid,33,Tier 3,contact964@vendor964.com,2012
VND00414,Vendor_0414,Machinery,Vietnam,70.1,Valid,10,Tier 2,contact413@vendor413.com,2017
VND00381,Vendor_0381,IT Services,Germany,38.3,Valid,34,Tier 3,contact380@vendor380.com,2017
VND00920,Vendor_0920,Raw Material,Germany,39.8,Valid,37,Tier 3,contact919@vendor919.com,2022
VND00680,Vendor_0680,Electronics,India,90.6,Valid,25,Tier 1,Not Provided,2007
VND00402,Vendor_0402,IT Services,China,93.2,Valid,13,Tier 1,contact401@vendor401.com,2022
VND00616,Vendor_0616,Electronics,Japan,94.5,Valid,27,Tier 1,contact615@vendor615.com,2018
VND00433,Vendor_0433,Textiles,Japan,,Out of Range (0-100),14,Unclassified,contact432@vendor432.com,2016
VND00593,Vendor_0593,Logistics,USA,42.7,Valid,28,Tier 3,contact592@vendor592.com,2006
VND00741,Vendor_0741,Unknown,Thailand,62.4,Valid,44,Tier 2,contact740@vendor740.com,2021
VND00531,Vendor_0531,Machinery,India,86.9,Valid,24,Tier 1,contact530@vendor530.com,2018
VND00688,Vendor_0688,Raw Material,Germany,49.6,Valid,13,Tier 3,contact687@vendor687.com,2005
VND00410,Vendor_0410,IT Services,Bangladesh,36.4,Valid,34,Tier 3,contact409@vendor409.com,2018
VND00419,Vendor_0419,Packaging,South Korea,77.1,Valid,22,Tier 2,contact418@vendor418.com,2014
VND00628,Vendor_0628,Textiles,Malaysia,82.3,Valid,21,Tier 1,contact627@vendor627.com,2005
VND00798,Vendor_0798,Packaging,Bangladesh,69.6,Valid,38,Tier 2,contact797@vendor797.com,2018
VND00808,Vendor_0808,IT Services,South Korea,94.8,Valid,43,Tier 1,contact807@vendor807.com,2018
VND00884,Vendor_0884,Chemicals,USA,37.3,Valid,3,Tier 3,contact883@vendor883.com,2021
VND00007,Vendor_0007,Raw Material,Thailand,34.1,Valid,23,Tier 3,contact6@vendor6.com,2017
VND00072,Vendor_0072,Textiles,South Korea,43.9,Valid,36,Tier 3,contact71@vendor71.com,2015
VND00874,Vendor_0874,Chemicals,Thailand,58.6,Valid,16,Tier 3,contact873@vendor873.com,2022
VND00115,Vendor_0115,Chemicals,Thailand,,Out of Range (0-100),9,Unclassified,contact114@vendor114.com,2016
VND00340,Vendor_0340,Textiles,Vietnam,36.8,Valid,19,Tier 3,contact339@vendor339.com,2012
VND00120,Vendor_0120,Electronics,China,67.8,Valid,12,Tier 2,contact119@vendor119.com,2009
VND00002,Vendor_0002,Electronics,Thailand,96.6,Valid,18,Tier 1,contact1@vendor1.com,2007
VND00151,Vendor_0151,Logistics,Vietnam,93.6,Valid,30,Tier 1,contact150@vendor150.com,2018
VND00172,Vendor_0172,Textiles,China,31.2,Valid,20,Tier 3,contact171@vendor171.com,2021
VND00196,Vendor_0196,Packaging,Bangladesh,54.4,Valid,35,Tier 3,contact195@vendor195.com,
VND00095,Vendor_0095,Electronics,Japan,84.0,Valid,0,Tier 1,contact94@vendor94.com,2010
VND00148,Vendor_0148,Chemicals,Germany,65.2,Valid,13,Tier 2,Not Provided,2008
VND00900,Vendor_0900,Electronics,Malaysia,36.0,Valid,40,Tier 3,contact899@vendor899.com,2006
VND00907,Vendor_0907,Electronics,Malaysia,87.2,Valid,16,Tier 1,contact906@vendor906.com,2020
VND00505,Vendor_0505,Logistics,South Korea,77.9,Valid,4,Tier 2,contact504@vendor504.com,2006
VND00699,Vendor_0699,IT Services,Thailand,40.8,Valid,31,Tier 3,contact698@vendor698.com,2013
VND00636,Vendor_0636,Raw Material,Japan,61.3,Valid,13,Tier 2,contact635@vendor635.com,2017
VND00908,Vendor_0908,Textiles,South Korea,53.9,Valid,8,Tier 3,contact907@vendor907.com,2007
VND00869,Vendor_0869,Raw Material,Japan,90.3,Valid,35,Tier 1,Not Provided,2019
VND00690,Vendor_0690,Raw Material,South Korea,43.1,Valid,6,Tier 3,contact689@vendor689.com,2012
VND00693,Vendor_0693,IT Services,Japan,,Out of Range (0-100),24,Unclassified,contact692@vendor692.com,2021
VND00973,Vendor_0973,Logistics,USA,81.3,Valid,33,Tier 1,contact972@vendor972.com,2021
VND00686,Vendor_0686,Unknown,USA,69.0,Valid,27,Tier 2,contact685@vendor685.com,2012
VND00291,Vendor_0291,Packaging,South Korea,32.1,Valid,34,Tier 3,contact290@vendor290.com,2008
VND00080,Vendor_0080,Logistics,Thailand,38.1,Valid,41,Tier 3,contact79@vendor79.com,2018
VND00799,Vendor_0799,Electronics,USA,78.8,Valid,42,Tier 2,contact798@vendor798.com,2014
VND00684,Vendor_0684,Machinery,Japan,76.8,Valid,18,Tier 2,contact683@vendor683.com,2013
VND00287,Vendor_0287,Chemicals,Malaysia,62.6,Valid,17,Tier 2,contact286@vendor286.com,2005
VND00376,Vendor_0376,Electronics,Germany,52.3,Valid,30,Tier 3,contact375@vendor375.com,2016
VND00782,Vendor_0782,Chemicals,South Korea,68.0,Valid,22,Tier 2,contact781@vendor781.com,2012
VND00722,Vendor_0722,Raw Material,India,42.7,Valid,44,Tier 3,contact721@vendor721.com,2005
VND00702,Vendor_0702,Chemicals,South Korea,33.6,Valid,10,Tier 3,contact701@vendor701.com,2012
VND00121,Vendor_0121,Raw Material,South Korea,86.5,Valid,36,Tier 1,contact120@vendor120.com,2008
VND00622,Vendor_0622,Unknown,Germany,44.7,Valid,13,Tier 3,contact621@vendor621.com,2013
VND00723,Vendor_0723,Logistics,Malaysia,34.7,Valid,44,Tier 3,contact722@vendor722.com,
VND00598,Vendor_0598,Packaging,China,42.1,Valid,10,Tier 3,contact597@vendor597.com,2011
VND00308,Vendor_0308,Electronics,India,52.6,Valid,7,Tier 3,contact307@vendor307.com,2012
VND00592,Vendor_0592,Machinery,Thailand,74.9,Valid,19,Tier 2,contact591@vendor591.com,
VND00816,Vendor_0816,Electronics,Malaysia,66.3,Valid,23,Tier 2,contact815@vendor815.com,2022
VND00448,Vendor_0448,Raw Material,Bangladesh,82.7,Valid,43,Tier 1,contact447@vendor447.com,2014
VND00468,Vendor_0468,IT Services,USA,90.8,Valid,34,Tier 1,contact467@vendor467.com,2021
VND00876,Vendor_0876,Logistics,Germany,40.9,Valid,35,Tier 3,contact875@vendor875.com,2010
VND00769,Vendor_0769,IT Services,Thailand,53.9,Valid,37,Tier 3,contact768@vendor768.com,2021
VND00924,Vendor_0924,IT Services,Japan,86.0,Valid,20,Tier 1,contact923@vendor923.com,2010
VND00936,Vendor_0936,Packaging,China,49.1,Valid,37,Tier 3,contact935@vendor935.com,2013
VND00078,Vendor_0078,Electronics,India,35.2,Valid,34,Tier 3,contact77@vendor77.com,2006
VND00232,Vendor_0232,Machinery,USA,65.2,Valid,37,Tier 2,contact231@vendor231.com,2010
VND00995,Vendor_0995,Textiles,Malaysia,55.3,Valid,38,Tier 3,contact994@vendor994.com,2012
VND00351,Vendor_0351,Raw Material,Japan,65.2,Valid,19,Tier 2,contact350@vendor350.com,2015
VND00043,Vendor_0043,IT Services,Germany,32.4,Valid,37,Tier 3,contact42@vendor42.com,2007
VND00990,Vendor_0990,Raw Material,USA,87.3,Valid,42,Tier 1,contact989@vendor989.com,2016
VND00305,Vendor_0305,Textiles,Bangladesh,80.8,Valid,22,Tier 1,contact304@vendor304.com,2007
VND00846,Vendor_0846,IT Services,USA,59.0,Valid,18,Tier 3,contact845@vendor845.com,2006
VND00663,Vendor_0663,Logistics,Bangladesh,72.4,Valid,5,Tier 2,contact662@vendor662.com,2021
VND00192,Vendor_0192,IT Services,Thailand,92.8,Valid,21,Tier 1,contact191@vendor191.com,2011
VND00790,Vendor_0790,Chemicals,Unknown,96.3,Valid,26,Tier 1,contact789@vendor789.com,2022
