Vendor_ID,Return_Lines,Return_Qty,Return_Value,Vendor_Name,Vendor_Category,Vendor_Tier
VND00017,8,1947,6388918.25,Vendor_0017,Packaging,Tier 3
VND00099,7,2250,6374571.76,Vendor_0099,Unknown,Tier 3
VND00420,12,2458,6364244.95,Vendor_0420,Logistics,Tier 1
VND00870,7,2428,6355648.64,Vendor_0870,Raw Material,Tier 1
VND00144,7,1609,6319834.61,Vendor_0144,Raw Material,Tier 3
VND00790,7,1505,6301763.69,Vendor_0790,Chemicals,Tier 1
VND00453,6,1796,6256975.84,Vendor_0453,IT Services,Tier 3
VND00195,7,1742,6249576.78,Vendor_0195,Unknown,Tier 3
VND00744,7,1986,6225213.37,Vendor_0744,IT Services,Tier 2
VND00952,8,2453,6224181.12,Vendor_0952,Logistics,Tier 2
VND00619,12,2705,6218872.98,Vendor_0619,IT Services,Tier 1
VND00419,5,1879,6218860.4,Vendor_0419,Packaging,Tier 2
VND00591,7,2027,6215096.29,Vendor_0591,Logistics,Tier 3
VND00388,9,2778,6212183.33,Vendor_0388,Logistics,Tier 3
VND00766,9,3187,6210544.5,Vendor_0766,Machinery,Tier 2
VND00309,6,1672,6169571.71,Vendor_0309,Machinery,Tier 1
VND00157,12,2458,6166607.84,Vendor_0157,Machinery,Tier 2
VND00257,7,2066,6155658.93,Vendor_0257,Machinery,Tier 1
VND00405,5,1442,6150199.45,Vendor_0405,Logistics,Tier 3
VND00989,9,2351,6127134.31,Vendor_0989,Chemicals,Tier 3
VND00877,7,1567,6112656.83,Vendor_0877,Machinery,Tier 1
VND00225,9,2896,6087707.18,Vendor_0225,Chemicals,Tier 3
VND00831,6,1805,6063186.96,Vendor_0831,Textiles,Tier 3
VND00407,8,2421,6041765.49,Vendor_0407,IT Services,Tier 3
VND00917,6,1847,6037415.73,Vendor_0917,Electronics,Tier 3
VND00634,6,1692,6033387.1,Vendor_0634,Textiles,Tier 2
VND00741,10,2857,6028128.96,Vendor_0741,Unknown,Tier 2
VND00752,6,2025,5985443.28,Vendor_0752,IT Services,Tier 1
VND00108,8,2408,5974696.68,Vendor_0108,Chemicals,Tier 1
VND00679,7,2178,5894233.4,Vendor_0679,IT Services,Tier 1
VND00733,9,3033,5883515.24,Vendor_0733,IT Services,Tier 2
VND00759,9,2757,5882621.9,Vendor_0759,Electronics,Unclassified
VND00696,5,1527,5870291.59,Vendor_0696,Textiles,Tier 2
VND00054,6,1645,5865034.57,Vendor_0054,IT Services,Tier 1
VND00714,8,2384,5859045.82,Vendor_0714,Chemicals,Tier 3
VND00849,5,1701,5854617.69,Vendor_0849,Electronics,Tier 2
VND00422,7,1659,5823417.86,Vendor_0422,Packaging,Tier 1
VND00153,5,2082,5745376.95,Vendor_0153,IT Services,Tier 3
VND00628,6,1876,5714200.4,Vendor_0628,Textiles,Tier 1
VND00279,9,2123,5707681.1,Vendor_0279,Textiles,Tier 2
VND00226,8,2467,5697090.56,Vendor_0226,Electronics,Tier 3
VND00327,9,2019,5689164.23,Vendor_0327,Machinery,Tier 2
VND00025,9,2766,5661399.14,Vendor_0025,Packaging,Tier 2
VND00204,6,1579,5640041.9,Vendor_0204,Electronics,Tier 1
VND00059,6,1713,5614812.19,Vendor_0059,Packaging,Tier 3
VND00077,7,1945,5608718.22,Vendor_0077,Packaging,Tier 1
VND00921,6,2119,5607983.08,Vendor_0921,Chemicals,Tier 1
VND00064,4,1514,5606607.5,Vendor_0064,IT Services,Tier 3
VND00255,8,2865,5588813.48,Vendor_0255,Chemicals,Tier 3
VND00341,7,1985,5575831.59,Vendor_0341,Chemicals,Tier 2
VND00571,5,1563,5573597.95,Vendor_0571,Chemicals,Tier 2
VND00363,6,2118,5570595.07,Vendor_0363,Unknown,Tier 2
VND00471,9,1535,5542519.02,Vendor_0471,Textiles,Tier 3
VND00732,9,2039,5531669.43,Vendor_0732,IT Services,Tier 1
VND00521,7,2145,5531103.03,Vendor_0521,Textiles,Tier 2
VND00209,10,2634,5500444.95,Vendor_0209,Chemicals,Tier 3
VND00406,8,1977,5496510.15,Vendor_0406,Machinery,Tier 1
VND00139,6,1335,5486049.38,Vendor_0139,Textiles,Tier 3
VND00322,5,1737,5473300.38,Vendor_0322,Chemicals,Tier 1
VND00762,6,1695,5467172.7,Vendor_0762,Chemicals,Tier 3
VND00037,8,2221,5458832.86,Vendor_0037,Electronics,Tier 3
VND00543,8,2258,5456338.34,Vendor_0543,Chemicals,Tier 3
VND00832,7,1734,5449943.55,Vendor_0832,Packaging,Tier 2
VND00259,5,1469,5448613.22,Vendor_0259,IT Services,Tier 2
VND00984,6,1744,5443701.16,Vendor_0984,Raw Material,Tier 3
VND00345,6,2392,5441369.68,Vendor_0345,Unknown,Tier 3
VND00890,5,1738,5415282.04,Vendor_0890,Packaging,Tier 3
VND00154,6,1619,5410924.61,Vendor_0154,Packaging,Tier 2
VND00998,6,1648,5403914.13,Vendor_0998,IT Services,Tier 3
VND00545,8,2669,5400277.98,Vendor_0545,IT Services,Tier 2
VND00673,7,1986,5385060.88,Vendor_0673,Electronics,Tier 3
VND00058,7,1734,5381582.8,Vendor_0058,Packaging,Tier 3
VND00735,8,1998,5381043.94,Vendor_0735,Raw Material,Tier 3
VND00181,9,2349,5358090.43,Vendor_0181,Textiles,Tier 3
VND00230,9,2763,5353059.99,Vendor_0230,Packaging,Tier 2
VND00501,11,3273,5351278.56,Vendor_0501,Raw Material,Tier 2
VND00750,7,2035,5312350.42,Vendor_0750,Textiles,Tier 2
VND00518,8,2312,5289305.61,Vendor_0518,Textiles,Tier 1
VND00898,7,1932,5258366.51,Vendor_0898,Machinery,Tier 1
VND00302,7,1996,5256846.8,Vendor_0302,Logistics,Tier 2
VND00177,8,2017,5247398.32,Vendor_0177,Textiles,Tier 2
VND00333,9,1555,5244826.96,Vendor_0333,Textiles,Tier 3
VND00191,8,2202,5240794.4,Vendor_0191,Raw Material,Tier 3
VND00359,7,1368,5239984.82,Vendor_0359,IT Services,Tier 1
VND00665,7,2253,5191895.07,Vendor_0665,Machinery,Tier 3
VND00994,7,2213,5175742.33,Vendor_0994,Packaging,Tier 2
VND00029,5,1470,5147511.81,Vendor_0029,Logistics,Tier 2
VND00109,7,1611,5142514.79,Vendor_0109,IT Services,Tier 3
VND00727,8,2331,5138499.89,Vendor_0727,Raw Material,Tier 3
VND00794,8,1841,5118269.72,Vendor_0794,IT Services,Tier 2
VND00330,5,1798,5115896.29,Vendor_0330,Raw Material,Tier 3
VND00179,7,1845,5105278.87,Vendor_0179,IT Services,Tier 1
VND01000,9,1806,5104640.4,Vendor_1000,Chemicals,Tier 2
VND00871,6,1747,5100316.51,Vendor_0871,IT Services,Tier 3
VND00235,6,1678,5099609.71,Vendor_0235,Electronics,Tier 3
VND00607,6,1897,5095809.68,Vendor_0607,Machinery,Tier 3
VND00340,6,1998,5094664.77,Vendor_0340,Textiles,Tier 3
VND00710,6,1663,5081823.83,Vendor_0710,Textiles,Tier 2
VND00841,8,1924,5068990.61,Vendor_0841,IT Services,Tier 3
VND00649,4,1202,5050263.75,Vendor_0649,IT Services,Tier 1
VND00565,6,1710,5049834.48,Vendor_0565,Logistics,Tier 3
VND00935,6,2005,5046473.62,Vendor_0935,Logistics,Tier 3
VND00346,6,1388,5027428.02,Vendor_0346,Textiles,Tier 2
VND00943,4,1232,5024951.74,Vendor_0943,Electronics,Tier 2
VND00653,6,1434,5020619.32,Vendor_0653,Logistics,Tier 2
VND00736,8,2325,5010383.55,Vendor_0736,Unknown,Tier 1
VND00186,9,1706,4982984.5,Vendor_0186,Logistics,Tier 2
VND00016,4,1535,4966926.28,Vendor_0016,Chemicals,Tier 3
VND00730,7,3004,4959812.87,Vendor_0730,Packaging,Tier 3
VND00763,8,1876,4954357.03,Vendor_0763,Machinery,Tier 3
VND00268,8,1878,4931366.33,Vendor_0268,Textiles,Tier 2
VND00165,7,2061,4911632.97,Vendor_0165,Electronics,Tier 3
VND00470,8,2122,4911510.15,Vendor_0470,Chemicals,Tier 1
VND00493,5,1928,4902332.77,Vendor_0493,IT Services,Tier 3
VND00816,9,2132,4898748.19,Vendor_0816,Electronics,Tier 2
VND00366,9,1859,4894087.64,Vendor_0366,Electronics,Tier 3
VND00044,6,1554,4889209.04,Vendor_0044,Packaging,Tier 1
VND00202,7,1477,4887355.59,Vendor_0202,Logistics,Tier 3
VND00467,7,2048,4886453.85,Vendor_0467,Logistics,Tier 3
VND00265,7,2552,4883135.84,Vendor_0265,Raw Material,Tier 1
VND00189,7,2035,4870578.65,Vendor_0189,Chemicals,Tier 2
VND00817,7,1654,4865238.98,Vendor_0817,Electronics,Tier 2
VND00829,9,2447,4834584.89,Vendor_0829,Packaging,Tier 1
VND00116,8,2278,4816648.52,Vendor_0116,Raw Material,Tier 1
VND00905,5,1669,4805955.02,Vendor_0905,Textiles,Tier 3
VND00387,7,2325,4790309.76,Vendor_0387,Textiles,Tier 3
VND00329,5,1609,4772994.91,Vendor_0329,Unknown,Tier 3
VND00975,5,1467,4767488.46,Vendor_0975,Chemicals,Tier 3
VND00516,5,1746,4765848.1,Vendor_0516,Chemicals,Tier 3
VND00135,8,2295,4753519.11,Vendor_0135,Textiles,Tier 1
VND00884,5,1455,4749774.48,Vendor_0884,Chemicals,Tier 3
VND00645,5,1573,4746831.38,Vendor_0645,Electronics,Tier 3
VND00294,10,2347,4746126.39,Vendor_0294,Raw Material,Tier 3
VND00778,6,1831,4729718.92,Vendor_0778,Textiles,Tier 1
VND00782,4,1566,4723757.95,Vendor_0782,Chemicals,Tier 2
VND00674,4,1134,4720936.83,Vendor_0674,IT Services,Tier 2
VND00851,6,1634,4707745.22,Vendor_0851,Chemicals,Tier 3
VND00904,7,2180,4673699.95,Vendor_0904,Logistics,Tier 2
VND00953,5,1838,4670257.96,Vendor_0953,Chemicals,Tier 3
VND00824,4,1202,4665728.86,Vendor_0824,Raw Material,Tier 3
VND00148,7,1976,4660550.98,Vendor_0148,Chemicals,Tier 2
VND00705,8,2325,4656469.88,Vendor_0705,Packaging,Tier 3
VND00474,9,2338,4611343.78,Vendor_0474,Machinery,Tier 1
VND00510,7,1443,4605361.98,Vendor_0510,Electronics,Tier 1
VND00718,5,1669,4604659.42,Vendor_0718,Textiles,Tier 1
VND00057,8,1806,4603350.83,Vendor_0057,Electronics,Tier 3
VND00115,4,1601,4600507.08,Vendor_0115,Chemicals,Unclassified
VND00686,9,2434,4598815.72,Vendor_0686,Unknown,Tier 2
VND00013,5,1588,4598683.57,Vendor_0013,Textiles,Tier 1
VND00373,7,2109,4596625.67,Vendor_0373,Raw Material,Tier 3
VND00544,7,2170,4593170.84,Vendor_0544,Packaging,Tier 2
VND00855,5,1308,4585709.04,Vendor_0855,IT Services,Tier 3
VND00627,8,1880,4585177.86,Vendor_0627,Electronics,Tier 2
VND00852,6,1835,4581268.43,Vendor_0852,Machinery,Tier 1
VND00828,6,1400,4579460.26,Vendor_0828,Textiles,Tier 3
VND00806,5,1920,4559260.82,Vendor_0806,Textiles,Tier 1
VND00062,6,1956,4532470.61,Vendor_0062,Textiles,Tier 3
VND00031,4,1499,4530442.87,Vendor_0031,Raw Material,Unclassified
VND00639,4,1390,4524757.75,Vendor_0639,Logistics,Tier 3
VND00071,5,1557,4505552.57,Vendor_0071,Machinery,Tier 1
VND00313,8,2128,4493518.67,Vendor_0313,Raw Material,Tier 3
VND00034,7,1639,4489521.96,Vendor_0034,Chemicals,Tier 1
VND00452,5,1407,4488683.75,Vendor_0452,Packaging,Tier 2
VND00483,4,1493,4487704.63,Vendor_0483,Raw Material,Tier 2
VND00651,6,1397,4483229.4,Vendor_0651,Machinery,Tier 3
VND00289,4,1180,4483005.94,Vendor_0289,Logistics,Tier 3
VND00540,5,1413,4476863.13,Vendor_0540,Chemicals,Tier 3
VND00272,6,2019,4473980.69,Vendor_0272,Chemicals,Tier 1
VND00605,3,1051,4467194.67,Vendor_0605,Electronics,Unclassified
VND00249,6,1314,4466927.7,Vendor_0249,Raw Material,Tier 1
VND00908,7,1576,4461436.08,Vendor_0908,Textiles,Tier 3
VND00285,8,1691,4460831.08,Vendor_0285,Raw Material,Tier 2
VND00726,8,1974,4458504.74,Vendor_0726,IT Services,Tier 1
VND00541,5,1384,4429990.71,Vendor_0541,Raw Material,Tier 1
VND00156,8,1524,4424344.16,Vendor_0156,Packaging,Tier 3
VND00250,5,1587,4423800.45,Vendor_0250,Electronics,Tier 1
VND00547,9,2196,4414082.01,Vendor_0547,Chemicals,Tier 3
VND00124,7,1541,4411033.09,Vendor_0124,Raw Material,Tier 3
VND00458,5,1370,4410976.3,Vendor_0458,Electronics,Tier 2
VND00311,5,1320,4408044.39,Vendor_0311,Textiles,Tier 2
VND00683,8,2111,4407567.25,Vendor_0683,Chemicals,Tier 3
VND00879,4,1426,4407562.82,Vendor_0879,Electronics,Tier 3
VND00477,6,1799,4406624.46,Vendor_0477,Raw Material,Tier 3
VND00564,6,1271,4403342.3,Vendor_0564,Machinery,Tier 3
VND00168,5,1194,4384870.21,Vendor_0168,Textiles,Tier 3
VND00444,8,2361,4383241.49,Vendor_0444,Logistics,Tier 3
VND00698,8,1737,4382795.39,Vendor_0698,Electronics,Tier 2
VND00495,7,1999,4382098.48,Vendor_0495,Chemicals,Tier 2
VND00595,6,1558,4381201.79,Vendor_0595,Packaging,Tier 1
VND00562,5,1683,4355328.15,Vendor_0562,Raw Material,Tier 3
VND00162,7,2768,4336223.63,Vendor_0162,Unknown,Tier 2
VND00262,6,1593,4335424.8,Vendor_0262,Electronics,Tier 1
VND00610,6,1400,4334496.81,Vendor_0610,IT Services,Tier 2
VND00188,5,1408,4329065.17,Vendor_0188,Raw Material,Tier 2
VND00395,5,1308,4326739.17,Vendor_0395,Packaging,Tier 3
VND00620,6,1197,4319757.79,Vendor_0620,Electronics,Tier 1
VND00641,6,1331,4318982.22,Vendor_0641,Electronics,Tier 3
VND00845,7,1538,4299740.86,Vendor_0845,Raw Material,Tier 3
VND00798,4,1122,4292872.16,Vendor_0798,Packaging,Tier 2
VND00535,5,1234,4283844.89,Vendor_0535,Unknown,Tier 1
VND00781,8,1815,4283714.67,Vendor_0781,Raw Material,Tier 2
VND00494,6,1812,4270078.02,Vendor_0494,Machinery,Tier 3
VND00504,7,1381,4267699.78,Vendor_0504,Textiles,Tier 1
VND00951,5,1453,4251049.99,Vendor_0951,IT Services,Tier 2
VND00575,4,1426,4245121.54,Vendor_0575,IT Services,Tier 1
VND00007,7,1709,4241910.43,Vendor_0007,Raw Material,Tier 3
VND00711,5,1381,4237158.42,Vendor_0711,Raw Material,Tier 1
VND00043,4,1192,4235908.13,Vendor_0043,IT Services,Tier 3
VND00723,6,1524,4223266.12,Vendor_0723,Logistics,Tier 3
VND00022,3,1078,4223217.19,Vendor_0022,Electronics,Tier 3
VND00429,4,1018,4215076.38,Vendor_0429,Textiles,Tier 3
VND00913,11,2227,4202609.53,Vendor_0913,Chemicals,Tier 2
VND00827,6,1346,4186917.86,Vendor_0827,Chemicals,Tier 3
VND00755,5,1234,4184081.08,Vendor_0755,Packaging,Unclassified
VND00448,5,1345,4173834.79,Vendor_0448,Raw Material,Tier 1
VND00440,5,2007,4170604.91,Vendor_0440,Textiles,Tier 3
VND00104,5,1376,4159699.56,Vendor_0104,Logistics,Tier 2
VND00664,4,1269,4141697.53,Vendor_0664,Packaging,Tier 3
VND00859,5,1399,4140970.21,Vendor_0859,Unknown,Tier 2
VND00911,7,1691,4138485.76,Vendor_0911,Electronics,Tier 2
VND00822,5,1466,4136878.01,Vendor_0822,Raw Material,Tier 3
VND00328,6,1573,4130943.34,Vendor_0328,Raw Material,Tier 2
VND00009,9,1434,4118606.41,Vendor_0009,Machinery,Tier 2
VND00261,6,1658,4114360.61,Vendor_0261,Raw Material,Tier 2
VND00307,9,1402,4104552.09,Vendor_0307,Machinery,Tier 2
VND00018,7,1340,4102953.42,Vendor_0018,Chemicals,Tier 2
VND00997,10,1380,4097655.12,Vendor_0997,Electronics,Tier 1
VND00278,6,1951,4086678.38,Vendor_0278,Chemicals,Tier 2
VND00466,6,1498,4079731.94,Vendor_0466,Chemicals,Tier 3
VND00725,6,1388,4074400.1,Vendor_0725,IT Services,Tier 2
VND00590,7,1795,4047610.88,Vendor_0590,Electronics,Tier 3
VND00597,7,1775,4040053.35,Vendor_0597,Raw Material,Tier 2
VND00155,7,1913,4038937.95,Vendor_0155,Textiles,Tier 1
VND00134,5,1811,4016220.99,Vendor_0134,IT Services,Tier 3
VND00542,7,1391,4014477.64,Vendor_0542,IT Services,Tier 2
VND00506,5,1189,4009133.46,Vendor_0506,Electronics,Tier 3
VND00409,6,1347,4005567.8,Vendor_0409,Machinery,Tier 1
VND00955,6,1621,4004911.32,Vendor_0955,Chemicals,Tier 3
VND00205,6,1533,3997964.08,Vendor_0205,Textiles,Tier 2
VND00656,8,1511,3989567.55,Vendor_0656,IT Services,Tier 3
VND00579,5,1292,3982357.36,Vendor_0579,Logistics,Tier 2
VND00616,4,1270,3976383.72,Vendor_0616,Electronics,Tier 1
VND00047,5,1504,3968816.39,Vendor_0047,Logistics,Tier 3
VND00522,7,1602,3966448.97,Vendor_0522,Chemicals,Tier 3
VND00765,8,1356,3966262.63,Vendor_0765,Machinery,Tier 3
VND00427,8,1504,3957255.59,Vendor_0427,Chemicals,Tier 2
VND00353,7,1557,3949919.69,Vendor_0353,Machinery,Tier 2
VND00399,7,1553,3949493.03,Vendor_0399,Textiles,Tier 1
VND00372,8,1597,3949232.72,Vendor_0372,Raw Material,Tier 3
VND00611,5,1230,3938241.02,Vendor_0611,Chemicals,Tier 3
VND00010,5,1070,3936364.27,Vendor_0010,Electronics,Tier 2
VND00754,6,1073,3935995.98,Vendor_0754,IT Services,Tier 3
VND00574,5,1102,3931572.98,Vendor_0574,Chemicals,Tier 2
VND00799,7,1903,3929100.99,Vendor_0799,Electronics,Tier 2
VND00160,4,1255,3925836.21,Vendor_0160,Electronics,Tier 1
VND00838,4,1579,3922806.58,Vendor_0838,IT Services,Tier 3
VND00865,6,1699,3918512.41,Vendor_0865,Machinery,Tier 3
VND00515,5,1239,3918499.23,Vendor_0515,Electronics,Tier 3
VND00326,7,1410,3914740.0,Vendor_0326,Logistics,Tier 1
VND00557,5,1372,3903358.56,Vendor_0557,IT Services,Tier 3
VND00996,6,1117,3890094.47,Vendor_0996,Electronics,Tier 3
VND00400,5,2205,3886075.84,Vendor_0400,IT Services,Tier 1
VND00200,3,1066,3883086.02,Vendor_0200,Textiles,Tier 1
VND00533,5,1193,3882470.97,Vendor_0533,Logistics,Tier 1
VND00461,5,1179,3864548.86,Vendor_0461,IT Services,Tier 3
VND00701,4,1440,3856894.26,Vendor_0701,Textiles,Tier 2
VND00505,4,1036,3851670.89,Vendor_0505,Logistics,Tier 2
VND00712,4,1185,3841133.19,Vendor_0712,IT Services,Tier 2
VND00655,5,1491,3838405.13,Vendor_0655,Machinery,Unclassified
VND00742,6,1549,3837297.3,Vendor_0742,Logistics,Tier 3
VND00703,6,1359,3834703.04,Vendor_0703,Chemicals,Tier 3
VND00264,8,1561,3826581.02,Vendor_0264,Packaging,Tier 2
VND00284,5,1160,3821430.87,Vendor_0284,Textiles,Tier 3
VND00999,6,1162,3813014.05,Vendor_0999,IT Services,Tier 1
VND00985,5,1845,3812545.31,Vendor_0985,Packaging,Tier 1
VND00275,8,1933,3812417.09,Vendor_0275,Logistics,Tier 2
VND00147,5,1140,3811274.62,Vendor_0147,Textiles,Tier 2
VND00222,5,1669,3808994.94,Vendor_0222,Logistics,Tier 2
VND00830,5,1333,3807308.12,Vendor_0830,Logistics,Tier 2
VND00068,5,1137,3800287.16,Vendor_0068,Machinery,Tier 1
VND00602,5,1445,3799688.37,Vendor_0602,Machinery,Tier 3
VND00858,5,1348,3794466.57,Vendor_0858,Textiles,Tier 2
VND00769,5,1430,3793105.18,Vendor_0769,IT Services,Tier 3
VND00004,4,1015,3789354.45,Vendor_0004,Chemicals,Tier 2
VND00694,6,1397,3786116.49,Vendor_0694,Machinery,Tier 3
VND00642,5,1281,3775884.39,Vendor_0642,Packaging,Tier 3
VND00944,5,1290,3758689.98,Vendor_0944,IT Services,Tier 1
VND00379,6,1308,3749133.63,Vendor_0379,Logistics,Tier 1
VND00374,5,1269,3745602.76,Vendor_0374,Logistics,Tier 2
VND00706,4,1429,3739287.28,Vendor_0706,Chemicals,Tier 1
VND00224,5,1022,3732704.97,Vendor_0224,Packaging,Tier 3
VND00937,4,1599,3726117.56,Vendor_0937,Textiles,Tier 3
VND00788,6,1560,3719125.59,Vendor_0788,Raw Material,Tier 3
VND00252,4,1447,3713356.17,Vendor_0252,Machinery,Tier 3
VND00354,5,998,3706400.6,Vendor_0354,Logistics,Tier 3
VND00638,7,1945,3699670.04,Vendor_0638,Logistics,Tier 3
VND00886,5,1158,3698870.27,Vendor_0886,Unknown,Tier 3
VND00681,6,1358,3694819.15,Vendor_0681,Raw Material,Tier 1
VND00437,6,1382,3687615.44,Vendor_0437,Raw Material,Tier 3
VND00376,5,1643,3681625.43,Vendor_0376,Electronics,Tier 3
VND00738,6,1100,3680487.89,Vendor_0738,Machinery,Tier 1
VND00950,5,1522,3635422.28,Vendor_0950,IT Services,Tier 2
VND00375,5,1297,3630489.91,Vendor_0375,IT Services,Tier 3
VND00843,7,1162,3629593.46,Vendor_0843,IT Services,Tier 3
VND00026,6,1440,3625074.08,Vendor_0026,IT Services,Unclassified
VND00889,6,1323,3618912.66,Vendor_0889,Textiles,Tier 3
VND00132,8,1556,3603774.52,Vendor_0132,IT Services,Tier 3
VND00983,7,1126,3601425.12,Vendor_0983,Electronics,Tier 3
VND00368,5,1512,3595866.49,Vendor_0368,Machinery,Tier 1
VND00082,4,1272,3592517.65,Vendor_0082,Chemicals,Tier 2
VND00166,5,1033,3587926.41,Vendor_0166,Logistics,Tier 1
VND00385,5,1453,3586711.17,Vendor_0385,Raw Material,Tier 1
VND00101,9,1873,3586079.09,Vendor_0101,Packaging,Tier 3
VND00459,8,2002,3578672.39,Vendor_0459,Textiles,Tier 3
VND00102,7,1411,3573958.49,Vendor_0102,Machinery,Tier 2
VND00315,4,1055,3569878.93,Vendor_0315,Machinery,Tier 1
VND00355,7,1434,3564114.82,Vendor_0355,Textiles,Tier 3
VND00019,5,1357,3563893.21,Vendor_0019,Chemicals,Tier 2
VND00416,6,1574,3543094.8,Vendor_0416,Chemicals,Tier 2
VND00722,8,1706,3540612.53,Vendor_0722,Raw Material,Tier 3
VND00360,5,1567,3530438.88,Vendor_0360,Logistics,Tier 2
VND00869,4,1345,3504999.81,Vendor_0869,Raw Material,Tier 1
VND00382,3,908,3493234.32,Vendor_0382,Textiles,Tier 2
VND00251,6,1367,3490875.25,Vendor_0251,Textiles,Unclassified
VND00122,5,1421,3490770.12,Vendor_0122,Logistics,Tier 1
VND00463,3,945,3478035.42,Vendor_0463,Raw Material,Tier 1
VND00492,4,1196,3476443.13,Vendor_0492,Logistics,Tier 2
VND00652,5,1556,3476377.28,Vendor_0652,Raw Material,Tier 2
VND00931,5,911,3469664.29,Vendor_0931,Machinery,Tier 3
VND00697,5,1196,3466630.91,Vendor_0697,IT Services,Tier 3
VND00820,5,1541,3465601.41,Vendor_0820,Machinery,Tier 3
VND00418,6,1568,3457163.96,Vendor_0418,Packaging,Tier 3
VND00100,5,992,3431576.13,Vendor_0100,IT Services,Tier 3
VND00644,3,843,3427610.28,Vendor_0644,Packaging,Tier 3
VND00648,6,1477,3373243.96,Vendor_0648,Textiles,Tier 2
VND00193,6,1246,3371287.29,Vendor_0193,Unknown,Tier 1
VND00159,5,1019,3364551.13,Vendor_0159,Logistics,Tier 3
VND00954,5,1157,3353807.55,Vendor_0954,Electronics,Tier 1
