Vendor_ID,Vendor_Name,Vendor_Category,Country,Vendor_Tier,Reliability_Score,Recency_Months,Frequency,Monetary,R,F,M,RFM_Score,RFM_Segment
VND00144,Vendor_0144,Raw Material,Thailand,Tier 3,51.1,0.2,60,370920207.34,5,5,5,15,Strategic Partner
VND00303,Vendor_0303,Raw Material,Japan,Tier 2,67.8,0.1,60,387304893.98,5,5,5,15,Strategic Partner
VND00005,Vendor_0005,Logistics,South Korea,Tier 3,40.9,0.1,61,374425191.36,5,5,5,15,Strategic Partner
VND00502,Vendor_0502,Machinery,USA,Tier 2,67.5,0.1,58,396044372.21,5,5,5,15,Strategic Partner
VND00625,Vendor_0625,Electronics,China,Tier 2,73.3,0.0,61,393201223.36,5,5,5,15,Strategic Partner
VND00127,Vendor_0127,Logistics,USA,Tier 1,87.3,0.2,62,449922523.72,5,5,5,15,Strategic Partner
VND00123,Vendor_0123,Electronics,Bangladesh,Tier 3,52.3,0.0,60,448783507.07,5,5,5,15,Strategic Partner
VND00470,Vendor_0470,Chemicals,Bangladesh,Tier 1,97.4,0.3,56,379622805.01,4,5,5,14,Strategic Partner
VND00863,Vendor_0863,Chemicals,India,Tier 2,66.7,0.0,62,363546245.89,5,5,4,14,Strategic Partner
VND00186,Vendor_0186,Logistics,India,Tier 2,76.2,0.5,58,375017337.55,4,5,5,14,Strategic Partner
VND00187,Vendor_0187,Raw Material,Bangladesh,Tier 1,87.2,0.1,55,498548300.41,5,4,5,14,Strategic Partner
VND00879,Vendor_0879,Electronics,Malaysia,Tier 3,31.9,0.0,57,346840800.91,5,5,4,14,Strategic Partner
VND00068,Vendor_0068,Machinery,South Korea,Tier 1,86.2,0.4,61,393044607.06,4,5,5,14,Strategic Partner
VND00555,Vendor_0555,Logistics,Vietnam,Tier 1,91.4,0.1,60,357137624.69,5,5,4,14,Strategic Partner
VND00181,Vendor_0181,Textiles,South Korea,Tier 3,53.9,0.0,55,391680770.46,5,4,5,14,Strategic Partner
VND00464,Vendor_0464,Machinery,India,Tier 2,70.8,0.0,65,338800917.33,5,5,4,14,Strategic Partner
VND00094,Vendor_0094,Electronics,China,Tier 2,69.3,0.4,60,395425230.2,4,5,5,14,Strategic Partner
VND00817,Vendor_0817,Electronics,South Korea,Tier 2,71.4,0.1,57,339465537.58,5,5,4,14,Strategic Partner
VND00176,Vendor_0176,Raw Material,Unknown,Tier 3,42.2,0.2,54,371426145.53,5,4,5,14,Strategic Partner
VND00626,Vendor_0626,Logistics,Malaysia,Tier 3,55.8,0.3,66,437441885.42,4,5,5,14,Strategic Partner
VND00855,Vendor_0855,IT Services,Unknown,Tier 3,44.4,0.3,57,390960678.95,4,5,5,14,Strategic Partner
VND00171,Vendor_0171,Logistics,Vietnam,Tier 2,77.4,0.4,56,374417805.73,4,5,5,14,Strategic Partner
VND00854,Vendor_0854,Machinery,Thailand,Tier 1,92.9,0.4,67,476814606.33,4,5,5,14,Strategic Partner
VND00573,Vendor_0573,Chemicals,India,Tier 3,57.8,0.4,57,436656818.91,4,5,5,14,Strategic Partner
VND00624,Vendor_0624,Machinery,USA,Tier 2,63.9,0.1,55,379453420.36,5,4,5,14,Strategic Partner
VND00635,Vendor_0635,Machinery,Japan,Tier 3,37.5,0.2,60,456248859.95,4,5,5,14,Strategic Partner
VND00587,Vendor_0587,IT Services,Vietnam,Tier 3,35.3,0.3,61,412047956.11,4,5,5,14,Strategic Partner
VND00442,Vendor_0442,Logistics,Japan,Tier 1,99.1,0.4,58,390126967.7,4,5,5,14,Strategic Partner
VND00848,Vendor_0848,Packaging,Thailand,Tier 1,99.8,0.4,64,390719567.03,4,5,5,14,Strategic Partner
VND00409,Vendor_0409,Machinery,USA,Tier 1,93.4,0.2,60,332047979.66,5,5,4,14,Strategic Partner
VND00282,Vendor_0282,Packaging,Thailand,Unclassified,,0.5,57,401571405.71,4,5,5,14,Strategic Partner
VND00540,Vendor_0540,Chemicals,Vietnam,Tier 3,39.0,0.1,55,467093347.33,5,4,5,14,Strategic Partner
VND00341,Vendor_0341,Chemicals,Japan,Tier 2,64.4,0.5,60,425280114.92,4,5,5,14,Strategic Partner
VND00309,Vendor_0309,Machinery,Vietnam,Tier 1,85.7,0.4,57,383668764.99,4,5,5,14,Strategic Partner
VND00928,Vendor_0928,Packaging,Germany,Tier 2,67.9,0.3,60,376794349.43,4,5,5,14,Strategic Partner
VND00494,Vendor_0494,Machinery,India,Tier 3,43.2,0.1,54,400432297.26,5,4,5,14,Strategic Partner
VND00299,Vendor_0299,Chemicals,Thailand,Tier 2,73.6,0.1,54,399192754.15,5,4,5,14,Strategic Partner
VND00677,Vendor_0677,Machinery,USA,Tier 3,37.8,0.5,56,379932784.2,4,5,5,14,Strategic Partner
VND00775,Vendor_0775,Chemicals,Malaysia,Tier 1,85.8,0.4,59,397680972.42,4,5,5,14,Strategic Partner
VND00339,Vendor_0339,Machinery,India,Tier 2,63.2,0.5,57,401633583.31,4,5,5,14,Strategic Partner
VND00719,Vendor_0719,Raw Material,Thailand,Tier 3,38.7,0.1,54,370992362.18,5,4,5,14,Strategic Partner
VND00048,Vendor_0048,Machinery,Vietnam,Tier 2,66.4,0.4,60,407909987.55,4,5,5,14,Strategic Partner
VND00348,Vendor_0348,Packaging,USA,Tier 3,33.2,0.5,57,398177795.23,4,5,5,14,Strategic Partner
VND00193,Vendor_0193,Unknown,Bangladesh,Tier 1,93.0,0.5,58,382239536.31,4,5,5,14,Strategic Partner
VND00199,Vendor_0199,Logistics,Bangladesh,Tier 1,92.1,0.1,59,361365628.91,5,5,4,14,Strategic Partner
VND00975,Vendor_0975,Chemicals,South Korea,Tier 3,32.2,0.1,52,384939870.92,5,4,5,14,Strategic Partner
VND00723,Vendor_0723,Logistics,Malaysia,Tier 3,34.7,0.2,61,438617704.96,4,5,5,14,Strategic Partner
VND00720,Vendor_0720,IT Services,Bangladesh,Tier 1,81.2,0.2,54,388928961.97,4,4,5,13,Strategic Partner
VND00756,Vendor_0756,Textiles,Japan,Tier 1,85.6,0.2,52,380795795.02,4,4,5,13,Strategic Partner
VND00694,Vendor_0694,Machinery,Germany,Tier 3,47.0,0.7,59,391600077.39,3,5,5,13,Strategic Partner
VND00248,Vendor_0248,Machinery,Vietnam,Tier 1,97.7,0.7,59,391900432.27,3,5,5,13,Strategic Partner
VND00150,Vendor_0150,Logistics,China,Tier 3,49.5,0.4,54,379364170.62,4,4,5,13,Strategic Partner
VND00742,Vendor_0742,Logistics,USA,Tier 3,51.1,0.6,67,377581394.39,3,5,5,13,Strategic Partner
VND00853,Vendor_0853,Textiles,Japan,Tier 3,44.7,0.5,59,410061219.82,3,5,5,13,Strategic Partner
VND00130,Vendor_0130,Logistics,Vietnam,Tier 2,65.8,0.7,57,402286897.67,3,5,5,13,Strategic Partner
VND00872,Vendor_0872,Machinery,Malaysia,Tier 3,49.0,0.5,60,396149890.52,3,5,5,13,Strategic Partner
VND00862,Vendor_0862,Textiles,Malaysia,Tier 2,61.7,0.2,53,386916131.09,4,4,5,13,Strategic Partner
VND00609,Vendor_0609,IT Services,USA,Tier 2,65.2,0.9,61,368783917.25,3,5,5,13,Strategic Partner
VND00735,Vendor_0735,Raw Material,Malaysia,Tier 3,55.1,0.2,57,348740872.67,4,5,4,13,Strategic Partner
VND00274,Vendor_0274,Chemicals,Malaysia,Tier 1,93.9,0.7,62,432720212.85,3,5,5,13,Strategic Partner
VND00712,Vendor_0712,IT Services,India,Tier 2,71.7,0.6,62,369116024.06,3,5,5,13,Strategic Partner
VND00292,Vendor_0292,Electronics,USA,Tier 3,32.6,0.1,63,327166198.94,5,5,3,13,Strategic Partner
VND00137,Vendor_0137,Electronics,Thailand,Tier 2,66.3,0.7,57,432118832.3,3,5,5,13,Strategic Partner
VND00244,Vendor_0244,Chemicals,Malaysia,Tier 3,55.9,0.6,58,409328834.17,3,5,5,13,Strategic Partner
VND00142,Vendor_0142,Textiles,Bangladesh,Tier 3,47.6,0.3,52,380408222.28,4,4,5,13,Strategic Partner
VND00117,Vendor_0117,Logistics,China,Tier 1,86.3,0.3,56,351733302.32,4,5,4,13,Strategic Partner
VND00242,Vendor_0242,Machinery,Thailand,Tier 1,96.8,0.4,56,331514048.46,4,5,4,13,Strategic Partner
VND00632,Vendor_0632,IT Services,China,Tier 1,92.7,0.1,57,308160998.47,5,5,3,13,Strategic Partner
VND00364,Vendor_0364,Machinery,USA,Tier 2,68.2,0.0,53,360599418.19,5,4,4,13,Strategic Partner
VND00342,Vendor_0342,Textiles,USA,Tier 2,63.1,0.6,58,440080225.76,3,5,5,13,Strategic Partner
VND00370,Vendor_0370,Logistics,Vietnam,Tier 3,34.9,0.0,52,333956393.81,5,4,4,13,Strategic Partner
VND00796,Vendor_0796,Packaging,India,Tier 1,91.0,0.3,62,344242725.7,4,5,4,13,Strategic Partner
VND00794,Vendor_0794,IT Services,Japan,Tier 2,72.8,0.2,58,335166838.79,4,5,4,13,Strategic Partner
VND00791,Vendor_0791,Unknown,Malaysia,Tier 3,40.7,0.1,54,361919698.41,5,4,4,13,Strategic Partner
VND00671,Vendor_0671,Machinery,South Korea,Tier 3,42.1,0.2,53,370723681.88,4,4,5,13,Strategic Partner
VND00175,Vendor_0175,Textiles,Bangladesh,Tier 2,75.2,0.1,55,347733901.0,5,4,4,13,Strategic Partner
VND00374,Vendor_0374,Logistics,Unknown,Tier 2,77.8,0.6,63,402466597.17,3,5,5,13,Strategic Partner
VND00783,Vendor_0783,IT Services,Malaysia,Tier 3,47.6,0.0,52,342384742.83,5,4,4,13,Strategic Partner
VND00329,Vendor_0329,Unknown,Japan,Tier 3,59.4,0.2,55,330584020.95,5,4,4,13,Strategic Partner
VND00225,Vendor_0225,Chemicals,South Korea,Tier 3,48.6,0.2,59,300180133.32,5,5,3,13,Strategic Partner
VND00326,Vendor_0326,Logistics,USA,Tier 1,81.7,0.3,54,373674457.15,4,4,5,13,Strategic Partner
VND00636,Vendor_0636,Raw Material,Japan,Tier 2,61.3,0.0,52,356635177.01,5,4,4,13,Strategic Partner
VND00769,Vendor_0769,IT Services,Thailand,Tier 3,53.9,0.3,59,352412934.77,4,5,4,13,Strategic Partner
VND00233,Vendor_0233,Raw Material,Japan,Tier 2,70.4,0.2,54,344931682.14,5,4,4,13,Strategic Partner
VND00239,Vendor_0239,Electronics,USA,Tier 2,75.2,0.1,55,340052516.25,5,4,4,13,Strategic Partner
VND00157,Vendor_0157,Machinery,South Korea,Tier 2,77.0,0.1,53,363685669.18,5,4,4,13,Strategic Partner
VND00692,Vendor_0692,IT Services,China,Tier 3,59.8,0.2,53,386100427.93,4,4,5,13,Strategic Partner
VND00314,Vendor_0314,Electronics,Bangladesh,Tier 1,97.4,0.1,60,310515096.35,5,5,3,13,Strategic Partner
VND00618,Vendor_0618,Textiles,Germany,Tier 3,49.4,0.3,55,400675706.17,4,4,5,13,Strategic Partner
VND00931,Vendor_0931,Machinery,Malaysia,Tier 3,39.8,0.6,56,375355195.35,3,5,5,13,Strategic Partner
VND00007,Vendor_0007,Raw Material,Thailand,Tier 3,34.1,0.2,53,357885564.64,5,4,4,13,Strategic Partner
VND00939,Vendor_0939,Chemicals,Bangladesh,Tier 3,38.2,0.8,61,395432319.26,3,5,5,13,Strategic Partner
VND00480,Vendor_0480,Logistics,Vietnam,Tier 2,66.6,0.1,56,329180180.58,5,5,3,13,Strategic Partner
VND00008,Vendor_0008,Logistics,India,Tier 1,90.6,0.4,55,378363779.48,4,4,5,13,Strategic Partner
VND00432,Vendor_0432,Textiles,India,Tier 1,83.3,0.5,54,380320996.86,4,4,5,13,Strategic Partner
VND00067,Vendor_0067,Electronics,USA,Tier 3,39.9,0.3,56,339894137.1,4,5,4,13,Strategic Partner
VND00435,Vendor_0435,Textiles,USA,Tier 3,35.9,0.9,60,404283358.11,3,5,5,13,Strategic Partner
VND00585,Vendor_0585,Logistics,China,Tier 2,74.3,0.2,62,326202339.56,5,5,3,13,Strategic Partner
VND00933,Vendor_0933,Electronics,South Korea,Tier 1,98.9,0.1,55,347888653.77,5,4,4,13,Strategic Partner
VND00443,Vendor_0443,IT Services,Germany,Tier 3,56.2,0.5,57,337516565.31,4,5,4,13,Strategic Partner
VND00474,Vendor_0474,Machinery,Germany,Tier 1,92.4,0.6,57,378765203.11,3,5,5,13,Strategic Partner
VND00929,Vendor_0929,Raw Material,Malaysia,Tier 2,74.3,0.4,68,353613015.41,4,5,4,13,Strategic Partner
VND00056,Vendor_0056,Unknown,Japan,Tier 1,94.5,0.7,58,432430561.09,3,5,5,13,Strategic Partner
VND00986,Vendor_0986,Raw Material,Thailand,Tier 2,64.7,0.2,52,393605456.63,4,4,5,13,Strategic Partner
VND00058,Vendor_0058,Packaging,USA,Tier 3,43.7,0.0,63,308753598.39,5,5,3,13,Strategic Partner
VND00060,Vendor_0060,Textiles,Unknown,Tier 3,52.8,0.4,59,348745286.77,4,5,4,13,Strategic Partner
VND00542,Vendor_0542,IT Services,Malaysia,Tier 2,72.4,0.1,55,350406084.27,5,4,4,13,Strategic Partner
VND00014,Vendor_0014,Machinery,Malaysia,Tier 3,44.9,0.2,58,316280369.19,5,5,3,13,Strategic Partner
VND00458,Vendor_0458,Electronics,Malaysia,Tier 2,62.8,0.3,55,416071622.32,4,4,5,13,Strategic Partner
VND00553,Vendor_0553,Logistics,South Korea,Tier 2,68.6,0.6,59,434566138.39,3,5,5,13,Strategic Partner
VND00102,Vendor_0102,Machinery,South Korea,Tier 2,74.5,0.9,59,447350693.88,3,5,5,13,Strategic Partner
VND00991,Vendor_0991,Packaging,Bangladesh,Tier 1,86.0,0.5,66,447988760.13,3,5,5,13,Strategic Partner
VND00982,Vendor_0982,Packaging,Vietnam,Tier 1,84.0,0.4,61,331169518.37,4,5,4,13,Strategic Partner
VND00596,Vendor_0596,Machinery,Vietnam,Tier 2,63.2,0.7,58,415580060.02,3,5,5,13,Strategic Partner
VND00103,Vendor_0103,Textiles,India,Tier 3,52.0,0.7,57,398412042.41,3,5,5,13,Strategic Partner
VND00950,Vendor_0950,IT Services,Malaysia,Tier 2,71.8,0.0,54,336099543.5,5,4,4,13,Strategic Partner
VND00508,Vendor_0508,Electronics,Malaysia,Tier 1,87.6,0.8,56,434069985.65,3,5,5,13,Strategic Partner
VND00108,Vendor_0108,Chemicals,Japan,Tier 1,82.9,0.7,56,409806607.82,3,5,5,13,Strategic Partner
VND00944,Vendor_0944,IT Services,India,Tier 1,88.1,0.5,65,378998000.07,3,5,5,13,Strategic Partner
VND00490,Vendor_0490,IT Services,India,Tier 1,92.3,0.6,71,398663973.86,3,5,5,13,Strategic Partner
VND00526,Vendor_0526,Packaging,Japan,Tier 2,62.8,0.3,55,383240195.34,4,4,5,13,Strategic Partner
VND00534,Vendor_0534,Electronics,China,Tier 2,68.9,0.0,55,354280857.89,5,4,4,13,Strategic Partner
VND00967,Vendor_0967,Unknown,India,Tier 1,80.3,0.7,75,480756595.92,3,5,5,13,Strategic Partner
VND00945,Vendor_0945,Textiles,Japan,Tier 3,44.4,0.5,57,373739066.48,3,5,5,13,Strategic Partner
VND00958,Vendor_0958,Textiles,China,Tier 3,33.3,0.3,58,313670511.87,4,5,3,12,Key Vendor
VND00805,Vendor_0805,Chemicals,Bangladesh,Tier 3,59.7,0.1,52,315550267.68,5,4,3,12,Key Vendor
VND00191,Vendor_0191,Raw Material,Vietnam,Tier 3,36.5,1.5,65,392031885.36,2,5,5,12,Key Vendor
VND00319,Vendor_0319,Electronics,Vietnam,Tier 3,41.0,0.6,58,362984046.1,3,5,4,12,Key Vendor
VND00653,Vendor_0653,Logistics,South Korea,Tier 2,71.1,1.4,67,403330211.75,2,5,5,12,Key Vendor
VND00016,Vendor_0016,Chemicals,Bangladesh,Tier 3,42.8,0.1,50,350464395.56,5,3,4,12,Key Vendor
VND00522,Vendor_0522,Chemicals,South Korea,Tier 3,56.7,1.4,62,392916420.36,2,5,5,12,Key Vendor
VND00530,Vendor_0530,Textiles,Vietnam,Tier 1,90.5,0.3,55,346825712.58,4,4,4,12,Key Vendor
VND00655,Vendor_0655,Machinery,Thailand,Unclassified,,0.6,64,331053019.58,3,5,4,12,Key Vendor
VND00253,Vendor_0253,Raw Material,Malaysia,Tier 1,89.6,0.7,52,411441344.58,3,4,5,12,Key Vendor
VND00806,Vendor_0806,Textiles,India,Tier 1,81.6,0.0,50,347153111.41,5,3,4,12,Key Vendor
VND00044,Vendor_0044,Packaging,Bangladesh,Tier 1,93.7,0.1,50,341639440.72,5,3,4,12,Key Vendor
VND00804,Vendor_0804,Electronics,India,Tier 2,72.5,0.3,50,424015893.32,4,3,5,12,Key Vendor
VND00699,Vendor_0699,IT Services,Thailand,Tier 3,40.8,0.4,60,328067625.77,4,5,3,12,Key Vendor
VND00201,Vendor_0201,Electronics,Vietnam,Tier 2,74.9,1.0,61,407925861.38,2,5,5,12,Key Vendor
VND00352,Vendor_0352,Unknown,China,Tier 1,90.0,0.1,52,326446371.84,5,4,3,12,Key Vendor
VND00800,Vendor_0800,IT Services,Japan,Tier 1,94.6,0.2,54,346287979.9,4,4,4,12,Key Vendor
VND00346,Vendor_0346,Textiles,Germany,Tier 2,73.1,1.5,61,410611491.06,2,5,5,12,Key Vendor
VND00344,Vendor_0344,Packaging,Vietnam,Tier 2,60.4,0.0,48,363369788.38,5,3,4,12,Key Vendor
VND00050,Vendor_0050,Textiles,Bangladesh,Tier 3,42.9,0.8,57,337760752.23,3,5,4,12,Key Vendor
VND00531,Vendor_0531,Machinery,India,Tier 1,86.9,0.8,59,351044508.6,3,5,4,12,Key Vendor
VND00049,Vendor_0049,Textiles,Malaysia,Tier 2,68.3,0.6,56,358740839.26,3,5,4,12,Key Vendor
VND00210,Vendor_0210,Logistics,Bangladesh,Tier 3,41.3,0.2,52,313568609.85,5,4,3,12,Key Vendor
VND00019,Vendor_0019,Chemicals,Malaysia,Tier 2,60.2,1.1,65,448967866.56,2,5,5,12,Key Vendor
VND00021,Vendor_0021,Machinery,China,Tier 2,72.8,0.7,53,370256236.35,3,4,5,12,Key Vendor
VND00020,Vendor_0020,Logistics,China,Tier 3,50.4,0.3,53,361325775.81,4,4,4,12,Key Vendor
VND00789,Vendor_0789,Packaging,India,Tier 2,62.3,1.0,61,423967143.51,2,5,5,12,Key Vendor
VND00674,Vendor_0674,IT Services,South Korea,Tier 2,66.7,0.3,55,342914417.57,4,4,4,12,Key Vendor
VND00915,Vendor_0915,Textiles,South Korea,Tier 2,68.6,0.0,49,348232155.85,5,3,4,12,Key Vendor
VND00921,Vendor_0921,Chemicals,Germany,Tier 1,90.8,0.9,56,424536378.2,2,5,5,12,Key Vendor
VND00270,Vendor_0270,Raw Material,Thailand,Tier 3,50.6,1.1,56,389090205.07,2,5,5,12,Key Vendor
VND00439,Vendor_0439,Machinery,India,Tier 2,79.4,0.3,55,331172843.39,4,4,4,12,Key Vendor
VND00892,Vendor_0892,Packaging,Vietnam,Tier 1,89.9,1.0,58,368211280.83,2,5,5,12,Key Vendor
VND00504,Vendor_0504,Textiles,Vietnam,Tier 1,87.0,0.3,52,345597453.27,4,4,4,12,Key Vendor
VND00743,Vendor_0743,Electronics,Vietnam,Tier 1,82.3,1.2,62,417901489.39,2,5,5,12,Key Vendor
VND00143,Vendor_0143,IT Services,Malaysia,Unclassified,,0.0,54,322662878.65,5,4,3,12,Key Vendor
VND00739,Vendor_0739,Raw Material,Germany,Tier 2,60.7,0.4,51,382871722.44,4,3,5,12,Key Vendor
VND00593,Vendor_0593,Logistics,USA,Tier 3,42.7,0.3,48,383916711.81,4,3,5,12,Key Vendor
VND00136,Vendor_0136,Logistics,USA,Tier 3,52.6,0.0,53,311771362.48,5,4,3,12,Key Vendor
VND00410,Vendor_0410,IT Services,Bangladesh,Tier 3,36.4,1.1,58,413148245.33,2,5,5,12,Key Vendor
VND00709,Vendor_0709,Machinery,Thailand,Tier 3,47.8,1.4,65,387548378.1,2,5,5,12,Key Vendor
VND00725,Vendor_0725,IT Services,Japan,Tier 2,70.2,0.3,56,321797177.64,4,5,3,12,Key Vendor
VND00112,Vendor_0112,Logistics,India,Tier 3,41.3,1.5,66,390424266.69,2,5,5,12,Key Vendor
VND00275,Vendor_0275,Logistics,Thailand,Tier 2,65.8,0.2,55,327908068.64,5,4,3,12,Key Vendor
VND00125,Vendor_0125,Chemicals,Malaysia,Tier 3,46.0,0.9,60,345273715.79,3,5,4,12,Key Vendor
VND00870,Vendor_0870,Raw Material,India,Tier 1,96.2,0.0,50,359959397.15,5,3,4,12,Key Vendor
VND00878,Vendor_0878,Packaging,Thailand,Tier 2,76.1,0.2,55,357864223.93,4,4,4,12,Key Vendor
VND00731,Vendor_0731,Machinery,Malaysia,Tier 3,41.5,0.9,53,366304128.28,3,4,5,12,Key Vendor
VND00728,Vendor_0728,Logistics,Germany,Tier 1,85.7,0.6,52,406385263.47,3,4,5,12,Key Vendor
VND00990,Vendor_0990,Raw Material,USA,Tier 1,87.3,1.3,66,495073897.98,2,5,5,12,Key Vendor
VND00588,Vendor_0588,Machinery,Vietnam,Tier 3,39.0,1.1,63,369482169.62,2,5,5,12,Key Vendor
VND00389,Vendor_0389,Packaging,South Korea,Tier 1,82.5,1.2,58,431390029.4,2,5,5,12,Key Vendor
VND00083,Vendor_0083,Packaging,China,Tier 3,53.2,1.2,56,378043817.82,2,5,5,12,Key Vendor
VND00178,Vendor_0178,Machinery,Bangladesh,Tier 3,57.1,0.9,52,392610730.95,3,4,5,12,Key Vendor
VND00818,Vendor_0818,IT Services,Japan,Tier 3,57.9,0.1,55,323196301.75,5,4,3,12,Key Vendor
VND00819,Vendor_0819,Packaging,Thailand,Tier 3,33.8,0.7,58,361455383.83,3,5,4,12,Key Vendor
VND00571,Vendor_0571,Chemicals,Bangladesh,Tier 2,66.0,1.1,65,378647335.5,2,5,5,12,Key Vendor
VND00079,Vendor_0079,Machinery,Japan,Tier 3,55.1,0.5,52,356691688.79,4,4,4,12,Key Vendor
VND00170,Vendor_0170,IT Services,Japan,Tier 2,71.4,0.0,52,325756166.46,5,4,3,12,Key Vendor
VND00638,Vendor_0638,Logistics,USA,Tier 3,47.0,0.0,51,343739987.28,5,3,4,12,Key Vendor
VND00578,Vendor_0578,Machinery,USA,Tier 1,94.9,1.4,63,396331569.95,2,5,5,12,Key Vendor
VND00450,Vendor_0450,Chemicals,Japan,Tier 3,35.8,1.4,63,442983777.94,2,5,5,12,Key Vendor
VND00238,Vendor_0238,Electronics,China,Tier 3,31.7,0.8,56,361963543.13,3,5,4,12,Key Vendor
VND00446,Vendor_0446,Textiles,Thailand,Tier 1,96.3,0.3,53,339511976.1,4,4,4,12,Key Vendor
VND00445,Vendor_0445,Machinery,South Korea,Tier 1,86.9,1.2,60,397491349.27,2,5,5,12,Key Vendor
VND00087,Vendor_0087,Raw Material,USA,Tier 1,81.1,1.3,71,432854375.3,2,5,5,12,Key Vendor
VND00444,Vendor_0444,Logistics,USA,Tier 3,55.9,0.2,49,343695089.58,5,3,4,12,Key Vendor
VND00836,Vendor_0836,Textiles,India,Tier 3,59.3,0.9,65,453850040.96,2,5,5,12,Key Vendor
VND00287,Vendor_0287,Chemicals,Malaysia,Tier 2,62.6,0.4,50,335539408.87,4,3,4,11,Key Vendor
VND00315,Vendor_0315,Machinery,Japan,Tier 1,88.5,0.8,53,351897524.5,3,4,4,11,Key Vendor
VND00495,Vendor_0495,Chemicals,Vietnam,Tier 2,62.5,0.5,49,346180654.0,4,3,4,11,Key Vendor
VND00523,Vendor_0523,IT Services,Bangladesh,Tier 1,97.9,0.7,56,328724027.32,3,5,3,11,Key Vendor
VND00704,Vendor_0704,Electronics,Thailand,Tier 3,39.4,0.7,55,347839250.43,3,4,4,11,Key Vendor
VND00283,Vendor_0283,Packaging,Malaysia,Tier 3,56.3,2.2,61,388797941.46,1,5,5,11,Key Vendor
VND00519,Vendor_0519,IT Services,India,Tier 1,99.1,0.8,53,347069247.63,3,4,4,11,Key Vendor
VND00304,Vendor_0304,Logistics,Bangladesh,Tier 2,74.6,1.4,55,422115537.49,2,4,5,11,Key Vendor
VND00714,Vendor_0714,Chemicals,China,Tier 3,58.8,0.4,52,311420640.9,4,4,3,11,Key Vendor
