Vendor_ID,Orders,Late_Rate_Pct,Avg_Delay,Spend,Vendor_Name,Vendor_Category,Vendor_Tier,Reliability_Score,Return_Lines,Return_Value,Return_Rate_Pct,Risk_Points,Risk_Band
VND00318,51,58.82,8.45,330063993.04,Vendor_0318,Raw Material,Tier 3,42.1,5.0,2971521.61,9.8,4,High Risk
VND00896,41,58.54,7.44,269050066.02,Vendor_0896,Machinery,Tier 3,44.3,4.0,2427092.59,9.76,4,High Risk
VND00841,49,58.33,7.23,281708201.46,Vendor_0841,IT Services,Tier 3,30.9,8.0,5068990.61,16.33,4,High Risk
VND00058,63,57.89,7.93,308753598.39,Vendor_0058,Packaging,Tier 3,43.7,7.0,5381582.8,11.11,4,High Risk
VND00165,47,57.78,7.22,282829865.26,Vendor_0165,Electronics,Tier 3,36.3,7.0,4911632.97,14.89,4,High Risk
VND00827,47,57.78,6.6,379479919.6,Vendor_0827,Chemicals,Tier 3,54.2,6.0,4186917.86,12.77,4,High Risk
VND00050,57,57.69,7.21,337760752.23,Vendor_0050,Textiles,Tier 3,42.9,7.0,2716355.94,12.28,4,High Risk
VND00754,54,57.45,6.87,280345157.98,Vendor_0754,IT Services,Tier 3,53.4,6.0,3935995.98,11.11,4,High Risk
VND00874,44,57.14,6.62,244417899.85,Vendor_0874,Chemicals,Tier 3,58.6,6.0,7309777.61,13.64,4,High Risk
VND00418,45,56.82,7.95,324369913.35,Vendor_0418,Packaging,Tier 3,53.0,6.0,3457163.96,13.33,4,High Risk
VND00515,51,56.82,7.07,317115521.73,Vendor_0515,Electronics,Tier 3,33.2,5.0,3918499.23,9.8,4,High Risk
VND00045,40,56.76,8.14,267171408.4,Vendor_0045,Machinery,Tier 3,48.1,4.0,2682899.24,10.0,4,High Risk
VND00667,42,56.76,8.03,235545258.21,Vendor_0667,Electronics,Tier 3,47.2,5.0,3258605.05,11.9,4,High Risk
VND00989,39,56.76,6.84,208583279.73,Vendor_0989,Chemicals,Tier 3,47.2,9.0,6127134.31,23.08,4,High Risk
VND00335,55,56.6,6.94,269008103.69,Vendor_0335,Chemicals,Tier 3,33.2,6.0,6898176.86,10.91,4,High Risk
VND00161,49,56.52,6.67,230439200.03,Vendor_0161,IT Services,Tier 3,55.7,7.0,1980668.31,14.29,4,High Risk
VND00995,48,56.52,7.41,237630350.59,Vendor_0995,Textiles,Tier 3,55.3,7.0,6841931.47,14.58,4,High Risk
VND00343,42,56.41,7.03,223553712.78,Vendor_0343,Machinery,Tier 3,42.1,6.0,2365271.29,14.29,4,High Risk
VND00225,59,56.36,7.22,300180133.32,Vendor_0225,Chemicals,Tier 3,48.6,9.0,6087707.18,15.25,4,High Risk
VND00216,36,56.25,6.78,207508104.47,Vendor_0216,Chemicals,Tier 3,46.6,8.0,6809286.06,22.22,4,High Risk
VND00517,51,56.25,6.65,322330662.2,Vendor_0517,Raw Material,Tier 3,56.4,5.0,3016327.5,9.8,4,High Risk
VND00159,43,56.1,8.34,252018816.91,Vendor_0159,Logistics,Tier 3,46.6,5.0,3364551.13,11.63,4,High Risk
VND00996,46,56.1,8.63,328302351.86,Vendor_0996,Electronics,Tier 3,36.4,6.0,3890094.47,13.04,4,High Risk
VND00600,54,56.0,7.24,314772815.69,Vendor_0600,Raw Material,Tier 3,32.9,6.0,2786137.59,11.11,4,High Risk
VND00607,55,56.0,8.5,336589148.65,Vendor_0607,Machinery,Tier 3,44.4,6.0,5095809.68,10.91,4,High Risk
VND00300,44,76.19,9.86,348754795.24,Vendor_0300,Machinery,Tier 3,36.0,3.0,1661454.89,6.82,3,High Risk
VND00396,43,73.68,8.45,281293949.27,Vendor_0396,IT Services,Tier 1,95.2,5.0,3338475.31,11.63,3,High Risk
VND00478,44,72.22,9.39,252458018.34,Vendor_0478,Raw Material,Tier 2,68.8,7.0,2025509.56,15.91,3,High Risk
VND00867,39,71.79,10.82,269369287.53,Vendor_0867,Textiles,Tier 3,40.9,3.0,874057.32,7.69,3,High Risk
VND00975,52,70.59,7.47,384939870.92,Vendor_0975,Chemicals,Tier 3,32.2,5.0,4767488.46,9.62,3,High Risk
VND00518,46,70.45,8.14,241419106.98,Vendor_0518,Textiles,Tier 1,86.7,8.0,5289305.61,17.39,3,High Risk
VND00601,41,70.27,10.57,277419138.16,Vendor_0601,Raw Material,Tier 3,41.8,3.0,803699.6,7.32,3,High Risk
VND00085,52,70.21,6.62,309116274.81,Vendor_0085,Chemicals,Tier 3,51.8,3.0,2195591.22,5.77,3,High Risk
VND00020,53,70.0,6.98,361325775.81,Vendor_0020,Logistics,Tier 3,50.4,2.0,250344.4,3.77,3,High Risk
VND00781,55,69.81,6.74,312782583.4,Vendor_0781,Raw Material,Tier 2,78.6,8.0,4283714.67,14.55,3,High Risk
VND00716,46,69.77,9.53,273377152.89,Vendor_0716,Chemicals,Tier 1,95.1,7.0,3232215.88,15.22,3,High Risk
VND00985,48,69.77,8.86,289222548.05,Vendor_0985,Packaging,Tier 1,81.0,5.0,3812545.31,10.42,3,High Risk
VND00885,47,69.57,8.5,305103438.37,Vendor_0885,Packaging,Tier 1,86.0,5.0,1502908.28,10.64,3,High Risk
VND00664,48,68.89,7.56,311054785.57,Vendor_0664,Packaging,Tier 3,46.6,4.0,4141697.53,8.33,3,High Risk
VND00993,48,68.89,8.78,332178611.59,Vendor_0993,Raw Material,Tier 3,49.1,3.0,1849766.59,6.25,3,High Risk
VND00028,41,68.42,7.74,262038542.86,Vendor_0028,Machinery,Tier 2,66.0,4.0,2392465.22,9.76,3,High Risk
VND00760,45,68.29,8.93,356379504.34,Vendor_0760,Machinery,Unclassified,,5.0,3208721.49,11.11,3,High Risk
VND00211,44,68.18,8.34,322392058.34,Vendor_0211,Machinery,Tier 2,68.4,7.0,2869273.7,15.91,3,High Risk
VND00226,48,68.18,5.98,350565297.31,Vendor_0226,Electronics,Tier 3,47.1,8.0,5697090.56,16.67,3,High Risk
VND00276,46,68.18,8.45,376749451.2,Vendor_0276,Unknown,Tier 2,65.1,5.0,3024875.71,10.87,3,High Risk
VND00771,48,68.18,8.34,296784013.17,Vendor_0771,Chemicals,Tier 3,37.7,3.0,1200816.31,6.25,3,High Risk
VND00172,49,68.09,5.68,338953274.55,Vendor_0172,Textiles,Tier 3,31.2,9.0,6409909.22,18.37,3,High Risk
VND00726,52,68.0,10.26,333457434.84,Vendor_0726,IT Services,Tier 1,88.9,8.0,4458504.74,15.38,3,High Risk
VND00524,58,67.92,8.08,390194651.46,Vendor_0524,Packaging,Tier 1,88.9,7.0,3048536.18,12.07,3,High Risk
VND00956,64,67.8,8.53,373751708.45,Vendor_0956,Chemicals,Tier 3,56.8,6.0,2880273.1,9.38,3,High Risk
VND00799,38,67.57,7.95,259673747.3,Vendor_0799,Electronics,Tier 2,78.8,7.0,3929100.99,18.42,3,High Risk
VND00598,44,67.5,10.15,311072239.66,Vendor_0598,Packaging,Tier 3,42.1,3.0,1902978.81,6.82,3,High Risk
VND00035,50,66.67,7.09,307964301.95,Vendor_0035,Textiles,Tier 1,97.6,6.0,2005919.05,12.0,3,High Risk
VND00118,36,66.67,7.85,223114441.64,Vendor_0118,Logistics,Tier 3,43.1,3.0,1232128.36,8.33,3,High Risk
VND00205,46,66.67,7.4,236014194.19,Vendor_0205,Textiles,Tier 2,72.5,6.0,3997964.08,13.04,3,High Risk
VND00280,51,66.67,7.81,301843210.97,Vendor_0280,Packaging,Tier 1,85.7,5.0,2914692.34,9.8,3,High Risk
VND00298,47,66.67,8.23,311829578.65,Vendor_0298,IT Services,Tier 3,45.1,0.0,0.0,0.0,3,High Risk
VND00603,54,66.67,9.14,371769232.32,Vendor_0603,Packaging,Tier 3,42.4,2.0,733708.42,3.7,3,High Risk
VND00725,56,66.67,9.44,321797177.64,Vendor_0725,IT Services,Tier 2,70.2,6.0,4074400.1,10.71,3,High Risk
VND00123,60,66.1,8.44,448783507.07,Vendor_0123,Electronics,Tier 3,52.3,3.0,823242.86,5.0,3,High Risk
VND00238,56,66.04,7.3,361963543.13,Vendor_0238,Electronics,Tier 3,31.7,5.0,2970556.47,8.93,3,High Risk
VND00275,55,66.0,10.88,327908068.64,Vendor_0275,Logistics,Tier 2,65.8,8.0,3812417.09,14.55,3,High Risk
VND00872,60,66.0,7.82,396149890.52,Vendor_0872,Machinery,Tier 3,49.0,3.0,1815587.0,5.0,3,High Risk
VND00023,50,65.96,6.49,317326149.14,Vendor_0023,Packaging,Tier 3,50.5,7.0,2505057.97,14.0,3,High Risk
VND00113,46,65.91,8.7,329640444.04,Vendor_0113,Logistics,Tier 1,95.1,6.0,3111949.12,13.04,3,High Risk
VND00812,45,65.91,7.68,281896157.12,Vendor_0812,Machinery,Tier 1,88.7,5.0,1784349.31,11.11,3,High Risk
VND00734,45,65.85,7.46,269910929.28,Vendor_0734,Electronics,Tier 2,66.6,5.0,2371530.53,11.11,3,High Risk
VND00218,43,65.79,7.84,231289965.77,Vendor_0218,Raw Material,Tier 1,82.3,10.0,8791483.79,23.26,3,High Risk
VND00705,42,65.79,6.13,288374971.46,Vendor_0705,Packaging,Tier 3,34.4,8.0,4656469.88,19.05,3,High Risk
VND00957,41,65.79,11.24,223613232.85,Vendor_0957,Raw Material,Tier 2,66.3,6.0,1320749.6,14.63,3,High Risk
VND00128,35,65.71,8.0,251098786.33,Vendor_0128,Machinery,Tier 1,90.3,6.0,2736305.33,17.14,3,High Risk
VND00193,58,65.38,8.27,382239536.31,Vendor_0193,Unknown,Tier 1,93.0,6.0,3371287.29,10.34,3,High Risk
VND00912,52,65.31,7.63,376476722.09,Vendor_0912,IT Services,Tier 3,48.8,4.0,2517459.76,7.69,3,High Risk
VND00393,47,65.22,8.11,272550735.65,Vendor_0393,Electronics,Tier 3,56.0,4.0,1087209.59,8.51,3,High Risk
VND00627,46,65.12,10.49,297733823.76,Vendor_0627,Electronics,Tier 2,62.4,8.0,4585177.86,17.39,3,High Risk
VND00924,46,65.12,7.56,338430840.98,Vendor_0924,IT Services,Tier 1,86.0,8.0,8622096.86,17.39,3,High Risk
VND00709,65,65.08,8.24,387548378.1,Vendor_0709,Machinery,Tier 3,47.8,4.0,2472563.05,6.15,3,High Risk
VND00533,43,65.0,8.4,220323685.4,Vendor_0533,Logistics,Tier 1,99.8,5.0,3882470.97,11.63,3,High Risk
VND00575,39,64.71,8.0,291779540.41,Vendor_0575,IT Services,Tier 1,90.4,4.0,4245121.54,10.26,3,High Risk
VND00022,49,64.44,7.27,321652792.69,Vendor_0022,Electronics,Tier 3,39.8,3.0,4223217.19,6.12,3,High Risk
VND00075,46,64.44,7.42,249562842.04,Vendor_0075,Raw Material,Tier 2,79.5,6.0,1388868.45,13.04,3,High Risk
VND00321,47,64.44,9.16,318014154.99,Vendor_0321,Chemicals,Tier 2,68.4,5.0,2476378.37,10.64,3,High Risk
VND00322,47,64.44,8.49,264593837.07,Vendor_0322,Chemicals,Tier 1,80.0,5.0,5473300.38,10.64,3,High Risk
VND00083,56,64.15,7.13,378043817.82,Vendor_0083,Packaging,Tier 3,53.2,4.0,2460762.04,7.14,3,High Risk
VND00356,43,63.89,9.44,216347425.65,Vendor_0356,Chemicals,Tier 2,75.0,5.0,2911240.08,11.63,3,High Risk
VND00176,54,63.83,7.87,371426145.53,Vendor_0176,Raw Material,Tier 3,42.2,4.0,2105610.45,7.41,3,High Risk
VND00398,49,63.83,8.94,289779613.77,Vendor_0398,IT Services,Tier 2,60.0,5.0,1317916.37,10.2,3,High Risk
VND00803,53,63.83,8.11,291530696.09,Vendor_0803,Textiles,Tier 2,70.3,8.0,6699856.42,15.09,3,High Risk
VND00805,52,63.83,6.32,315550267.68,Vendor_0805,Chemicals,Tier 3,59.7,6.0,1803820.44,11.54,3,High Risk
VND00010,46,63.64,7.93,277170223.88,Vendor_0010,Electronics,Tier 2,79.6,5.0,3936364.27,10.87,3,High Risk
VND00399,45,63.64,8.43,298565275.01,Vendor_0399,Textiles,Tier 1,82.6,7.0,3949493.03,15.56,3,High Risk
VND00560,37,63.64,6.64,193693309.45,Vendor_0560,IT Services,Tier 2,73.4,5.0,2633162.25,13.51,3,High Risk
VND00830,45,63.64,8.91,278227647.76,Vendor_0830,Logistics,Tier 2,61.7,5.0,3807308.12,11.11,3,High Risk
VND00920,44,63.64,7.77,282678718.85,Vendor_0920,Raw Material,Tier 3,39.8,2.0,1773175.43,4.55,3,High Risk
VND00381,61,63.16,8.39,393558058.85,Vendor_0381,IT Services,Tier 3,38.3,4.0,1765723.16,6.56,3,High Risk
VND00501,44,63.16,7.11,316706789.69,Vendor_0501,Raw Material,Tier 2,78.9,11.0,5351278.56,25.0,3,High Risk
VND00775,59,63.16,7.07,397680972.42,Vendor_0775,Chemicals,Tier 1,85.8,7.0,6742964.01,11.86,3,High Risk
VND00096,48,63.04,6.76,218105641.04,Vendor_0096,IT Services,Unclassified,,6.0,1697722.8,12.5,3,High Risk
VND00376,53,63.04,6.91,325859830.59,Vendor_0376,Electronics,Tier 3,52.3,5.0,3681625.43,9.43,3,High Risk
VND00510,51,63.04,8.11,300786694.16,Vendor_0510,Electronics,Tier 1,80.8,7.0,4605361.98,13.73,3,High Risk
VND00530,55,62.96,8.2,346825712.58,Vendor_0530,Textiles,Tier 1,90.5,7.0,2275503.16,12.73,3,High Risk
VND00025,49,62.79,7.05,285679587.54,Vendor_0025,Packaging,Tier 2,61.9,9.0,5661399.14,18.37,3,High Risk
VND00307,45,62.79,7.91,322606104.62,Vendor_0307,Machinery,Tier 2,66.1,9.0,4104552.09,20.0,3,High Risk
VND00824,47,62.79,7.02,307942605.07,Vendor_0824,Raw Material,Tier 3,57.9,4.0,4665728.86,8.51,3,High Risk
VND00899,50,62.79,7.21,303904402.42,Vendor_0899,Chemicals,Tier 3,30.9,4.0,2060913.34,8.0,3,High Risk
VND00474,57,62.75,7.1,378765203.11,Vendor_0474,Machinery,Tier 1,92.4,9.0,4611343.78,15.79,3,High Risk
VND00791,54,62.75,7.75,361919698.41,Vendor_0791,Unknown,Tier 3,40.7,0.0,0.0,0.0,3,High Risk
VND00643,62,62.5,8.48,422535683.19,Vendor_0643,Logistics,Tier 3,44.8,5.0,835305.56,8.06,3,High Risk
VND00940,49,62.5,10.85,273816969.69,Vendor_0940,Textiles,Tier 2,70.4,5.0,2885584.34,10.2,3,High Risk
VND00244,58,62.26,8.64,409328834.17,Vendor_0244,Chemicals,Tier 3,55.9,2.0,822533.77,3.45,3,High Risk
VND00034,45,62.22,7.64,293474435.33,Vendor_0034,Chemicals,Tier 1,96.4,7.0,4489521.96,15.56,3,High Risk
VND00567,38,62.16,8.19,280787310.75,Vendor_0567,Logistics,Tier 3,57.5,3.0,1474272.25,7.89,3,High Risk
VND00815,41,62.16,8.81,253642267.44,Vendor_0815,Textiles,Tier 1,90.9,4.0,2458660.6,9.76,3,High Risk
VND00527,53,62.0,9.46,352733209.65,Vendor_0527,Machinery,Tier 3,59.0,2.0,443547.92,3.77,3,High Risk
VND00671,53,62.0,8.72,370723681.88,Vendor_0671,Machinery,Tier 3,42.1,4.0,2221525.02,7.55,3,High Risk
VND00441,45,61.9,6.81,274862308.8,Vendor_0441,Textiles,Tier 3,35.9,2.0,310339.85,4.44,3,High Risk
VND00882,43,61.9,8.07,249768865.71,Vendor_0882,IT Services,Tier 2,77.0,7.0,6775812.07,16.28,3,High Risk
VND00386,56,61.82,6.75,373735563.18,Vendor_0386,Electronics,Tier 1,86.2,7.0,2472119.71,12.5,3,High Risk
VND00001,49,61.7,8.49,301657666.88,Vendor_0001,Unknown,Tier 3,56.2,3.0,2238269.1,6.12,3,High Risk
VND00038,49,61.7,8.51,353462505.46,Vendor_0038,Logistics,Tier 3,36.8,2.0,458602.47,4.08,3,High Risk
VND00540,55,61.54,7.08,467093347.33,Vendor_0540,Chemicals,Tier 3,39.0,5.0,4476863.13,9.09,3,High Risk
VND00773,55,61.54,8.02,281095892.01,Vendor_0773,Textiles,Tier 3,38.9,4.0,1529993.83,7.27,3,High Risk
VND00814,40,61.54,9.26,222251430.64,Vendor_0814,Electronics,Tier 1,94.5,7.0,1861387.71,17.5,3,High Risk
VND00855,57,61.54,8.21,390960678.95,Vendor_0855,IT Services,Tier 3,44.4,5.0,4585709.04,8.77,3,High Risk
VND00917,54,61.54,6.56,284831786.17,Vendor_0917,Electronics,Tier 3,50.6,6.0,6037415.73,11.11,3,High Risk
VND00346,61,61.4,7.93,410611491.06,Vendor_0346,Textiles,Tier 2,73.1,6.0,5027428.02,9.84,3,High Risk
VND00587,61,61.4,8.3,412047956.11,Vendor_0587,IT Services,Tier 3,35.3,1.0,2114390.16,1.64,3,High Risk
VND00625,61,61.4,8.28,393201223.36,Vendor_0625,Electronics,Tier 2,73.3,9.0,8814161.84,14.75,3,High Risk
VND00909,63,61.29,9.11,367387302.51,Vendor_0909,Raw Material,Tier 3,48.2,5.0,1806036.18,7.94,3,High Risk
VND00104,51,61.22,7.78,268507406.13,Vendor_0104,Logistics,Tier 2,65.6,5.0,4159699.56,9.8,3,High Risk
VND00486,51,61.22,7.76,323555261.04,Vendor_0486,Raw Material,Tier 1,93.1,6.0,1542799.99,11.76,3,High Risk
VND00314,60,61.11,6.7,310515096.35,Vendor_0314,Electronics,Tier 1,97.4,6.0,2228646.88,10.0,3,High Risk
VND00817,57,61.11,7.43,339465537.58,Vendor_0817,Electronics,Tier 2,71.4,7.0,4865238.98,12.28,3,High Risk
VND00162,42,60.98,7.07,250496238.55,Vendor_0162,Unknown,Tier 2,74.3,7.0,4336223.63,16.67,3,High Risk
VND00521,46,60.98,6.85,328033656.5,Vendor_0521,Textiles,Tier 2,71.6,7.0,5531103.03,15.22,3,High Risk
VND00849,42,60.98,7.49,318111183.36,Vendor_0849,Electronics,Tier 2,65.2,5.0,5854617.69,11.9,3,High Risk
VND00888,45,60.98,7.95,279502155.54,Vendor_0888,Chemicals,Tier 3,46.7,3.0,3109855.39,6.67,3,High Risk
VND00078,50,60.87,7.72,298059257.44,Vendor_0078,Electronics,Tier 3,35.2,3.0,3300620.47,6.0,3,High Risk
VND00179,50,60.87,8.74,303620436.53,Vendor_0179,IT Services,Tier 1,95.6,7.0,5105278.87,14.0,3,High Risk
VND00642,50,60.87,6.46,373332157.45,Vendor_0642,Packaging,Tier 3,52.5,5.0,3775884.39,10.0,3,High Risk
VND00002,53,60.78,7.98,353010678.76,Vendor_0002,Electronics,Tier 1,96.6,8.0,7489975.55,15.09,3,High Risk
VND00927,43,60.53,9.32,314955288.64,Vendor_0927,Electronics,Tier 3,48.8,3.0,2063518.01,6.98,3,High Risk
VND00683,45,60.47,5.07,343938717.15,Vendor_0683,Chemicals,Tier 3,42.0,8.0,4407567.25,17.78,3,High Risk
VND00719,54,60.42,8.12,370992362.18,Vendor_0719,Raw Material,Tier 3,38.7,5.0,2242721.66,9.26,3,High Risk
VND00014,58,60.38,7.79,316280369.19,Vendor_0014,Machinery,Tier 3,44.9,3.0,220811.38,5.17,3,High Risk
VND00341,60,60.38,7.68,425280114.92,Vendor_0341,Chemicals,Tier 2,64.4,7.0,5575831.59,11.67,3,High Risk
VND00015,46,60.0,8.09,284589639.74,Vendor_0015,IT Services,Tier 3,42.7,4.0,913830.67,8.7,3,High Risk
VND00288,43,60.0,7.4,276829688.7,Vendor_0288,Textiles,Tier 2,68.0,6.0,1540811.66,13.95,3,High Risk
VND00326,54,60.0,7.34,373674457.15,Vendor_0326,Logistics,Tier 1,81.7,7.0,3914740.0,12.96,3,High Risk
VND00327,46,60.0,7.04,307393434.57,Vendor_0327,Machinery,Tier 2,68.8,9.0,5689164.23,19.57,3,High Risk
VND00405,54,60.0,6.98,357414032.94,Vendor_0405,Logistics,Tier 3,52.4,5.0,6150199.45,9.26,3,High Risk
VND00538,45,60.0,7.82,278993315.72,Vendor_0538,IT Services,Tier 3,47.3,3.0,2423191.65,6.67,3,High Risk
VND00722,31,60.0,6.33,193330332.13,Vendor_0722,Raw Material,Tier 3,42.7,8.0,3540612.53,25.81,3,High Risk
VND00738,45,60.0,6.6,223290729.27,Vendor_0738,Machinery,Tier 1,87.2,6.0,3680487.89,13.33,3,High Risk
VND00852,45,60.0,8.25,279281453.98,Vendor_0852,Machinery,Tier 1,82.5,6.0,4581268.43,13.33,3,High Risk
VND00961,52,60.0,8.44,354069786.81,Vendor_0961,Electronics,Tier 3,35.8,3.0,592084.44,5.77,3,High Risk
VND00329,55,59.62,7.19,330584020.95,Vendor_0329,Unknown,Tier 3,59.4,5.0,4772994.91,9.09,3,High Risk
VND00529,52,59.57,6.4,331506519.27,Vendor_0529,IT Services,Tier 3,33.9,8.0,8886095.11,15.38,3,High Risk
